PU Histórico - Gerado em 07/10/2018 01:07:20

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	GUAR11	10.000,000000	278,350300	-	10.278,350300	Padrão - SND	Reg.	
04/10/2018	GUAR11	10.000,000000	275,580100	-	10.275,580100	Padrão - SND	Reg.	
03/10/2018	GUAR11	10.000,000000	272,810700	-	10.272,810700	Padrão - SND	Reg.	
02/10/2018	GUAR11	10.000,000000	270,042000	-	10.270,042000	Padrão - SND	Reg.	
01/10/2018	GUAR11	10.000,000000	267,274100	-	10.267,274100	Padrão - SND	Reg.	
28/09/2018	GUAR11	10.000,000000	264,511000	-	10.264,511000	Padrão - SND	Reg.	
27/09/2018	GUAR11	10.000,000000	261,748700	-	10.261,748700	Padrão - SND	Reg.	
26/09/2018	GUAR11	10.000,000000	258,987200	-	10.258,987200	Padrão - SND	Reg.	
25/09/2018	GUAR11	10.000,000000	256,226300	-	10.256,226300	Padrão - SND	Reg.	
24/09/2018	GUAR11	10.000,000000	253,466300	-	10.253,466300	Padrão - SND	Reg.	
21/09/2018	GUAR11	10.000,000000	250,707000	-	10.250,707000	Padrão - SND	Reg.	
20/09/2018	GUAR11	10.000,000000	247,948400	-	10.247,948400	Padrão - SND	Reg.	
19/09/2018	GUAR11	10.000,000000	245,190500	-	10.245,190500	Padrão - SND	Reg.	
18/09/2018	GUAR11	10.000,000000	242,433400	-	10.242,433400	Padrão - SND	Reg.	
17/09/2018	GUAR11	10.000,000000	239,677100	-	10.239,677100	Padrão - SND	Reg.	
14/09/2018	GUAR11	10.000,000000	236,921500	-	10.236,921500	Padrão - SND	Reg.	
13/09/2018	GUAR11	10.000,000000	234,166600	-	10.234,166600	Padrão - SND	Reg.	
12/09/2018	GUAR11	10.000,000000	231,412500	-	10.231,412500	Padrão - SND	Reg.	
11/09/2018	GUAR11	10.000,000000	228,659100	-	10.228,659100	Padrão - SND	Reg.	
10/09/2018	GUAR11	10.000,000000	225,906400	-	10.225,906400	Padrão - SND	Reg.	
06/09/2018	GUAR11	10.000,000000	223,154500	-	10.223,154500	Padrão - SND	Reg.	
05/09/2018	GUAR11	10.000,000000	220,403400	-	10.220,403400	Padrão - SND	Reg.	
04/09/2018	GUAR11	10.000,000000	217,652900	-	10.217,652900	Padrão - SND	Reg.	
03/09/2018	GUAR11	10.000,000000	214,903200	-	10.214,903200	Padrão - SND	Reg.	
31/08/2018	GUAR11	10.000,000000	212,154300	-	10.212,154300	Padrão - SND	Reg.	
30/08/2018	GUAR11	10.000,000000	209,406100	-	10.209,406100	Padrão - SND	Reg.	
29/08/2018	GUAR11	10.000,000000	206,658600	-	10.206,658600	Padrão - SND	Reg.	
28/08/2018	GUAR11	10.000,000000	203,911900	-	10.203,911900	Padrão - SND	Reg.	
27/08/2018	GUAR11	10.000,000000	201,165900	-	10.201,165900	Padrão - SND	Reg.	
24/08/2018	GUAR11	10.000,000000	198,420600	-	10.198,420600	Padrão - SND	Reg.	
23/08/2018	GUAR11	10.000,000000	195,676100	-	10.195,676100	Padrão - SND	Reg.	
22/08/2018	GUAR11	10.000,000000	192,932400	-	10.192,932400	Padrão - SND	Reg.	
21/08/2018	GUAR11	10.000,000000	190,189300	-	10.190,189300	Padrão - SND	Reg.	
20/08/2018	GUAR11	10.000,000000	187,447000	-	10.187,447000	Padrão - SND	Reg.	
17/08/2018	GUAR11	10.000,000000	184,705500	-	10.184,705500	Padrão - SND	Reg.	
16/08/2018	GUAR11	10.000,000000	181,964700	-	10.181,964700	Padrão - SND	Reg.	
15/08/2018	GUAR11	10.000,000000	179,224600	-	10.179,224600	Padrão - SND	Reg.	
14/08/2018	GUAR11	10.000,000000	176,485200	-	10.176,485200	Padrão - SND	Reg.	
13/08/2018	GUAR11	10.000,000000	173,746600	-	10.173,746600	Padrão - SND	Reg.	
10/08/2018	GUAR11	10.000,000000	171,008700	-	10.171,008700	Padrão - SND	Reg.	
09/08/2018	GUAR11	10.000,000000	168,271600	-	10.168,271600	Padrão - SND	Reg.	
08/08/2018	GUAR11	10.000,000000	165,535200	-	10.165,535200	Padrão - SND	Reg.	
07/08/2018	GUAR11	10.000,000000	162,799600	-	10.162,799600	Padrão - SND	Reg.	
06/08/2018	GUAR11	10.000,000000	160,064600	-	10.160,064600	Padrão - SND	Reg.	
03/08/2018	GUAR11	10.000,000000	157,330400	-	10.157,330400	Padrão - SND	Reg.	
02/08/2018	GUAR11	10.000,000000	154,597000	-	10.154,597000	Padrão - SND	Reg.	
01/08/2018	GUAR11	10.000,000000	151,864300	-	10.151,864300	Padrão - SND	Reg.	
31/07/2018	GUAR11	10.000,000000	149,132300	-	10.149,132300	Padrão - SND	Reg.	
30/07/2018	GUAR11	10.000,000000	146,401000	-	10.146,401000	Padrão - SND	Reg.	
27/07/2018	GUAR11	10.000,000000	143,670500	-	10.143,670500	Padrão - SND	Reg.	
26/07/2018	GUAR11	10.000,000000	140,940700	-	10.140,940700	Padrão - SND	Reg.	
25/07/2018	GUAR11	10.000,000000	138,211700	-	10.138,211700	Padrão - SND	Reg.	
24/07/2018	GUAR11	10.000,000000	135,483400	-	10.135,483400	Padrão - SND	Reg.	
23/07/2018	GUAR11	10.000,000000	132,755800	-	10.132,755800	Padrão - SND	Reg.	
20/07/2018	GUAR11	10.000,000000	130,029000	-	10.130,029000	Padrão - SND	Reg.	
19/07/2018	GUAR11	10.000,000000	127,302900	-	10.127,302900	Padrão - SND	Reg.	
18/07/2018	GUAR11	10.000,000000	124,577500	-	10.124,577500	Padrão - SND	Reg.	
17/07/2018	GUAR11	10.000,000000	121,852900	-	10.121,852900	Padrão - SND	Reg.	
16/07/2018	GUAR11	10.000,000000	119,129000	-	10.119,129000	Padrão - SND	Reg.	
13/07/2018	GUAR11	10.000,000000	116,405800	-	10.116,405800	Padrão - SND	Reg.	
12/07/2018	GUAR11	10.000,000000	113,683300	-	10.113,683300	Padrão - SND	Reg.	
11/07/2018	GUAR11	10.000,000000	110,961600	-	10.110,961600	Padrão - SND	Reg.	
10/07/2018	GUAR11	10.000,000000	108,240700	-	10.108,240700	Padrão - SND	Reg.	
09/07/2018	GUAR11	10.000,000000	105,520400	-	10.105,520400	Padrão - SND	Reg.	
06/07/2018	GUAR11	10.000,000000	102,800900	-	10.102,800900	Padrão - SND	Reg.	
05/07/2018	GUAR11	10.000,000000	100,082100	-	10.100,082100	Padrão - SND	Reg.	
04/07/2018	GUAR11	10.000,000000	97,364100	-	10.097,364100	Padrão - SND	Reg.	
03/07/2018	GUAR11	10.000,000000	94,646800	-	10.094,646800	Padrão - SND	Reg.	
02/07/2018	GUAR11	10.000,000000	91,930200	-	10.091,930200	Padrão - SND	Reg.	
29/06/2018	GUAR11	10.000,000000	89,214300	-	10.089,214300	Padrão - SND	Reg.	
28/06/2018	GUAR11	10.000,000000	86,499200	-	10.086,499200	Padrão - SND	Reg.	
27/06/2018	GUAR11	10.000,000000	83,784800	-	10.083,784800	Padrão - SND	Reg.	
26/06/2018	GUAR11	10.000,000000	81,071100	-	10.081,071100	Padrão - SND	Reg.	
25/06/2018	GUAR11	10.000,000000	78,358200	-	10.078,358200	Padrão - SND	Reg.	
22/06/2018	GUAR11	10.000,000000	75,646000	-	10.075,646000	Padrão - SND	Reg.	
21/06/2018	GUAR11	10.000,000000	72,934500	-	10.072,934500	Padrão - SND	Reg.	
20/06/2018	GUAR11	10.000,000000	70,223800	-	10.070,223800	Padrão - SND	Reg.	
19/06/2018	GUAR11	10.000,000000	67,513800	-	10.067,513800	Padrão - SND	Reg.	
18/06/2018	GUAR11	10.000,000000	64,804500	-	10.064,804500	Padrão - SND	Reg.	
15/06/2018	GUAR11	10.000,000000	62,096000	-	10.062,096000	Padrão - SND	Reg.	
14/06/2018	GUAR11	10.000,000000	59,388100	-	10.059,388100	Padrão - SND	Reg.	
