PU Histórico - Gerado em 07/10/2018 01:07:24

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	HBOR13	416.669,000000	11.233,013737	-	427.902,013737	Padrão - SND	Reg.	
04/10/2018	HBOR13	416.669,000000	11.095,740885	-	427.764,740885	Padrão - SND	Reg.	
03/10/2018	HBOR13	416.669,000000	10.958,510950	-	427.627,510950	Padrão - SND	Reg.	
02/10/2018	HBOR13	416.669,000000	10.821,324349	-	427.490,324349	Padrão - SND	Reg.	
01/10/2018	HBOR13	416.669,000000	10.684,181081	-	427.353,181081	Padrão - SND	Reg.	
28/09/2018	HBOR13	416.669,000000	10.547,240314	-	427.216,240314	Padrão - SND	Reg.	
27/09/2018	HBOR13	416.669,000000	10.410,347047	-	427.079,347047	Padrão - SND	Reg.	
26/09/2018	HBOR13	416.669,000000	10.273,492947	-	426.942,492947	Padrão - SND	Reg.	
25/09/2018	HBOR13	416.669,000000	10.136,685931	-	426.805,685931	Padrão - SND	Reg.	
24/09/2018	HBOR13	416.669,000000	9.999,921832	-	426.668,921832	Padrão - SND	Reg.	
21/09/2018	HBOR13	416.669,000000	9.863,197316	-	426.532,197316	Padrão - SND	Reg.	
20/09/2018	HBOR13	416.669,000000	9.726,519884	-	426.395,519884	Padrão - SND	Reg.	
19/09/2018	HBOR13	416.669,000000	9.589,889536	-	426.258,889536	Padrão - SND	Reg.	
18/09/2018	HBOR13	416.669,000000	9.453,298354	-	426.122,298354	Padrão - SND	Reg.	
17/09/2018	HBOR13	416.669,000000	9.316,755090	-	425.985,755090	Padrão - SND	Reg.	
14/09/2018	HBOR13	416.669,000000	9.180,250575	-	425.849,250575	Padrão - SND	Reg.	
13/09/2018	HBOR13	416.669,000000	9.043,793144	-	425.712,793144	Padrão - SND	Reg.	
12/09/2018	HBOR13	416.669,000000	8.907,378631	-	425.576,378631	Padrão - SND	Reg.	
11/09/2018	HBOR13	416.669,000000	8.771,007034	-	425.440,007034	Padrão - SND	Reg.	
10/09/2018	HBOR13	416.669,000000	8.634,679187	-	425.303,679187	Padrão - SND	Reg.	
06/09/2018	HBOR13	416.669,000000	8.498,398840	-	425.167,398840	Padrão - SND	Reg.	
05/09/2018	HBOR13	416.669,000000	8.362,156827	-	425.031,156827	Padrão - SND	Reg.	
04/09/2018	HBOR13	416.669,000000	8.225,961898	-	424.894,961898	Padrão - SND	Reg.	
03/09/2018	HBOR13	416.669,000000	8.089,810719	-	424.758,810719	Padrão - SND	Reg.	
31/08/2018	HBOR13	416.669,000000	7.953,697873	-	424.622,697873	Padrão - SND	Reg.	
30/08/2018	HBOR13	416.669,000000	7.817,632945	-	424.486,632945	Padrão - SND	Reg.	
29/08/2018	HBOR13	416.669,000000	7.681,614683	-	424.350,614683	Padrão - SND	Reg.	
28/08/2018	HBOR13	416.669,000000	7.545,635588	-	424.214,635588	Padrão - SND	Reg.	
27/08/2018	HBOR13	416.669,000000	7.409,699410	-	424.078,699410	Padrão - SND	Reg.	
24/08/2018	HBOR13	416.669,000000	7.273,810733	-	423.942,810733	Padrão - SND	Reg.	
23/08/2018	HBOR13	416.669,000000	7.137,960389	-	423.806,960389	Padrão - SND	Reg.	
22/08/2018	HBOR13	416.669,000000	7.002,157545	-	423.671,157545	Padrão - SND	Reg.	
21/08/2018	HBOR13	416.669,000000	6.866,397618	-	423.535,397618	Padrão - SND	Reg.	
20/08/2018	HBOR13	416.669,000000	6.730,680608	-	423.399,680608	Padrão - SND	Reg.	
17/08/2018	HBOR13	416.669,000000	6.595,006931	-	423.264,006931	Padrão - SND	Reg.	
16/08/2018	HBOR13	416.669,000000	6.459,379922	-	423.128,379922	Padrão - SND	Reg.	
15/08/2018	HBOR13	416.669,000000	6.323,792079	-	422.992,792079	Padrão - SND	Reg.	
14/08/2018	HBOR13	416.669,000000	6.188,247570	-	422.857,247570	Padrão - SND	Reg.	
13/08/2018	HBOR13	416.669,000000	6.052,749728	-	422.721,749728	Padrão - SND	Reg.	
10/08/2018	HBOR13	416.669,000000	5.917,294803	-	422.586,294803	Padrão - SND	Reg.	
09/08/2018	HBOR13	416.669,000000	5.781,879045	-	422.450,879045	Padrão - SND	Reg.	
08/08/2018	HBOR13	416.669,000000	5.646,510370	-	422.315,510370	Padrão - SND	Reg.	
07/08/2018	HBOR13	416.669,000000	5.511,183779	-	422.180,183779	Padrão - SND	Reg.	
06/08/2018	HBOR13	416.669,000000	5.375,900938	-	422.044,900938	Padrão - SND	Reg.	
03/08/2018	HBOR13	416.669,000000	5.240,665180	-	421.909,665180	Padrão - SND	Reg.	
02/08/2018	HBOR13	416.669,000000	5.105,468173	-	421.774,468173	Padrão - SND	Reg.	
01/08/2018	HBOR13	416.669,000000	4.970,314083	-	421.639,314083	Padrão - SND	Reg.	
31/07/2018	HBOR13	416.669,000000	4.835,206660	-	421.504,206660	Padrão - SND	Reg.	
30/07/2018	HBOR13	416.669,000000	4.700,137987	-	421.369,137987	Padrão - SND	Reg.	
27/07/2018	HBOR13	416.669,000000	4.565,116814	-	421.234,116814	Padrão - SND	Reg.	
26/07/2018	HBOR13	416.669,000000	4.430,138558	-	421.099,138558	Padrão - SND	Reg.	
25/07/2018	HBOR13	416.669,000000	4.295,202803	-	420.964,202803	Padrão - SND	Reg.	
24/07/2018	HBOR13	416.669,000000	4.160,309964	-	420.829,309964	Padrão - SND	Reg.	
