PU Histórico - Gerado em 07/10/2018 01:07:29

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	HENZ11	10.000,000000	550,237500	-	10.550,237500	Padrão - SND	Reg.	
04/10/2018	HENZ11	10.000,000000	545,681180	-	10.545,681180	Padrão - SND	Reg.	
03/10/2018	HENZ11	10.000,000000	541,126830	-	10.541,126830	Padrão - SND	Reg.	
02/10/2018	HENZ11	10.000,000000	536,574450	-	10.536,574450	Padrão - SND	Reg.	
01/10/2018	HENZ11	10.000,000000	532,024040	-	10.532,024040	Padrão - SND	Reg.	
28/09/2018	HENZ11	10.000,000000	527,475590	-	10.527,475590	Padrão - SND	Reg.	
27/09/2018	HENZ11	10.000,000000	522,929100	-	10.522,929100	Padrão - SND	Reg.	
26/09/2018	HENZ11	10.000,000000	518,384580	-	10.518,384580	Padrão - SND	Reg.	
25/09/2018	HENZ11	10.000,000000	513,842020	-	10.513,842020	Padrão - SND	Reg.	
24/09/2018	HENZ11	10.000,000000	509,301420	-	10.509,301420	Padrão - SND	Reg.	
21/09/2018	HENZ11	10.000,000000	504,762780	-	10.504,762780	Padrão - SND	Reg.	
20/09/2018	HENZ11	10.000,000000	500,226100	-	10.500,226100	Padrão - SND	Reg.	
19/09/2018	HENZ11	10.000,000000	495,691380	-	10.495,691380	Padrão - SND	Reg.	
18/09/2018	HENZ11	10.000,000000	491,158620	-	10.491,158620	Padrão - SND	Reg.	
17/09/2018	HENZ11	10.000,000000	486,627820	-	10.486,627820	Padrão - SND	Reg.	
14/09/2018	HENZ11	10.000,000000	482,098970	-	10.482,098970	Padrão - SND	Reg.	
13/09/2018	HENZ11	10.000,000000	477,572080	-	10.477,572080	Padrão - SND	Reg.	
12/09/2018	HENZ11	10.000,000000	473,047150	-	10.473,047150	Padrão - SND	Reg.	
11/09/2018	HENZ11	10.000,000000	468,524170	-	10.468,524170	Padrão - SND	Reg.	
10/09/2018	HENZ11	10.000,000000	464,003140	-	10.464,003140	Padrão - SND	Reg.	
06/09/2018	HENZ11	10.000,000000	459,484070	-	10.459,484070	Padrão - SND	Reg.	
05/09/2018	HENZ11	10.000,000000	454,966940	-	10.454,966940	Padrão - SND	Reg.	
