PU Histórico - Gerado em 17/02/2019 12:18:11

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	HMRD11	10.000,000000	3,461520	-	10.003,461520	Padrão - SND	Reg.	
14/02/2019	HMRD11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
13/02/2019	HMRD11	10.000,000000	90,389880	-	10.090,389880	Padrão - SND	Reg.	
12/02/2019	HMRD11	10.000,000000	86,898280	-	10.086,898280	Padrão - SND	Reg.	
11/02/2019	HMRD11	10.000,000000	83,407890	-	10.083,407890	Padrão - SND	Reg.	
08/02/2019	HMRD11	10.000,000000	79,918690	-	10.079,918690	Padrão - SND	Reg.	
07/02/2019	HMRD11	10.000,000000	76,430690	-	10.076,430690	Padrão - SND	Reg.	
06/02/2019	HMRD11	10.000,000000	72,943990	-	10.072,943990	Padrão - SND	Reg.	
05/02/2019	HMRD11	10.000,000000	69,458380	-	10.069,458380	Padrão - SND	Reg.	
04/02/2019	HMRD11	10.000,000000	65,974070	-	10.065,974070	Padrão - SND	Reg.	
01/02/2019	HMRD11	10.000,000000	62,490960	-	10.062,490960	Padrão - SND	Reg.	
31/01/2019	HMRD11	10.000,000000	59,008950	-	10.059,008950	Padrão - SND	Reg.	
30/01/2019	HMRD11	10.000,000000	55,528220	-	10.055,528220	Padrão - SND	Reg.	
29/01/2019	HMRD11	10.000,000000	52,048700	-	10.052,048700	Padrão - SND	Reg.	
28/01/2019	HMRD11	10.000,000000	48,570380	-	10.048,570380	Padrão - SND	Reg.	
25/01/2019	HMRD11	10.000,000000	45,093240	-	10.045,093240	Padrão - SND	Reg.	
24/01/2019	HMRD11	10.000,000000	41,617300	-	10.041,617300	Padrão - SND	Reg.	
23/01/2019	HMRD11	10.000,000000	38,142620	-	10.038,142620	Padrão - SND	Reg.	
22/01/2019	HMRD11	10.000,000000	34,669110	-	10.034,669110	Padrão - SND	Reg.	
21/01/2019	HMRD11	10.000,000000	31,196800	-	10.031,196800	Padrão - SND	Reg.	
18/01/2019	HMRD11	10.000,000000	27,725680	-	10.027,725680	Padrão - SND	Reg.	
17/01/2019	HMRD11	10.000,000000	24,255770	-	10.024,255770	Padrão - SND	Reg.	
16/01/2019	HMRD11	10.000,000000	20,787070	-	10.020,787070	Padrão - SND	Reg.	
15/01/2019	HMRD11	10.000,000000	17,319560	-	10.017,319560	Padrão - SND	Reg.	
14/01/2019	HMRD11	10.000,000000	13,853250	-	10.013,853250	Padrão - SND	Reg.	
11/01/2019	HMRD11	10.000,000000	10,388130	-	10.010,388130	Padrão - SND	Reg.	
10/01/2019	HMRD11	10.000,000000	6,924230	-	10.006,924230	Padrão - SND	Reg.	
09/01/2019	HMRD11	10.000,000000	3,461520	-	10.003,461520	Padrão - SND	Reg.	
08/01/2019	HMRD11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
07/01/2019	HMRD11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
04/01/2019	HMRD11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
03/01/2019	HMRD11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
02/01/2019	HMRD11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
31/12/2018	HMRD11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
28/12/2018	HMRD11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
27/12/2018	HMRD11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
26/12/2018	HMRD11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
24/12/2018	HMRD11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
21/12/2018	HMRD11	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
