PU Histórico - Gerado em 07/10/2018 01:07:44

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	HSPE12	90.900,000000	555,340642	-	91.455,340642	Padrão - SND	Reg.	
04/10/2018	HSPE12	90.900,000000	526,001213	-	91.426,001213	Padrão - SND	Reg.	
03/10/2018	HSPE12	90.900,000000	496,671146	-	91.396,671146	Padrão - SND	Reg.	
02/10/2018	HSPE12	90.900,000000	467,350351	-	91.367,350351	Padrão - SND	Reg.	
01/10/2018	HSPE12	90.900,000000	438,039010	-	91.338,039010	Padrão - SND	Reg.	
28/09/2018	HSPE12	90.900,000000	408,770573	-	91.308,770573	Padrão - SND	Reg.	
27/09/2018	HSPE12	90.900,000000	379,512409	-	91.279,512409	Padrão - SND	Reg.	
26/09/2018	HSPE12	90.900,000000	350,262698	-	91.250,262698	Padrão - SND	Reg.	
25/09/2018	HSPE12	90.900,000000	321,023076	-	91.221,023076	Padrão - SND	Reg.	
24/09/2018	HSPE12	90.900,000000	291,792000	-	91.191,792000	Padrão - SND	Reg.	
21/09/2018	HSPE12	90.900,000000	262,571104	-	91.162,571104	Padrão - SND	Reg.	
20/09/2018	HSPE12	90.900,000000	233,358571	-	91.133,358571	Padrão - SND	Reg.	
19/09/2018	HSPE12	90.900,000000	204,156310	-	91.104,156310	Padrão - SND	Reg.	
18/09/2018	HSPE12	90.900,000000	174,963320	-	91.074,963320	Padrão - SND	Reg.	
17/09/2018	HSPE12	90.900,000000	145,778693	-	91.045,778693	Padrão - SND	Reg.	
14/09/2018	HSPE12	90.900,000000	116,604429	-	91.016,604429	Padrão - SND	Reg.	
13/09/2018	HSPE12	90.900,000000	87,439346	-	90.987,439346	Padrão - SND	Reg.	
12/09/2018	HSPE12	90.900,000000	58,283535	-	90.958,283535	Padrão - SND	Reg.	
11/09/2018	HSPE12	90.900,000000	29,137086	-	90.929,137086	Padrão - SND	Reg.	
10/09/2018	HSPE12	90.900,000000	-  	-	90.900,000000	Padrão - SND	Reg.	
06/09/2018	HSPE12	181.810,000000	3.708,204396	-	185.518,204396	Padrão - SND	Reg.	
05/09/2018	HSPE12	181.810,000000	3.648,756344	-	185.458,756344	Padrão - SND	Reg.	
04/09/2018	HSPE12	181.810,000000	3.589,329018	-	185.399,329018	Padrão - SND	Reg.	
03/09/2018	HSPE12	181.810,000000	3.529,920419	-	185.339,920419	Padrão - SND	Reg.	
31/08/2018	HSPE12	181.810,000000	3.470,528910	-	185.280,528910	Padrão - SND	Reg.	
30/08/2018	HSPE12	181.810,000000	3.411,158127	-	185.221,158127	Padrão - SND	Reg.	
29/08/2018	HSPE12	181.810,000000	3.351,807707	-	185.161,807707	Padrão - SND	Reg.	
28/08/2018	HSPE12	181.810,000000	3.292,474196	-	185.102,474196	Padrão - SND	Reg.	
27/08/2018	HSPE12	181.810,000000	3.233,159774	-	185.043,159774	Padrão - SND	Reg.	
24/08/2018	HSPE12	181.810,000000	3.173,865715	-	184.983,865715	Padrão - SND	Reg.	
23/08/2018	HSPE12	181.810,000000	3.114,588746	-	184.924,588746	Padrão - SND	Reg.	
22/08/2018	HSPE12	181.810,000000	3.055,332322	-	184.865,332322	Padrão - SND	Reg.	
21/08/2018	HSPE12	181.810,000000	2.996,094624	-	184.806,094624	Padrão - SND	Reg.	
20/08/2018	HSPE12	181.810,000000	2.936,875653	-	184.746,875653	Padrão - SND	Reg.	
17/08/2018	HSPE12	181.810,000000	2.877,675590	-	184.687,675590	Padrão - SND	Reg.	
16/08/2018	HSPE12	181.810,000000	2.818,495889	-	184.628,495889	Padrão - SND	Reg.	
15/08/2018	HSPE12	181.810,000000	2.759,333279	-	184.569,333279	Padrão - SND	Reg.	
14/08/2018	HSPE12	181.810,000000	2.700,189577	-	184.510,189577	Padrão - SND	Reg.	
13/08/2018	HSPE12	181.810,000000	2.641,066238	-	184.451,066238	Padrão - SND	Reg.	
