PU Histórico - Gerado em 07/10/2018 01:07:57

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	IGTA24	13.957,720800	383,808736	-	14.341,529536	Padrão - SND	Reg.	
04/10/2018	IGTA24	13.954,788500	381,327336	-	14.336,115836	Padrão - SND	Reg.	
03/10/2018	IGTA24	13.951,856800	378,847366	-	14.330,704166	Padrão - SND	Reg.	
02/10/2018	IGTA24	13.948,925800	376,368827	-	14.325,294627	Padrão - SND	Reg.	
01/10/2018	IGTA24	13.945,995400	373,891718	-	14.319,887118	Padrão - SND	Reg.	
28/09/2018	IGTA24	13.943,065500	371,416020	-	14.314,481520	Padrão - SND	Reg.	
27/09/2018	IGTA24	13.940,136300	368,941766	-	14.309,078066	Padrão - SND	Reg.	
26/09/2018	IGTA24	13.937,207700	366,468925	-	14.303,676625	Padrão - SND	Reg.	
25/09/2018	IGTA24	13.934,279700	363,997510	-	14.298,277210	Padrão - SND	Reg.	
24/09/2018	IGTA24	13.931,352400	361,527510	-	14.292,879910	Padrão - SND	Reg.	
21/09/2018	IGTA24	13.926,088400	358,998697	-	14.285,087097	Padrão - SND	Reg.	
20/09/2018	IGTA24	13.923,746900	356,546918	-	14.280,293818	Padrão - SND	Reg.	
19/09/2018	IGTA24	13.921,405800	354,096358	-	14.275,502158	Padrão - SND	Reg.	
18/09/2018	IGTA24	13.919,065000	351,646998	-	14.270,711998	Padrão - SND	Reg.	
17/09/2018	IGTA24	13.916,724800	349,198876	-	14.265,923676	Padrão - SND	Reg.	
14/09/2018	IGTA24	13.917,293800	346,824444	-	14.264,118244	Padrão - SND	Reg.	
13/09/2018	IGTA24	13.917,862800	344,450221	-	14.262,313021	Padrão - SND	Reg.	
12/09/2018	IGTA24	13.918,431800	342,076193	-	14.260,507993	Padrão - SND	Reg.	
11/09/2018	IGTA24	13.919,000800	339,702387	-	14.258,703187	Padrão - SND	Reg.	
10/09/2018	IGTA24	13.919,569800	337,328775	-	14.256,898575	Padrão - SND	Reg.	
06/09/2018	IGTA24	13.929,247400	335,174549	-	14.264,421949	Padrão - SND	Reg.	
05/09/2018	IGTA24	13.929,247400	332,786184	-	14.262,033584	Padrão - SND	Reg.	
04/09/2018	IGTA24	13.929,247400	330,398224	-	14.259,645624	Padrão - SND	Reg.	
03/09/2018	IGTA24	13.929,247400	328,010667	-	14.257,258067	Padrão - SND	Reg.	
31/08/2018	IGTA24	13.929,247400	325,623515	-	14.254,870915	Padrão - SND	Reg.	
30/08/2018	IGTA24	13.929,247400	323,236752	-	14.252,484152	Padrão - SND	Reg.	
29/08/2018	IGTA24	13.929,247400	320,850393	-	14.250,097793	Padrão - SND	Reg.	
28/08/2018	IGTA24	13.929,247400	318,464439	-	14.247,711839	Padrão - SND	Reg.	
27/08/2018	IGTA24	13.929,247400	316,078874	-	14.245,326274	Padrão - SND	Reg.	
24/08/2018	IGTA24	13.929,247400	313,693713	-	14.242,941113	Padrão - SND	Reg.	
23/08/2018	IGTA24	13.940,631700	311,563387	-	14.252,195087	Padrão - SND	Reg.	
22/08/2018	IGTA24	13.938,733500	309,134973	-	14.247,868473	Padrão - SND	Reg.	
21/08/2018	IGTA24	13.936,835800	306,707624	-	14.243,543424	Padrão - SND	Reg.	
20/08/2018	IGTA24	13.934,938400	304,281336	-	14.239,219736	Padrão - SND	Reg.	
17/08/2018	IGTA24	13.933,041100	301,856089	-	14.234,897189	Padrão - SND	Reg.	
16/08/2018	IGTA24	13.931,144000	299,431899	-	14.230,575899	Padrão - SND	Reg.	
