PU Histórico - Gerado em 07/10/2018 01:08:01

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ILAM14	14.852,364055	6.654,916139	-	21.507,280194	Padrão - SND	Reg.	
04/10/2018	ILAM14	14.852,364055	6.649,622459	-	21.501,986514	Padrão - SND	Reg.	
03/10/2018	ILAM14	14.852,364055	6.644,329968	-	21.496,694023	Padrão - SND	Reg.	
02/10/2018	ILAM14	14.852,364055	6.639,038665	-	21.491,402720	Padrão - SND	Reg.	
01/10/2018	ILAM14	14.852,364055	6.633,748847	-	21.486,112902	Padrão - SND	Reg.	
28/09/2018	ILAM14	14.852,364055	6.628,468237	-	21.480,832292	Padrão - SND	Reg.	
27/09/2018	ILAM14	14.852,364055	6.623,188816	-	21.475,552871	Padrão - SND	Reg.	
26/09/2018	ILAM14	14.852,364055	6.617,910880	-	21.470,274935	Padrão - SND	Reg.	
25/09/2018	ILAM14	14.852,364055	6.612,634132	-	21.464,998187	Padrão - SND	Reg.	
24/09/2018	ILAM14	14.852,364055	6.607,358721	-	21.459,722776	Padrão - SND	Reg.	
21/09/2018	ILAM14	14.852,364055	6.602,084498	-	21.454,448553	Padrão - SND	Reg.	
20/09/2018	ILAM14	14.852,364055	6.596,811611	-	21.449,175666	Padrão - SND	Reg.	
19/09/2018	ILAM14	14.852,364055	6.591,540062	-	21.443,904117	Padrão - SND	Reg.	
18/09/2018	ILAM14	14.852,364055	6.586,269849	-	21.438,633904	Padrão - SND	Reg.	
17/09/2018	ILAM14	14.852,364055	6.581,000824	-	21.433,364879	Padrão - SND	Reg.	
14/09/2018	ILAM14	14.852,364055	6.575,733136	-	21.428,097191	Padrão - SND	Reg.	
13/09/2018	ILAM14	14.852,364055	6.570,466785	-	21.422,830840	Padrão - SND	Reg.	
12/09/2018	ILAM14	14.852,364055	6.565,201771	-	21.417,565826	Padrão - SND	Reg.	
11/09/2018	ILAM14	14.852,364055	6.559,937944	-	21.412,301999	Padrão - SND	Reg.	
10/09/2018	ILAM14	14.852,364055	6.554,675455	-	21.407,039510	Padrão - SND	Reg.	
06/09/2018	ILAM14	14.852,364055	6.549,414302	-	21.401,778357	Padrão - SND	Reg.	
05/09/2018	ILAM14	14.852,364055	6.544,154337	-	21.396,518392	Padrão - SND	Reg.	
04/09/2018	ILAM14	14.852,364055	6.538,895709	-	21.391,259764	Padrão - SND	Reg.	
03/09/2018	ILAM14	14.852,364055	6.533,638418	-	21.386,002473	Padrão - SND	Reg.	
31/08/2018	ILAM14	14.852,364055	6.528,382463	-	21.380,746518	Padrão - SND	Reg.	
30/08/2018	ILAM14	14.852,364055	6.523,127697	-	21.375,491752	Padrão - SND	Reg.	
29/08/2018	ILAM14	14.852,364055	6.517,874267	-	21.370,238322	Padrão - SND	Reg.	
