PU Histórico - Gerado em 07/10/2018 01:08:39

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	IOCH18	1.000,000000	2,110492	-	1.002,110492	Padrão - SND	Reg.	
04/10/2018	IOCH18	1.000,000000	1,808565	-	1.001,808565	Padrão - SND	Reg.	
03/10/2018	IOCH18	1.000,000000	1,506728	-	1.001,506728	Padrão - SND	Reg.	
02/10/2018	IOCH18	1.000,000000	1,204972	-	1.001,204972	Padrão - SND	Reg.	
01/10/2018	IOCH18	1.000,000000	0,903316	-	1.000,903316	Padrão - SND	Reg.	
28/09/2018	IOCH18	1.000,000000	0,602121	-	1.000,602121	Padrão - SND	Reg.	
27/09/2018	IOCH18	1.000,000000	0,301016	-	1.000,301016	Padrão - SND	Reg.	
26/09/2018	IOCH18	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
25/09/2018	IOCH18	1.000,000000	38,337896	-	1.038,337896	Padrão - SND	Reg.	
24/09/2018	IOCH18	1.000,000000	38,025433	-	1.038,025433	Padrão - SND	Reg.	
21/09/2018	IOCH18	1.000,000000	37,713061	-	1.037,713061	Padrão - SND	Reg.	
20/09/2018	IOCH18	1.000,000000	37,400791	-	1.037,400791	Padrão - SND	Reg.	
19/09/2018	IOCH18	1.000,000000	37,088613	-	1.037,088613	Padrão - SND	Reg.	
18/09/2018	IOCH18	1.000,000000	36,776527	-	1.036,776527	Padrão - SND	Reg.	
17/09/2018	IOCH18	1.000,000000	36,464531	-	1.036,464531	Padrão - SND	Reg.	
14/09/2018	IOCH18	1.000,000000	36,152638	-	1.036,152638	Padrão - SND	Reg.	
13/09/2018	IOCH18	1.000,000000	35,840837	-	1.035,840837	Padrão - SND	Reg.	
12/09/2018	IOCH18	1.000,000000	35,529127	-	1.035,529127	Padrão - SND	Reg.	
11/09/2018	IOCH18	1.000,000000	35,217508	-	1.035,217508	Padrão - SND	Reg.	
10/09/2018	IOCH18	1.000,000000	34,905981	-	1.034,905981	Padrão - SND	Reg.	
06/09/2018	IOCH18	1.000,000000	34,594557	-	1.034,594557	Padrão - SND	Reg.	
05/09/2018	IOCH18	1.000,000000	34,283223	-	1.034,283223	Padrão - SND	Reg.	
04/09/2018	IOCH18	1.000,000000	33,971981	-	1.033,971981	Padrão - SND	Reg.	
03/09/2018	IOCH18	1.000,000000	33,660830	-	1.033,660830	Padrão - SND	Reg.	
31/08/2018	IOCH18	1.000,000000	33,349772	-	1.033,349772	Padrão - SND	Reg.	
30/08/2018	IOCH18	1.000,000000	33,038814	-	1.033,038814	Padrão - SND	Reg.	
29/08/2018	IOCH18	1.000,000000	32,727949	-	1.032,727949	Padrão - SND	Reg.	
28/08/2018	IOCH18	1.000,000000	32,417175	-	1.032,417175	Padrão - SND	Reg.	
27/08/2018	IOCH18	1.000,000000	32,106492	-	1.032,106492	Padrão - SND	Reg.	
24/08/2018	IOCH18	1.000,000000	31,795911	-	1.031,795911	Padrão - SND	Reg.	
23/08/2018	IOCH18	1.000,000000	31,485411	-	1.031,485411	Padrão - SND	Reg.	
22/08/2018	IOCH18	1.000,000000	31,175013	-	1.031,175013	Padrão - SND	Reg.	
21/08/2018	IOCH18	1.000,000000	30,864706	-	1.030,864706	Padrão - SND	Reg.	
20/08/2018	IOCH18	1.000,000000	30,554501	-	1.030,554501	Padrão - SND	Reg.	
17/08/2018	IOCH18	1.000,000000	30,244377	-	1.030,244377	Padrão - SND	Reg.	
16/08/2018	IOCH18	1.000,000000	29,934355	-	1.029,934355	Padrão - SND	Reg.	
15/08/2018	IOCH18	1.000,000000	29,624423	-	1.029,624423	Padrão - SND	Reg.	
14/08/2018	IOCH18	1.000,000000	29,314583	-	1.029,314583	Padrão - SND	Reg.	
13/08/2018	IOCH18	1.000,000000	29,004836	-	1.029,004836	Padrão - SND	Reg.	
10/08/2018	IOCH18	1.000,000000	28,695178	-	1.028,695178	Padrão - SND	Reg.	
09/08/2018	IOCH18	1.000,000000	28,385622	-	1.028,385622	Padrão - SND	Reg.	
08/08/2018	IOCH18	1.000,000000	28,076159	-	1.028,076159	Padrão - SND	Reg.	
07/08/2018	IOCH18	1.000,000000	27,766785	-	1.027,766785	Padrão - SND	Reg.	
06/08/2018	IOCH18	1.000,000000	27,457504	-	1.027,457504	Padrão - SND	Reg.	
03/08/2018	IOCH18	1.000,000000	27,148314	-	1.027,148314	Padrão - SND	Reg.	
02/08/2018	IOCH18	1.000,000000	26,839214	-	1.026,839214	Padrão - SND	Reg.	
01/08/2018	IOCH18	1.000,000000	26,530217	-	1.026,530217	Padrão - SND	Reg.	
31/07/2018	IOCH18	1.000,000000	26,221310	-	1.026,221310	Padrão - SND	Reg.	
30/07/2018	IOCH18	1.000,000000	25,912495	-	1.025,912495	Padrão - SND	Reg.	
27/07/2018	IOCH18	1.000,000000	25,603771	-	1.025,603771	Padrão - SND	Reg.	
26/07/2018	IOCH18	1.000,000000	25,295138	-	1.025,295138	Padrão - SND	Reg.	
