PU Histórico - Gerado em 07/10/2018 01:08:42

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	IPPT14	1.000.000,000000	24.294,160000	-	1.024.294,160000	Padrão - SND	Reg.	
04/10/2018	IPPT14	1.000.000,000000	24.029,440000	-	1.024.029,440000	Padrão - SND	Reg.	
03/10/2018	IPPT14	1.000.000,000000	23.764,790000	-	1.023.764,790000	Padrão - SND	Reg.	
02/10/2018	IPPT14	1.000.000,000000	23.500,200000	-	1.023.500,200000	Padrão - SND	Reg.	
01/10/2018	IPPT14	1.000.000,000000	23.235,690000	-	1.023.235,690000	Padrão - SND	Reg.	
28/09/2018	IPPT14	1.000.000,000000	22.971,640000	-	1.022.971,640000	Padrão - SND	Reg.	
27/09/2018	IPPT14	1.000.000,000000	22.707,650000	-	1.022.707,650000	Padrão - SND	Reg.	
26/09/2018	IPPT14	1.000.000,000000	22.443,740000	-	1.022.443,740000	Padrão - SND	Reg.	
25/09/2018	IPPT14	1.000.000,000000	22.179,890000	-	1.022.179,890000	Padrão - SND	Reg.	
24/09/2018	IPPT14	1.000.000,000000	21.916,110000	-	1.021.916,110000	Padrão - SND	Reg.	
21/09/2018	IPPT14	1.000.000,000000	21.652,400000	-	1.021.652,400000	Padrão - SND	Reg.	
20/09/2018	IPPT14	1.000.000,000000	21.388,760000	-	1.021.388,760000	Padrão - SND	Reg.	
19/09/2018	IPPT14	1.000.000,000000	21.125,190000	-	1.021.125,190000	Padrão - SND	Reg.	
18/09/2018	IPPT14	1.000.000,000000	20.861,680000	-	1.020.861,680000	Padrão - SND	Reg.	
17/09/2018	IPPT14	1.000.000,000000	20.598,240000	-	1.020.598,240000	Padrão - SND	Reg.	
14/09/2018	IPPT14	1.000.000,000000	20.334,870000	-	1.020.334,870000	Padrão - SND	Reg.	
13/09/2018	IPPT14	1.000.000,000000	20.071,570000	-	1.020.071,570000	Padrão - SND	Reg.	
12/09/2018	IPPT14	1.000.000,000000	19.808,330000	-	1.019.808,330000	Padrão - SND	Reg.	
11/09/2018	IPPT14	1.000.000,000000	19.545,170000	-	1.019.545,170000	Padrão - SND	Reg.	
10/09/2018	IPPT14	1.000.000,000000	19.282,070000	-	1.019.282,070000	Padrão - SND	Reg.	
06/09/2018	IPPT14	1.000.000,000000	19.019,040000	-	1.019.019,040000	Padrão - SND	Reg.	
05/09/2018	IPPT14	1.000.000,000000	18.756,080000	-	1.018.756,080000	Padrão - SND	Reg.	
04/09/2018	IPPT14	1.000.000,000000	18.493,180000	-	1.018.493,180000	Padrão - SND	Reg.	
03/09/2018	IPPT14	1.000.000,000000	18.230,350000	-	1.018.230,350000	Padrão - SND	Reg.	
31/08/2018	IPPT14	1.000.000,000000	17.967,590000	-	1.017.967,590000	Padrão - SND	Reg.	
30/08/2018	IPPT14	1.000.000,000000	17.704,900000	-	1.017.704,900000	Padrão - SND	Reg.	
29/08/2018	IPPT14	1.000.000,000000	17.442,280000	-	1.017.442,280000	Padrão - SND	Reg.	
28/08/2018	IPPT14	1.000.000,000000	17.179,720000	-	1.017.179,720000	Padrão - SND	Reg.	
