PU Histórico - Gerado em 07/10/2018 01:08:50

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ISOL23	629,000000	25,794591	-	654,794591	Padrão - SND	Reg.	
04/10/2018	ISOL23	629,000000	25,461331	-	654,461331	Padrão - SND	Reg.	
03/10/2018	ISOL23	629,000000	25,128232	-	654,128232	Padrão - SND	Reg.	
02/10/2018	ISOL23	629,000000	24,795308	-	653,795308	Padrão - SND	Reg.	
01/10/2018	ISOL23	629,000000	24,462553	-	653,462553	Padrão - SND	Reg.	
28/09/2018	ISOL23	629,000000	24,130211	-	653,130211	Padrão - SND	Reg.	
27/09/2018	ISOL23	629,000000	23,798029	-	652,798029	Padrão - SND	Reg.	
26/09/2018	ISOL23	629,000000	23,466022	-	652,466022	Padrão - SND	Reg.	
25/09/2018	ISOL23	629,000000	23,134189	-	652,134189	Padrão - SND	Reg.	
24/09/2018	ISOL23	629,000000	22,802517	-	651,802517	Padrão - SND	Reg.	
21/09/2018	ISOL23	629,000000	22,471021	-	651,471021	Padrão - SND	Reg.	
20/09/2018	ISOL23	629,000000	22,139684	-	651,139684	Padrão - SND	Reg.	
19/09/2018	ISOL23	629,000000	21,808522	-	650,808522	Padrão - SND	Reg.	
18/09/2018	ISOL23	629,000000	21,477528	-	650,477528	Padrão - SND	Reg.	
17/09/2018	ISOL23	629,000000	21,146700	-	650,146700	Padrão - SND	Reg.	
14/09/2018	ISOL23	629,000000	20,816041	-	649,816041	Padrão - SND	Reg.	
13/09/2018	ISOL23	629,000000	20,485555	-	649,485555	Padrão - SND	Reg.	
12/09/2018	ISOL23	629,000000	20,155230	-	649,155230	Padrão - SND	Reg.	
11/09/2018	ISOL23	629,000000	19,825078	-	648,825078	Padrão - SND	Reg.	
10/09/2018	ISOL23	629,000000	19,495094	-	648,495094	Padrão - SND	Reg.	
06/09/2018	ISOL23	629,000000	19,165270	-	648,165270	Padrão - SND	Reg.	
05/09/2018	ISOL23	629,000000	18,835619	-	647,835619	Padrão - SND	Reg.	
04/09/2018	ISOL23	629,000000	18,506142	-	647,506142	Padrão - SND	Reg.	
03/09/2018	ISOL23	629,000000	18,176824	-	647,176824	Padrão - SND	Reg.	
31/08/2018	ISOL23	629,000000	17,847674	-	646,847674	Padrão - SND	Reg.	
30/08/2018	ISOL23	629,000000	17,518697	-	646,518697	Padrão - SND	Reg.	
29/08/2018	ISOL23	629,000000	17,189879	-	646,189879	Padrão - SND	Reg.	
28/08/2018	ISOL23	629,000000	16,861235	-	645,861235	Padrão - SND	Reg.	
27/08/2018	ISOL23	629,000000	16,532757	-	645,532757	Padrão - SND	Reg.	
24/08/2018	ISOL23	629,000000	16,204445	-	645,204445	Padrão - SND	Reg.	
23/08/2018	ISOL23	629,000000	15,876300	-	644,876300	Padrão - SND	Reg.	
22/08/2018	ISOL23	629,000000	15,548326	-	644,548326	Padrão - SND	Reg.	
21/08/2018	ISOL23	629,000000	15,220514	-	644,220514	Padrão - SND	Reg.	
20/08/2018	ISOL23	629,000000	14,892866	-	643,892866	Padrão - SND	Reg.	
17/08/2018	ISOL23	629,000000	14,565391	-	643,565391	Padrão - SND	Reg.	
16/08/2018	ISOL23	629,000000	14,238082	-	643,238082	Padrão - SND	Reg.	
15/08/2018	ISOL23	629,000000	13,910933	-	642,910933	Padrão - SND	Reg.	
14/08/2018	ISOL23	629,000000	13,583955	-	642,583955	Padrão - SND	Reg.	
13/08/2018	ISOL23	629,000000	13,257143	-	642,257143	Padrão - SND	Reg.	
10/08/2018	ISOL23	629,000000	12,930496	-	641,930496	Padrão - SND	Reg.	
09/08/2018	ISOL23	629,000000	12,604022	-	641,604022	Padrão - SND	Reg.	
08/08/2018	ISOL23	629,000000	12,277707	-	641,277707	Padrão - SND	Reg.	
07/08/2018	ISOL23	629,000000	11,951557	-	640,951557	Padrão - SND	Reg.	
06/08/2018	ISOL23	629,000000	11,625577	-	640,625577	Padrão - SND	Reg.	
03/08/2018	ISOL23	629,000000	11,299758	-	640,299758	Padrão - SND	Reg.	
02/08/2018	ISOL23	629,000000	10,974110	-	639,974110	Padrão - SND	Reg.	
01/08/2018	ISOL23	629,000000	10,648627	-	639,648627	Padrão - SND	Reg.	
31/07/2018	ISOL23	629,000000	10,323308	-	639,323308	Padrão - SND	Reg.	
30/07/2018	ISOL23	629,000000	9,998154	-	638,998154	Padrão - SND	Reg.	
27/07/2018	ISOL23	629,000000	9,673166	-	638,673166	Padrão - SND	Reg.	
26/07/2018	ISOL23	629,000000	9,348343	-	638,348343	Padrão - SND	Reg.	
25/07/2018	ISOL23	629,000000	9,023683	-	638,023683	Padrão - SND	Reg.	
24/07/2018	ISOL23	629,000000	8,699195	-	637,699195	Padrão - SND	Reg.	
23/07/2018	ISOL23	629,000000	8,374865	-	637,374865	Padrão - SND	Reg.	
20/07/2018	ISOL23	629,000000	8,050699	-	637,050699	Padrão - SND	Reg.	
19/07/2018	ISOL23	629,000000	7,726704	-	636,726704	Padrão - SND	Reg.	
18/07/2018	ISOL23	629,000000	7,402874	-	636,402874	Padrão - SND	Reg.	
17/07/2018	ISOL23	629,000000	7,079201	-	636,079201	Padrão - SND	Reg.	
16/07/2018	ISOL23	629,000000	6,755699	-	635,755699	Padrão - SND	Reg.	
13/07/2018	ISOL23	629,000000	6,432360	-	635,432360	Padrão - SND	Reg.	
12/07/2018	ISOL23	629,000000	6,109186	-	635,109186	Padrão - SND	Reg.	
11/07/2018	ISOL23	629,000000	5,786176	-	634,786176	Padrão - SND	Reg.	
10/07/2018	ISOL23	629,000000	5,463330	-	634,463330	Padrão - SND	Reg.	
09/07/2018	ISOL23	629,000000	5,140647	-	634,140647	Padrão - SND	Reg.	
06/07/2018	ISOL23	629,000000	4,818127	-	633,818127	Padrão - SND	Reg.	
05/07/2018	ISOL23	629,000000	4,495772	-	633,495772	Padrão - SND	Reg.	
04/07/2018	ISOL23	629,000000	4,173587	-	633,173587	Padrão - SND	Reg.	
03/07/2018	ISOL23	629,000000	3,851559	-	632,851559	Padrão - SND	Reg.	
