PU Histórico - Gerado em 07/10/2018 01:08:59

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	IVIA14	6.667,000000	237,450085	-	6.904,450085	Padrão - SND	Reg.	
04/10/2018	IVIA14	6.667,000000	235,450972	-	6.902,450972	Padrão - SND	Reg.	
03/10/2018	IVIA14	6.667,000000	233,452412	-	6.900,452412	Padrão - SND	Reg.	
02/10/2018	IVIA14	6.667,000000	231,454492	-	6.898,454492	Padrão - SND	Reg.	
01/10/2018	IVIA14	6.667,000000	229,457139	-	6.896,457139	Padrão - SND	Reg.	
28/09/2018	IVIA14	6.667,000000	227,462886	-	6.894,462886	Padrão - SND	Reg.	
27/09/2018	IVIA14	6.667,000000	225,469193	-	6.892,469193	Padrão - SND	Reg.	
26/09/2018	IVIA14	6.667,000000	223,476067	-	6.890,476067	Padrão - SND	Reg.	
25/09/2018	IVIA14	6.667,000000	221,483574	-	6.888,483574	Padrão - SND	Reg.	
24/09/2018	IVIA14	6.667,000000	219,491641	-	6.886,491641	Padrão - SND	Reg.	
21/09/2018	IVIA14	6.667,000000	217,500261	-	6.884,500261	Padrão - SND	Reg.	
20/09/2018	IVIA14	6.667,000000	215,509455	-	6.882,509455	Padrão - SND	Reg.	
19/09/2018	IVIA14	6.667,000000	213,519209	-	6.880,519209	Padrão - SND	Reg.	
18/09/2018	IVIA14	6.667,000000	211,529583	-	6.878,529583	Padrão - SND	Reg.	
17/09/2018	IVIA14	6.667,000000	209,540523	-	6.876,540523	Padrão - SND	Reg.	
14/09/2018	IVIA14	6.667,000000	207,552024	-	6.874,552024	Padrão - SND	Reg.	
13/09/2018	IVIA14	6.667,000000	205,564098	-	6.872,564098	Padrão - SND	Reg.	
12/09/2018	IVIA14	6.667,000000	203,576785	-	6.870,576785	Padrão - SND	Reg.	
11/09/2018	IVIA14	6.667,000000	201,589972	-	6.868,589972	Padrão - SND	Reg.	
10/09/2018	IVIA14	6.667,000000	199,603786	-	6.866,603786	Padrão - SND	Reg.	
06/09/2018	IVIA14	6.667,000000	197,618160	-	6.864,618160	Padrão - SND	Reg.	
05/09/2018	IVIA14	6.667,000000	195,633168	-	6.862,633168	Padrão - SND	Reg.	
