PU Histórico - Gerado em 07/10/2018 01:09:07

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	IVPR13	14.895,949942	1.718,300840	-	16.614,250782	Padrão - SND	Reg.	
04/10/2018	IVPR13	14.892,820534	1.710,509467	-	16.603,330000	Padrão - SND	Reg.	
03/10/2018	IVPR13	14.889,691822	1.702,724615	-	16.592,416437	Padrão - SND	Reg.	
02/10/2018	IVPR13	14.886,563806	1.694,946284	-	16.581,510089	Padrão - SND	Reg.	
01/10/2018	IVPR13	14.883,436347	1.687,174452	-	16.570,610799	Padrão - SND	Reg.	
28/09/2018	IVPR13	14.880,309584	1.679,409135	-	16.559,718719	Padrão - SND	Reg.	
27/09/2018	IVPR13	14.877,183518	1.671,650313	-	16.548,833830	Padrão - SND	Reg.	
26/09/2018	IVPR13	14.874,058008	1.663,897982	-	16.537,955990	Padrão - SND	Reg.	
25/09/2018	IVPR13	14.870,933195	1.656,152155	-	16.527,085350	Padrão - SND	Reg.	
24/09/2018	IVPR13	14.867,809078	1.648,412830	-	16.516,221908	Padrão - SND	Reg.	
21/09/2018	IVPR13	14.862,191181	1.640,404661	-	16.502,595842	Padrão - SND	Reg.	
20/09/2018	IVPR13	14.859,692389	1.632,748079	-	16.492,440468	Padrão - SND	Reg.	
19/09/2018	IVPR13	14.857,193875	1.625,097338	-	16.482,291213	Padrão - SND	Reg.	
18/09/2018	IVPR13	14.854,695778	1.617,452406	-	16.472,148184	Padrão - SND	Reg.	
17/09/2018	IVPR13	14.852,198239	1.609,813311	-	16.462,011550	Padrão - SND	Reg.	
14/09/2018	IVPR13	14.485,216333	1.562,854648	-	16.048,070981	Padrão - SND	Reg.	
13/09/2018	IVPR13	14.485,808518	1.555,739562	-	16.041,548081	Padrão - SND	Reg.	
12/09/2018	IVPR13	14.486,400843	1.548,627121	-	16.035,027964	Padrão - SND	Reg.	
11/09/2018	IVPR13	14.486,993029	1.541,517279	-	16.028,510308	Padrão - SND	Reg.	
10/09/2018	IVPR13	14.487,585215	1.534,410067	-	16.021,995281	Padrão - SND	Reg.	
06/09/2018	IVPR13	14.865,562588	1.567,088422	-	16.432,651010	Padrão - SND	Reg.	
05/09/2018	IVPR13	14.865,562588	1.559,737714	-	16.425,300301	Padrão - SND	Reg.	
04/09/2018	IVPR13	14.865,562588	1.552,390276	-	16.417,952863	Padrão - SND	Reg.	
03/09/2018	IVPR13	14.865,562588	1.545,046138	-	16.410,608725	Padrão - SND	Reg.	
31/08/2018	IVPR13	14.865,562588	1.537,705285	-	16.403,267873	Padrão - SND	Reg.	
30/08/2018	IVPR13	14.865,562588	1.530,367703	-	16.395,930290	Padrão - SND	Reg.	
29/08/2018	IVPR13	14.865,562588	1.523,033421	-	16.388,596008	Padrão - SND	Reg.	
28/08/2018	IVPR13	14.865,562588	1.515,702409	-	16.381,264997	Padrão - SND	Reg.	
27/08/2018	IVPR13	14.865,562588	1.508,374668	-	16.373,937255	Padrão - SND	Reg.	
24/08/2018	IVPR13	14.865,562588	1.501,050212	-	16.366,612800	Padrão - SND	Reg.	
23/08/2018	IVPR13	14.877,712071	1.494,949852	-	16.372,661923	Padrão - SND	Reg.	
22/08/2018	IVPR13	14.875,686415	1.487,423425	-	16.363,109840	Padrão - SND	Reg.	
21/08/2018	IVPR13	14.873,661036	1.479,902292	-	16.353,563329	Padrão - SND	Reg.	
20/08/2018	IVPR13	14.871,636076	1.472,386466	-	16.344,022542	Padrão - SND	Reg.	
17/08/2018	IVPR13	14.869,611255	1.464,875916	-	16.334,487171	Padrão - SND	Reg.	
16/08/2018	IVPR13	14.867,586712	1.457,370671	-	16.324,957383	Padrão - SND	Reg.	
15/08/2018	IVPR13	14.497,657801	1.413,988141	-	15.911,645943	Padrão - SND	Reg.	
14/08/2018	IVPR13	14.495,486361	1.406,659768	-	15.902,146129	Padrão - SND	Reg.	
13/08/2018	IVPR13	14.493,315478	1.399,336755	-	15.892,652232	Padrão - SND	Reg.	
10/08/2018	IVPR13	14.491,144734	1.392,019073	-	15.883,163807	Padrão - SND	Reg.	
09/08/2018	IVPR13	14.488,974407	1.384,706735	-	15.873,681142	Padrão - SND	Reg.	
08/08/2018	IVPR13	14.859,002457	1.412,788188	-	16.271,790645	Padrão - SND	Reg.	
07/08/2018	IVPR13	14.856,508120	1.405,273478	-	16.261,781598	Padrão - SND	Reg.	
06/08/2018	IVPR13	14.854,014340	1.397,764532	-	16.251,778872	Padrão - SND	Reg.	
03/08/2018	IVPR13	14.851,520978	1.390,261319	-	16.241,782298	Padrão - SND	Reg.	
02/08/2018	IVPR13	14.849,028173	1.382,763851	-	16.231,792024	Padrão - SND	Reg.	
01/08/2018	IVPR13	14.846,535507	1.375,272086	-	16.221,807593	Padrão - SND	Reg.	
31/07/2018	IVPR13	14.844,043537	1.367,786059	-	16.211,829597	Padrão - SND	Reg.	
30/07/2018	IVPR13	14.841,551846	1.360,305744	-	16.201,857590	Padrão - SND	Reg.	
27/07/2018	IVPR13	14.839,060573	1.352,831151	-	16.191,891724	Padrão - SND	Reg.	
