PU Histórico - Gerado em 07/10/2018 01:09:24

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	JSML36	1.359,880850	22,824968	-	1.382,705818	Padrão - SND	Reg.	
04/10/2018	JSML36	1.359,945220	22,429268	-	1.382,374488	Padrão - SND	Reg.	
03/10/2018	JSML36	1.360,009600	22,033645	-	1.382,043245	Padrão - SND	Reg.	
02/10/2018	JSML36	1.360,073990	21,638099	-	1.381,712088	Padrão - SND	Reg.	
01/10/2018	JSML36	1.360,138370	21,242627	-	1.381,380997	Padrão - SND	Reg.	
28/09/2018	JSML36	1.360,202760	20,847233	-	1.381,049993	Padrão - SND	Reg.	
27/09/2018	JSML36	1.360,267140	20,451916	-	1.380,719056	Padrão - SND	Reg.	
26/09/2018	JSML36	1.360,331540	20,056674	-	1.380,388214	Padrão - SND	Reg.	
25/09/2018	JSML36	1.360,395940	19,661507	-	1.380,057447	Padrão - SND	Reg.	
24/09/2018	JSML36	1.360,460330	19,266419	-	1.379,726749	Padrão - SND	Reg.	
21/09/2018	JSML36	1.360,524730	18,871406	-	1.379,396136	Padrão - SND	Reg.	
20/09/2018	JSML36	1.360,589140	18,476469	-	1.379,065609	Padrão - SND	Reg.	
19/09/2018	JSML36	1.360,653550	18,081608	-	1.378,735158	Padrão - SND	Reg.	
18/09/2018	JSML36	1.360,717960	17,686823	-	1.378,404783	Padrão - SND	Reg.	
17/09/2018	JSML36	1.360,782380	17,292115	-	1.378,074495	Padrão - SND	Reg.	
14/09/2018	JSML36	1.360,838020	16,897373	-	1.377,735393	Padrão - SND	Reg.	
13/09/2018	JSML36	1.360,893660	16,502712	-	1.377,396372	Padrão - SND	Reg.	
12/09/2018	JSML36	1.360,949300	16,108133	-	1.377,057433	Padrão - SND	Reg.	
11/09/2018	JSML36	1.361,004940	15,713635	-	1.376,718575	Padrão - SND	Reg.	
10/09/2018	JSML36	1.361,060570	15,319219	-	1.376,379789	Padrão - SND	Reg.	
06/09/2018	JSML36	1.365,274840	14,970482	-	1.380,245322	Padrão - SND	Reg.	
05/09/2018	JSML36	1.365,070360	14,572243	-	1.379,642603	Padrão - SND	Reg.	
04/09/2018	JSML36	1.364,865910	14,174239	-	1.379,040149	Padrão - SND	Reg.	
03/09/2018	JSML36	1.364,661490	13,776465	-	1.378,437955	Padrão - SND	Reg.	
31/08/2018	JSML36	1.364,457110	13,378925	-	1.377,836035	Padrão - SND	Reg.	
30/08/2018	JSML36	1.364,252750	12,981615	-	1.377,234365	Padrão - SND	Reg.	
29/08/2018	JSML36	1.364,048420	12,584539	-	1.376,632959	Padrão - SND	Reg.	
28/08/2018	JSML36	1.363,844130	12,187696	-	1.376,031826	Padrão - SND	Reg.	
27/08/2018	JSML36	1.363,639860	11,791083	-	1.375,430943	Padrão - SND	Reg.	
24/08/2018	JSML36	1.363,435630	11,394702	-	1.374,830332	Padrão - SND	Reg.	
23/08/2018	JSML36	1.363,231420	10,998552	-	1.374,229972	Padrão - SND	Reg.	
22/08/2018	JSML36	1.363,027260	10,602636	-	1.373,629896	Padrão - SND	Reg.	
21/08/2018	JSML36	1.362,823110	10,206950	-	1.373,030060	Padrão - SND	Reg.	
20/08/2018	JSML36	1.362,619000	9,811495	-	1.372,430494	Padrão - SND	Reg.	
17/08/2018	JSML36	1.362,414910	9,416272	-	1.371,831182	Padrão - SND	Reg.	
16/08/2018	JSML36	1.362,210870	9,021280	-	1.371,232150	Padrão - SND	Reg.	
15/08/2018	JSML36	1.362,006860	8,626518	-	1.370,633378	Padrão - SND	Reg.	
14/08/2018	JSML36	1.361,802860	8,231988	-	1.370,034848	Padrão - SND	Reg.	
13/08/2018	JSML36	1.361,598910	7,837689	-	1.369,436599	Padrão - SND	Reg.	
10/08/2018	JSML36	1.361,394980	7,443620	-	1.368,838600	Padrão - SND	Reg.	
09/08/2018	JSML36	1.361,191080	7,049781	-	1.368,240861	Padrão - SND	Reg.	
08/08/2018	JSML36	1.370,724820	6,703797	-	1.377,428617	Padrão - SND	Reg.	
07/08/2018	JSML36	1.369,944880	6,304960	-	1.376,249840	Padrão - SND	Reg.	
06/08/2018	JSML36	1.369,165390	5,906689	-	1.375,072079	Padrão - SND	Reg.	
03/08/2018	JSML36	1.368,386350	5,508983	-	1.373,895332	Padrão - SND	Reg.	
02/08/2018	JSML36	1.367,607750	5,111839	-	1.372,719589	Padrão - SND	Reg.	
01/08/2018	JSML36	1.366,829590	4,715259	-	1.371,544849	Padrão - SND	Reg.	
31/07/2018	JSML36	1.366,051860	4,319240	-	1.370,371100	Padrão - SND	Reg.	
30/07/2018	JSML36	1.365,274600	3,923784	-	1.369,198384	Padrão - SND	Reg.	
27/07/2018	JSML36	1.364,497770	3,528890	-	1.368,026660	Padrão - SND	Reg.	
26/07/2018	JSML36	1.363,721370	3,134557	-	1.366,855927	Padrão - SND	Reg.	
25/07/2018	JSML36	1.362,945420	2,740782	-	1.365,686202	Padrão - SND	Reg.	
24/07/2018	JSML36	1.362,169920	2,347569	-	1.364,517489	Padrão - SND	Reg.	
23/07/2018	JSML36	1.361,394860	1,954914	-	1.363,349774	Padrão - SND	Reg.	
20/07/2018	JSML36	1.360,620220	1,562817	-	1.362,183037	Padrão - SND	Reg.	
19/07/2018	JSML36	1.359,846040	1,171278	-	1.361,017318	Padrão - SND	Reg.	
18/07/2018	JSML36	1.359,072290	0,780295	-	1.359,852585	Padrão - SND	Reg.	
17/07/2018	JSML36	1.358,298990	0,389870	-	1.358,688860	Padrão - SND	Reg.	
16/07/2018	JSML36	1.357,526140	-  	-	1.357,526140	Padrão - SND	Reg.	
13/07/2018	JSML36	1.356,716940	100,080484	-	1.456,797424	Padrão - SND	Reg.	
12/07/2018	JSML36	1.355,908220	99,603054	-	1.455,511274	Padrão - SND	Reg.	
11/07/2018	JSML36	1.355,099990	99,126280	-	1.454,226270	Padrão - SND	Reg.	
10/07/2018	JSML36	1.354,292250	98,650158	-	1.452,942408	Padrão - SND	Reg.	
09/07/2018	JSML36	1.353,484980	98,174688	-	1.451,659668	Padrão - SND	Reg.	
06/07/2018	JSML36	1.344,462660	97,106486	-	1.441,569146	Padrão - SND	Reg.	
05/07/2018	JSML36	1.344,207070	96,674452	-	1.440,881522	Padrão - SND	Reg.	
04/07/2018	JSML36	1.343,951530	96,242697	-	1.440,194227	Padrão - SND	Reg.	
03/07/2018	JSML36	1.343,696050	95,811223	-	1.439,507273	Padrão - SND	Reg.	
02/07/2018	JSML36	1.343,440610	95,380027	-	1.438,820637	Padrão - SND	Reg.	
29/06/2018	JSML36	1.343,185210	94,949110	-	1.438,134320	Padrão - SND	Reg.	
28/06/2018	JSML36	1.342,929860	94,518472	-	1.437,448332	Padrão - SND	Reg.	
27/06/2018	JSML36	1.342,674570	94,088112	-	1.436,762682	Padrão - SND	Reg.	
26/06/2018	JSML36	1.342,419320	93,658032	-	1.436,077352	Padrão - SND	Reg.	
25/06/2018	JSML36	1.342,164120	93,228230	-	1.435,392350	Padrão - SND	Reg.	
