PU Histórico - Gerado em 07/10/2018 01:09:35

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	LAME19	10.000,000000	213,086200	-	10.213,086200	Padrão - SND	Reg.	
04/10/2018	LAME19	10.000,000000	210,132500	-	10.210,132500	Padrão - SND	Reg.	
03/10/2018	LAME19	10.000,000000	207,179700	-	10.207,179700	Padrão - SND	Reg.	
02/10/2018	LAME19	10.000,000000	204,227800	-	10.204,227800	Padrão - SND	Reg.	
01/10/2018	LAME19	10.000,000000	201,276700	-	10.201,276700	Padrão - SND	Reg.	
28/09/2018	LAME19	10.000,000000	198,330900	-	10.198,330900	Padrão - SND	Reg.	
27/09/2018	LAME19	10.000,000000	195,386000	-	10.195,386000	Padrão - SND	Reg.	
26/09/2018	LAME19	10.000,000000	192,441900	-	10.192,441900	Padrão - SND	Reg.	
25/09/2018	LAME19	10.000,000000	189,498700	-	10.189,498700	Padrão - SND	Reg.	
24/09/2018	LAME19	10.000,000000	186,556300	-	10.186,556300	Padrão - SND	Reg.	
21/09/2018	LAME19	10.000,000000	183,614700	-	10.183,614700	Padrão - SND	Reg.	
20/09/2018	LAME19	10.000,000000	180,674100	-	10.180,674100	Padrão - SND	Reg.	
19/09/2018	LAME19	10.000,000000	177,734200	-	10.177,734200	Padrão - SND	Reg.	
18/09/2018	LAME19	10.000,000000	174,795200	-	10.174,795200	Padrão - SND	Reg.	
17/09/2018	LAME19	10.000,000000	171,857100	-	10.171,857100	Padrão - SND	Reg.	
14/09/2018	LAME19	10.000,000000	168,919800	-	10.168,919800	Padrão - SND	Reg.	
13/09/2018	LAME19	10.000,000000	165,983300	-	10.165,983300	Padrão - SND	Reg.	
12/09/2018	LAME19	10.000,000000	163,047700	-	10.163,047700	Padrão - SND	Reg.	
11/09/2018	LAME19	10.000,000000	160,113000	-	10.160,113000	Padrão - SND	Reg.	
10/09/2018	LAME19	10.000,000000	157,179100	-	10.157,179100	Padrão - SND	Reg.	
06/09/2018	LAME19	10.000,000000	154,246000	-	10.154,246000	Padrão - SND	Reg.	
