PU Histórico - Gerado em 17/02/2019 12:18:30

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	LAMEA3	10.000,000000	28,768700	-	10.028,768700	Padrão - SND	Reg.	
14/02/2019	LAMEA3	10.000,000000	25,888100	-	10.025,888100	Padrão - SND	Reg.	
13/02/2019	LAMEA3	10.000,000000	23,008400	-	10.023,008400	Padrão - SND	Reg.	
12/02/2019	LAMEA3	10.000,000000	20,129400	-	10.020,129400	Padrão - SND	Reg.	
11/02/2019	LAMEA3	10.000,000000	17,251300	-	10.017,251300	Padrão - SND	Reg.	
08/02/2019	LAMEA3	10.000,000000	14,374000	-	10.014,374000	Padrão - SND	Reg.	
07/02/2019	LAMEA3	10.000,000000	11,497600	-	10.011,497600	Padrão - SND	Reg.	
06/02/2019	LAMEA3	10.000,000000	8,621900	-	10.008,621900	Padrão - SND	Reg.	
05/02/2019	LAMEA3	10.000,000000	5,747100	-	10.005,747100	Padrão - SND	Reg.	
04/02/2019	LAMEA3	10.000,000000	2,873200	-	10.002,873200	Padrão - SND	Reg.	
01/02/2019	LAMEA3	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
31/01/2019	LAMEA3	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
