PU Histórico - Gerado em 07/10/2018 01:09:44

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	LAMEB1	10.480,162700	350,779734	-	10.830,942434	Padrão - SND	Reg.	
04/10/2018	LAMEB1	10.480,658700	347,849604	-	10.828,508304	Padrão - SND	Reg.	
03/10/2018	LAMEB1	10.481,154900	344,920008	-	10.826,074908	Padrão - SND	Reg.	
02/10/2018	LAMEB1	10.481,651100	341,990931	-	10.823,642031	Padrão - SND	Reg.	
01/10/2018	LAMEB1	10.482,147300	339,062381	-	10.821,209681	Padrão - SND	Reg.	
28/09/2018	LAMEB1	10.482,643500	336,134350	-	10.818,777850	Padrão - SND	Reg.	
27/09/2018	LAMEB1	10.483,139700	333,206847	-	10.816,346547	Padrão - SND	Reg.	
26/09/2018	LAMEB1	10.483,636000	330,279865	-	10.813,915865	Padrão - SND	Reg.	
25/09/2018	LAMEB1	10.484,132300	327,353402	-	10.811,485702	Padrão - SND	Reg.	
24/09/2018	LAMEB1	10.484,628500	324,427464	-	10.809,055964	Padrão - SND	Reg.	
21/09/2018	LAMEB1	10.485,124900	321,502051	-	10.806,626951	Padrão - SND	Reg.	
20/09/2018	LAMEB1	10.485,621200	318,577153	-	10.804,198353	Padrão - SND	Reg.	
19/09/2018	LAMEB1	10.486,117600	315,652776	-	10.801,770376	Padrão - SND	Reg.	
18/09/2018	LAMEB1	10.486,614000	312,728929	-	10.799,342929	Padrão - SND	Reg.	
17/09/2018	LAMEB1	10.487,110500	309,805604	-	10.796,916104	Padrão - SND	Reg.	
14/09/2018	LAMEB1	10.487,539300	306,880827	-	10.794,420127	Padrão - SND	Reg.	
13/09/2018	LAMEB1	10.487,968100	303,956596	-	10.791,924697	Padrão - SND	Reg.	
12/09/2018	LAMEB1	10.488,396900	301,032933	-	10.789,429833	Padrão - SND	Reg.	
11/09/2018	LAMEB1	10.488,825600	298,109814	-	10.786,935414	Padrão - SND	Reg.	
10/09/2018	LAMEB1	10.489,254400	295,187265	-	10.784,441665	Padrão - SND	Reg.	
06/09/2018	LAMEB1	10.521,732400	293,158234	-	10.814,890634	Padrão - SND	Reg.	
05/09/2018	LAMEB1	10.520,156600	290,172556	-	10.810,329156	Padrão - SND	Reg.	
04/09/2018	LAMEB1	10.518,580900	287,188551	-	10.805,769451	Padrão - SND	Reg.	
03/09/2018	LAMEB1	10.517,005500	284,206235	-	10.801,211735	Padrão - SND	Reg.	
31/08/2018	LAMEB1	10.515,430400	281,225606	-	10.796,656006	Padrão - SND	Reg.	
30/08/2018	LAMEB1	10.513,855500	278,246673	-	10.792,102173	Padrão - SND	Reg.	
29/08/2018	LAMEB1	10.512,280800	275,269413	-	10.787,550213	Padrão - SND	Reg.	
28/08/2018	LAMEB1	10.510,706400	272,293839	-	10.783,000239	Padrão - SND	Reg.	
27/08/2018	LAMEB1	10.509,132200	269,319958	-	10.778,452158	Padrão - SND	Reg.	
24/08/2018	LAMEB1	10.507,558200	266,347750	-	10.773,905950	Padrão - SND	Reg.	
23/08/2018	LAMEB1	10.505,984400	263,377223	-	10.769,361623	Padrão - SND	Reg.	
22/08/2018	LAMEB1	10.504,411000	260,408382	-	10.764,819382	Padrão - SND	Reg.	
21/08/2018	LAMEB1	10.502,837700	257,441220	-	10.760,278920	Padrão - SND	Reg.	
20/08/2018	LAMEB1	10.501,264700	254,475740	-	10.755,740440	Padrão - SND	Reg.	
17/08/2018	LAMEB1	10.499,691900	251,511930	-	10.751,203830	Padrão - SND	Reg.	
16/08/2018	LAMEB1	10.498,119400	248,549801	-	10.746,669201	Padrão - SND	Reg.	
15/08/2018	LAMEB1	10.496,547100	245,589350	-	10.742,136450	Padrão - SND	Reg.	
14/08/2018	LAMEB1	10.494,975000	242,630577	-	10.737,605577	Padrão - SND	Reg.	
13/08/2018	LAMEB1	10.493,403200	239,673484	-	10.733,076684	Padrão - SND	Reg.	
10/08/2018	LAMEB1	10.491,831600	236,718058	-	10.728,549658	Padrão - SND	Reg.	
09/08/2018	LAMEB1	10.490,260200	233,764308	-	10.724,024508	Padrão - SND	Reg.	
08/08/2018	LAMEB1	10.563,733600	232,463652	-	10.796,197252	Padrão - SND	Reg.	
07/08/2018	LAMEB1	10.557,722900	229,395923	-	10.787,118823	Padrão - SND	Reg.	
06/08/2018	LAMEB1	10.551,715600	226,332400	-	10.778,048000	Padrão - SND	Reg.	
03/08/2018	LAMEB1	10.545,711800	223,273083	-	10.768,984883	Padrão - SND	Reg.	
02/08/2018	LAMEB1	10.539,711400	220,217974	-	10.759,929374	Padrão - SND	Reg.	
01/08/2018	LAMEB1	10.533,714400	217,167069	-	10.750,881469	Padrão - SND	Reg.	
31/07/2018	LAMEB1	10.527,720700	214,120364	-	10.741,841064	Padrão - SND	Reg.	
30/07/2018	LAMEB1	10.521,730500	211,077845	-	10.732,808345	Padrão - SND	Reg.	
27/07/2018	LAMEB1	10.515,743800	208,039511	-	10.723,783311	Padrão - SND	Reg.	
26/07/2018	LAMEB1	10.509,760300	205,005360	-	10.714,765660	Padrão - SND	Reg.	
25/07/2018	LAMEB1	10.503,780300	201,975385	-	10.705,755685	Padrão - SND	Reg.	
24/07/2018	LAMEB1	10.497,803800	198,949591	-	10.696,753391	Padrão - SND	Reg.	
23/07/2018	LAMEB1	10.491,830600	195,927970	-	10.687,758570	Padrão - SND	Reg.	
20/07/2018	LAMEB1	10.485,860800	192,910499	-	10.678,771299	Padrão - SND	Reg.	
19/07/2018	LAMEB1	10.479,894400	189,897206	-	10.669,791606	Padrão - SND	Reg.	
18/07/2018	LAMEB1	10.473,931400	186,888055	-	10.660,819455	Padrão - SND	Reg.	
17/07/2018	LAMEB1	10.467,971800	183,883062	-	10.651,854862	Padrão - SND	Reg.	
16/07/2018	LAMEB1	10.462,015700	180,882215	-	10.642,897915	Padrão - SND	Reg.	
13/07/2018	LAMEB1	10.455,779500	177,880695	-	10.633,660195	Padrão - SND	Reg.	
12/07/2018	LAMEB1	10.449,546900	174,883460	-	10.624,430360	Padrão - SND	Reg.	
11/07/2018	LAMEB1	10.443,318100	171,890541	-	10.615,208641	Padrão - SND	Reg.	
10/07/2018	LAMEB1	10.437,093100	168,901902	-	10.605,995002	Padrão - SND	Reg.	
09/07/2018	LAMEB1	10.430,871800	165,917546	-	10.596,789346	Padrão - SND	Reg.	
06/07/2018	LAMEB1	10.361,339700	161,947874	-	10.523,287574	Padrão - SND	Reg.	
05/07/2018	LAMEB1	10.359,369900	159,054741	-	10.518,424640	Padrão - SND	Reg.	
04/07/2018	LAMEB1	10.357,400600	156,163480	-	10.513,564080	Padrão - SND	Reg.	
03/07/2018	LAMEB1	10.355,431600	153,274098	-	10.508,705698	Padrão - SND	Reg.	
02/07/2018	LAMEB1	10.353,463000	150,386576	-	10.503,849576	Padrão - SND	Reg.	
29/06/2018	LAMEB1	10.351,494800	147,500923	-	10.498,995723	Padrão - SND	Reg.	
28/06/2018	LAMEB1	10.349,526900	144,617148	-	10.494,144048	Padrão - SND	Reg.	
27/06/2018	LAMEB1	10.347,559400	141,735240	-	10.489,294640	Padrão - SND	Reg.	
