PU Histórico - Gerado em 07/10/2018 01:10:01

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	LCEH12	1.000,000000	35,333813	-	1.035,333813	Padrão - SND	Reg.	
04/10/2018	LCEH12	1.000,000000	34,977555	-	1.034,977555	Padrão - SND	Reg.	
03/10/2018	LCEH12	1.000,000000	34,621427	-	1.034,621427	Padrão - SND	Reg.	
02/10/2018	LCEH12	1.000,000000	34,265420	-	1.034,265420	Padrão - SND	Reg.	
01/10/2018	LCEH12	1.000,000000	33,909532	-	1.033,909532	Padrão - SND	Reg.	
28/09/2018	LCEH12	1.000,000000	33,554149	-	1.033,554149	Padrão - SND	Reg.	
27/09/2018	LCEH12	1.000,000000	33,198886	-	1.033,198886	Padrão - SND	Reg.	
26/09/2018	LCEH12	1.000,000000	32,843744	-	1.032,843744	Padrão - SND	Reg.	
25/09/2018	LCEH12	1.000,000000	32,488732	-	1.032,488732	Padrão - SND	Reg.	
24/09/2018	LCEH12	1.000,000000	32,133840	-	1.032,133840	Padrão - SND	Reg.	
21/09/2018	LCEH12	1.000,000000	31,779068	-	1.031,779068	Padrão - SND	Reg.	
20/09/2018	LCEH12	1.000,000000	31,424416	-	1.031,424416	Padrão - SND	Reg.	
19/09/2018	LCEH12	1.000,000000	31,069884	-	1.031,069884	Padrão - SND	Reg.	
18/09/2018	LCEH12	1.000,000000	30,715473	-	1.030,715473	Padrão - SND	Reg.	
17/09/2018	LCEH12	1.000,000000	30,361192	-	1.030,361192	Padrão - SND	Reg.	
14/09/2018	LCEH12	1.000,000000	30,007030	-	1.030,007030	Padrão - SND	Reg.	
13/09/2018	LCEH12	1.000,000000	29,652989	-	1.029,652989	Padrão - SND	Reg.	
12/09/2018	LCEH12	1.000,000000	29,299067	-	1.029,299067	Padrão - SND	Reg.	
11/09/2018	LCEH12	1.000,000000	28,945266	-	1.028,945266	Padrão - SND	Reg.	
10/09/2018	LCEH12	1.000,000000	28,591594	-	1.028,591594	Padrão - SND	Reg.	
06/09/2018	LCEH12	1.000,000000	28,238033	-	1.028,238033	Padrão - SND	Reg.	
05/09/2018	LCEH12	1.000,000000	27,884602	-	1.027,884602	Padrão - SND	Reg.	
04/09/2018	LCEH12	1.000,000000	27,531290	-	1.027,531290	Padrão - SND	Reg.	
03/09/2018	LCEH12	1.000,000000	27,178098	-	1.027,178098	Padrão - SND	Reg.	
31/08/2018	LCEH12	1.000,000000	26,825036	-	1.026,825036	Padrão - SND	Reg.	
30/08/2018	LCEH12	1.000,000000	26,472083	-	1.026,472083	Padrão - SND	Reg.	
29/08/2018	LCEH12	1.000,000000	26,119261	-	1.026,119261	Padrão - SND	Reg.	
28/08/2018	LCEH12	1.000,000000	25,766558	-	1.025,766558	Padrão - SND	Reg.	
27/08/2018	LCEH12	1.000,000000	25,413965	-	1.025,413965	Padrão - SND	Reg.	
24/08/2018	LCEH12	1.000,000000	25,061502	-	1.025,061502	Padrão - SND	Reg.	
23/08/2018	LCEH12	1.000,000000	24,709168	-	1.024,709168	Padrão - SND	Reg.	
22/08/2018	LCEH12	1.000,000000	24,356943	-	1.024,356943	Padrão - SND	Reg.	
21/08/2018	LCEH12	1.000,000000	24,004849	-	1.024,004849	Padrão - SND	Reg.	
20/08/2018	LCEH12	1.000,000000	23,652864	-	1.023,652864	Padrão - SND	Reg.	
17/08/2018	LCEH12	1.000,000000	23,301009	-	1.023,301009	Padrão - SND	Reg.	
