PU Histórico - Gerado em 07/10/2018 01:10:04

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	LETS13	1.389,130000	0,616299	-	1.389,746299	Padrão - SND	Reg.	
04/10/2018	LETS13	1.389,130000	-  	-	1.389,130000	Padrão - SND	Reg.	
03/10/2018	LETS13	1.666,900000	14,841949	-	1.681,741949	Padrão - SND	Reg.	
02/10/2018	LETS13	1.666,900000	14,096168	-	1.680,996168	Padrão - SND	Reg.	
01/10/2018	LETS13	1.666,900000	13,350717	-	1.680,250717	Padrão - SND	Reg.	
28/09/2018	LETS13	1.666,900000	12,606211	-	1.679,506211	Padrão - SND	Reg.	
27/09/2018	LETS13	1.666,900000	11,862035	-	1.678,762035	Padrão - SND	Reg.	
26/09/2018	LETS13	1.666,900000	11,118188	-	1.678,018188	Padrão - SND	Reg.	
25/09/2018	LETS13	1.666,900000	10,374669	-	1.677,274669	Padrão - SND	Reg.	
24/09/2018	LETS13	1.666,900000	9,631495	-	1.676,531495	Padrão - SND	Reg.	
21/09/2018	LETS13	1.666,900000	8,888633	-	1.675,788633	Padrão - SND	Reg.	
20/09/2018	LETS13	1.666,900000	8,146115	-	1.675,046115	Padrão - SND	Reg.	
19/09/2018	LETS13	1.666,900000	7,403911	-	1.674,303911	Padrão - SND	Reg.	
18/09/2018	LETS13	1.666,900000	6,662049	-	1.673,562049	Padrão - SND	Reg.	
17/09/2018	LETS13	1.666,900000	5,920499	-	1.672,820499	Padrão - SND	Reg.	
14/09/2018	LETS13	1.666,900000	5,179293	-	1.672,079293	Padrão - SND	Reg.	
13/09/2018	LETS13	1.666,900000	4,438415	-	1.671,338415	Padrão - SND	Reg.	
12/09/2018	LETS13	1.666,900000	3,697846	-	1.670,597846	Padrão - SND	Reg.	
11/09/2018	LETS13	1.666,900000	2,957624	-	1.669,857624	Padrão - SND	Reg.	
10/09/2018	LETS13	1.666,900000	2,217727	-	1.669,117727	Padrão - SND	Reg.	
06/09/2018	LETS13	1.666,900000	1,478157	-	1.668,378157	Padrão - SND	Reg.	
05/09/2018	LETS13	1.666,900000	0,738917	-	1.667,638917	Padrão - SND	Reg.	
04/09/2018	LETS13	1.666,900000	-  	-	1.666,900000	Padrão - SND	Reg.	
03/09/2018	LETS13	1.944,670000	17,313749	-	1.961,983749	Padrão - SND	Reg.	
