PU Histórico - Gerado em 07/10/2018 01:10:05

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	LGEN11	1.044,164960	77,152955	-	1.121,317915	Padrão - SND	Reg.	
04/10/2018	LGEN11	1.043,945600	76,822150	-	1.120,767750	Padrão - SND	Reg.	
03/10/2018	LGEN11	1.043,726290	76,491569	-	1.120,217859	Padrão - SND	Reg.	
02/10/2018	LGEN11	1.043,507020	76,161210	-	1.119,668230	Padrão - SND	Reg.	
01/10/2018	LGEN11	1.043,287800	75,831076	-	1.119,118876	Padrão - SND	Reg.	
28/09/2018	LGEN11	1.043,068610	75,501164	-	1.118,569774	Padrão - SND	Reg.	
27/09/2018	LGEN11	1.042,849480	75,171477	-	1.118,020957	Padrão - SND	Reg.	
26/09/2018	LGEN11	1.042,630400	74,842014	-	1.117,472414	Padrão - SND	Reg.	
25/09/2018	LGEN11	1.042,411360	74,512772	-	1.116,924132	Padrão - SND	Reg.	
24/09/2018	LGEN11	1.042,192360	74,183753	-	1.116,376113	Padrão - SND	Reg.	
21/09/2018	LGEN11	1.041,798570	73,842566	-	1.115,641136	Padrão - SND	Reg.	
20/09/2018	LGEN11	1.041,623400	73,517133	-	1.115,140533	Padrão - SND	Reg.	
19/09/2018	LGEN11	1.041,448270	73,191895	-	1.114,640165	Padrão - SND	Reg.	
18/09/2018	LGEN11	1.041,273160	72,866851	-	1.114,140011	Padrão - SND	Reg.	
17/09/2018	LGEN11	1.044,429600	72,774139	-	1.117,203739	Padrão - SND	Reg.	
14/09/2018	LGEN11	1.041,140650	72,232449	-	1.113,373099	Padrão - SND	Reg.	
13/09/2018	LGEN11	1.041,183220	71,922955	-	1.113,106175	Padrão - SND	Reg.	
12/09/2018	LGEN11	1.041,225790	71,613524	-	1.112,839314	Padrão - SND	Reg.	
11/09/2018	LGEN11	1.041,268360	71,304156	-	1.112,572516	Padrão - SND	Reg.	
10/09/2018	LGEN11	1.041,310920	70,994849	-	1.112,305769	Padrão - SND	Reg.	
06/09/2018	LGEN11	1.042,034900	70,731858	-	1.112,766758	Padrão - SND	Reg.	
05/09/2018	LGEN11	1.042,034900	70,419594	-	1.112,454494	Padrão - SND	Reg.	
04/09/2018	LGEN11	1.042,034900	70,107418	-	1.112,142318	Padrão - SND	Reg.	
03/09/2018	LGEN11	1.042,034900	69,795330	-	1.111,830230	Padrão - SND	Reg.	
31/08/2018	LGEN11	1.042,034900	69,483329	-	1.111,518229	Padrão - SND	Reg.	
30/08/2018	LGEN11	1.042,034900	69,171416	-	1.111,206316	Padrão - SND	Reg.	
29/08/2018	LGEN11	1.042,034900	68,859591	-	1.110,894491	Padrão - SND	Reg.	
28/08/2018	LGEN11	1.042,034900	68,547853	-	1.110,582753	Padrão - SND	Reg.	
27/08/2018	LGEN11	1.042,034900	68,236202	-	1.110,271102	Padrão - SND	Reg.	
24/08/2018	LGEN11	1.042,034900	67,924639	-	1.109,959539	Padrão - SND	Reg.	
23/08/2018	LGEN11	1.042,886540	67,668422	-	1.110,554962	Padrão - SND	Reg.	
22/08/2018	LGEN11	1.042,744540	67,347608	-	1.110,092148	Padrão - SND	Reg.	
21/08/2018	LGEN11	1.042,602580	67,026969	-	1.109,629549	Padrão - SND	Reg.	
20/08/2018	LGEN11	1.042,460630	66,706502	-	1.109,167132	Padrão - SND	Reg.	
17/08/2018	LGEN11	1.042,318700	66,386210	-	1.108,704910	Padrão - SND	Reg.	
16/08/2018	LGEN11	1.042,176780	66,066089	-	1.108,242869	Padrão - SND	Reg.	
15/08/2018	LGEN11	1.042,034900	65,746144	-	1.107,781044	Padrão - SND	Reg.	
14/08/2018	LGEN11	1.041,878830	65,425479	-	1.107,304309	Padrão - SND	Reg.	
13/08/2018	LGEN11	1.041,722790	65,104996	-	1.106,827786	Padrão - SND	Reg.	
10/08/2018	LGEN11	1.041,566770	64,784695	-	1.106,351465	Padrão - SND	Reg.	
09/08/2018	LGEN11	1.041,410770	64,464575	-	1.105,875345	Padrão - SND	Reg.	
08/08/2018	LGEN11	1.041,575040	64,164365	-	1.105,739405	Padrão - SND	Reg.	
07/08/2018	LGEN11	1.041,400200	63,843355	-	1.105,243555	Padrão - SND	Reg.	
06/08/2018	LGEN11	1.041,225400	63,522539	-	1.104,747939	Padrão - SND	Reg.	
03/08/2018	LGEN11	1.041,050620	63,201915	-	1.104,252535	Padrão - SND	Reg.	
02/08/2018	LGEN11	1.040,875870	62,881484	-	1.103,757354	Padrão - SND	Reg.	
01/08/2018	LGEN11	1.040,701150	62,561245	-	1.103,262395	Padrão - SND	Reg.	
31/07/2018	LGEN11	1.040,526470	62,241200	-	1.102,767670	Padrão - SND	Reg.	
30/07/2018	LGEN11	1.040,351800	61,921346	-	1.102,273146	Padrão - SND	Reg.	
27/07/2018	LGEN11	1.040,177170	61,601685	-	1.101,778855	Padrão - SND	Reg.	
26/07/2018	LGEN11	1.040,002570	61,282217	-	1.101,284787	Padrão - SND	Reg.	
25/07/2018	LGEN11	1.039,828000	60,962940	-	1.100,790940	Padrão - SND	Reg.	
24/07/2018	LGEN11	1.039,653450	60,643856	-	1.100,297306	Padrão - SND	Reg.	
23/07/2018	LGEN11	1.039,478940	60,324965	-	1.099,803905	Padrão - SND	Reg.	
20/07/2018	LGEN11	1.039,304460	60,006264	-	1.099,310724	Padrão - SND	Reg.	
19/07/2018	LGEN11	1.039,130010	59,687757	-	1.098,817767	Padrão - SND	Reg.	
18/07/2018	LGEN11	1.038,955570	59,369439	-	1.098,325009	Padrão - SND	Reg.	
17/07/2018	LGEN11	1.038,781180	59,051315	-	1.097,832495	Padrão - SND	Reg.	
16/07/2018	LGEN11	1.042,449660	58,950696	-	1.101,400356	Padrão - SND	Reg.	
13/07/2018	LGEN11	1.037,987730	58,390622	-	1.096,378352	Padrão - SND	Reg.	
12/07/2018	LGEN11	1.037,368990	58,048335	-	1.095,417325	Padrão - SND	Reg.	
11/07/2018	LGEN11	1.036,750640	57,706521	-	1.094,457161	Padrão - SND	Reg.	
10/07/2018	LGEN11	1.036,132660	57,365182	-	1.093,497842	Padrão - SND	Reg.	
09/07/2018	LGEN11	1.035,515040	57,024314	-	1.092,539354	Padrão - SND	Reg.	
06/07/2018	LGEN11	1.034,751680	56,675916	-	1.091,427596	Padrão - SND	Reg.	
05/07/2018	LGEN11	1.034,144620	56,336570	-	1.090,481190	Padrão - SND	Reg.	
04/07/2018	LGEN11	1.033,537910	55,997689	-	1.089,535599	Padrão - SND	Reg.	
03/07/2018	LGEN11	1.032,931560	55,659271	-	1.088,590831	Padrão - SND	Reg.	
02/07/2018	LGEN11	1.032,325570	55,321318	-	1.087,646888	Padrão - SND	Reg.	
29/06/2018	LGEN11	1.031,719930	54,983827	-	1.086,703757	Padrão - SND	Reg.	
28/06/2018	LGEN11	1.031,114650	54,646799	-	1.085,761449	Padrão - SND	Reg.	
27/06/2018	LGEN11	1.030,509720	54,310231	-	1.084,819951	Padrão - SND	Reg.	
26/06/2018	LGEN11	1.029,905150	53,974127	-	1.083,879277	Padrão - SND	Reg.	
25/06/2018	LGEN11	1.029,300930	53,638483	-	1.082,939413	Padrão - SND	Reg.	
22/06/2018	LGEN11	1.028,697070	53,303300	-	1.082,000370	Padrão - SND	Reg.	
21/06/2018	LGEN11	1.026,131990	52,867515	-	1.078,999505	Padrão - SND	Reg.	
20/06/2018	LGEN11	1.026,019740	52,558976	-	1.078,578716	Padrão - SND	Reg.	
19/06/2018	LGEN11	1.025,907510	52,250591	-	1.078,158101	Padrão - SND	Reg.	
18/06/2018	LGEN11	1.025,795280	51,942356	-	1.077,737636	Padrão - SND	Reg.	
15/06/2018	LGEN11	1.025,683070	51,634273	-	1.077,317343	Padrão - SND	Reg.	
14/06/2018	LGEN11	1.025,496940	51,322643	-	1.076,819583	Padrão - SND	Reg.	
13/06/2018	LGEN11	1.025,310850	51,011209	-	1.076,322059	Padrão - SND	Reg.	
12/06/2018	LGEN11	1.025,124800	50,699970	-	1.075,824770	Padrão - SND	Reg.	
11/06/2018	LGEN11	1.024,938780	50,388929	-	1.075,327709	Padrão - SND	Reg.	
08/06/2018	LGEN11	1.023,411320	50,012527	-	1.073,423847	Padrão - SND	Reg.	
07/06/2018	LGEN11	1.023,304460	49,706113	-	1.073,010573	Padrão - SND	Reg.	
06/06/2018	LGEN11	1.023,197600	49,399847	-	1.072,597447	Padrão - SND	Reg.	
05/06/2018	LGEN11	1.023,090760	49,093728	-	1.072,184488	Padrão - SND	Reg.	
04/06/2018	LGEN11	1.022,983930	48,787759	-	1.071,771689	Padrão - SND	Reg.	
01/06/2018	LGEN11	1.022,877110	48,481936	-	1.071,359046	Padrão - SND	Reg.	
30/05/2018	LGEN11	1.022,770290	48,176261	-	1.070,946551	Padrão - SND	Reg.	
29/05/2018	LGEN11	1.022,663500	47,870734	-	1.070,534234	Padrão - SND	Reg.	
