PU Histórico - Gerado em 07/10/2018 01:10:15

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	LIGHA3	1.037,090230	70,799146	-	1.107,889376	Padrão - SND	Reg.	
04/10/2018	LIGHA3	1.037,139310	70,487170	-	1.107,626480	Padrão - SND	Reg.	
03/10/2018	LIGHA3	1.037,188410	70,175256	-	1.107,363666	Padrão - SND	Reg.	
02/10/2018	LIGHA3	1.037,237520	69,863403	-	1.107,100923	Padrão - SND	Reg.	
01/10/2018	LIGHA3	1.037,286620	69,551608	-	1.106,838228	Padrão - SND	Reg.	
28/09/2018	LIGHA3	1.037,335720	69,239873	-	1.106,575593	Padrão - SND	Reg.	
27/09/2018	LIGHA3	1.037,384820	68,928198	-	1.106,313018	Padrão - SND	Reg.	
26/09/2018	LIGHA3	1.037,433940	68,616585	-	1.106,050525	Padrão - SND	Reg.	
25/09/2018	LIGHA3	1.037,483050	68,305031	-	1.105,788081	Padrão - SND	Reg.	
24/09/2018	LIGHA3	1.037,532150	67,993535	-	1.105,525685	Padrão - SND	Reg.	
21/09/2018	LIGHA3	1.037,581270	67,682101	-	1.105,263371	Padrão - SND	Reg.	
20/09/2018	LIGHA3	1.037,630390	67,370726	-	1.105,001116	Padrão - SND	Reg.	
19/09/2018	LIGHA3	1.037,679510	67,059412	-	1.104,738922	Padrão - SND	Reg.	
18/09/2018	LIGHA3	1.037,728640	66,748158	-	1.104,476798	Padrão - SND	Reg.	
17/09/2018	LIGHA3	1.037,777760	66,436962	-	1.104,214722	Padrão - SND	Reg.	
14/09/2018	LIGHA3	1.037,820200	66,125401	-	1.103,945601	Padrão - SND	Reg.	
13/09/2018	LIGHA3	1.037,862630	65,813903	-	1.103,676533	Padrão - SND	Reg.	
12/09/2018	LIGHA3	1.037,905060	65,502469	-	1.103,407529	Padrão - SND	Reg.	
11/09/2018	LIGHA3	1.037,947490	65,191098	-	1.103,138588	Padrão - SND	Reg.	
10/09/2018	LIGHA3	1.037,989920	64,879791	-	1.102,869711	Padrão - SND	Reg.	
06/09/2018	LIGHA3	1.041,203860	64,765825	-	1.105,969685	Padrão - SND	Reg.	
05/09/2018	LIGHA3	1.041,047920	64,441408	-	1.105,489328	Padrão - SND	Reg.	
04/09/2018	LIGHA3	1.040,892000	64,117175	-	1.105,009175	Padrão - SND	Reg.	
03/09/2018	LIGHA3	1.040,736100	63,793128	-	1.104,529228	Padrão - SND	Reg.	
31/08/2018	LIGHA3	1.040,580230	63,469266	-	1.104,049496	Padrão - SND	Reg.	
30/08/2018	LIGHA3	1.040,424380	63,145588	-	1.103,569968	Padrão - SND	Reg.	
29/08/2018	LIGHA3	1.040,268550	62,822097	-	1.103,090647	Padrão - SND	Reg.	
28/08/2018	LIGHA3	1.040,112760	62,498790	-	1.102,611550	Padrão - SND	Reg.	
27/08/2018	LIGHA3	1.039,956970	62,175666	-	1.102,132636	Padrão - SND	Reg.	
24/08/2018	LIGHA3	1.039,801220	61,852728	-	1.101,653948	Padrão - SND	Reg.	
23/08/2018	LIGHA3	1.039,645480	61,529976	-	1.101,175456	Padrão - SND	Reg.	
22/08/2018	LIGHA3	1.039,489780	61,207407	-	1.100,697187	Padrão - SND	Reg.	
21/08/2018	LIGHA3	1.039,334090	60,885022	-	1.100,219112	Padrão - SND	Reg.	
20/08/2018	LIGHA3	1.039,178430	60,562822	-	1.099,741252	Padrão - SND	Reg.	
17/08/2018	LIGHA3	1.039,022790	60,240806	-	1.099,263596	Padrão - SND	Reg.	
16/08/2018	LIGHA3	1.038,867180	59,918975	-	1.098,786155	Padrão - SND	Reg.	
15/08/2018	LIGHA3	1.038,711590	59,597328	-	1.098,308918	Padrão - SND	Reg.	
