PU Histórico - Gerado em 07/10/2018 01:10:21

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	LIQP16	1,000000	0,048968	-	1,048968	Padrão - SND	Reg.	
04/10/2018	LIQP16	1,000000	0,048607	-	1,048607	Padrão - SND	Reg.	
03/10/2018	LIQP16	1,000000	0,048246	-	1,048246	Padrão - SND	Reg.	
02/10/2018	LIQP16	1,000000	0,047885	-	1,047885	Padrão - SND	Reg.	
01/10/2018	LIQP16	1,000000	0,047525	-	1,047525	Padrão - SND	Reg.	
28/09/2018	LIQP16	1,000000	0,047164	-	1,047164	Padrão - SND	Reg.	
27/09/2018	LIQP16	1,000000	0,046805	-	1,046805	Padrão - SND	Reg.	
26/09/2018	LIQP16	1,000000	0,046445	-	1,046445	Padrão - SND	Reg.	
25/09/2018	LIQP16	1,000000	0,046085	-	1,046085	Padrão - SND	Reg.	
24/09/2018	LIQP16	1,000000	0,045725	-	1,045725	Padrão - SND	Reg.	
21/09/2018	LIQP16	1,000000	0,045366	-	1,045366	Padrão - SND	Reg.	
20/09/2018	LIQP16	1,000000	0,045007	-	1,045007	Padrão - SND	Reg.	
19/09/2018	LIQP16	1,000000	0,044647	-	1,044647	Padrão - SND	Reg.	
18/09/2018	LIQP16	1,000000	0,044288	-	1,044288	Padrão - SND	Reg.	
17/09/2018	LIQP16	1,000000	0,043929	-	1,043929	Padrão - SND	Reg.	
14/09/2018	LIQP16	1,000000	0,043571	-	1,043571	Padrão - SND	Reg.	
13/09/2018	LIQP16	1,000000	0,043212	-	1,043212	Padrão - SND	Reg.	
12/09/2018	LIQP16	1,000000	0,042853	-	1,042853	Padrão - SND	Reg.	
11/09/2018	LIQP16	1,000000	0,042495	-	1,042495	Padrão - SND	Reg.	
10/09/2018	LIQP16	1,000000	0,042137	-	1,042137	Padrão - SND	Reg.	
06/09/2018	LIQP16	1,000000	0,041778	-	1,041778	Padrão - SND	Reg.	
05/09/2018	LIQP16	1,000000	0,041420	-	1,041420	Padrão - SND	Reg.	
04/09/2018	LIQP16	1,000000	0,041062	-	1,041062	Padrão - SND	Reg.	
03/09/2018	LIQP16	1,000000	0,040704	-	1,040704	Padrão - SND	Reg.	
31/08/2018	LIQP16	1,000000	0,040347	-	1,040347	Padrão - SND	Reg.	
30/08/2018	LIQP16	1,000000	0,039989	-	1,039989	Padrão - SND	Reg.	
29/08/2018	LIQP16	1,000000	0,039632	-	1,039632	Padrão - SND	Reg.	
28/08/2018	LIQP16	1,000000	0,039274	-	1,039274	Padrão - SND	Reg.	
27/08/2018	LIQP16	1,000000	0,038917	-	1,038917	Padrão - SND	Reg.	
24/08/2018	LIQP16	1,000000	0,038560	-	1,038560	Padrão - SND	Reg.	
23/08/2018	LIQP16	1,000000	0,038203	-	1,038203	Padrão - SND	Reg.	
22/08/2018	LIQP16	1,000000	0,037846	-	1,037846	Padrão - SND	Reg.	
21/08/2018	LIQP16	1,000000	0,037489	-	1,037489	Padrão - SND	Reg.	
20/08/2018	LIQP16	1,000000	0,037133	-	1,037133	Padrão - SND	Reg.	
17/08/2018	LIQP16	1,000000	0,036776	-	1,036776	Padrão - SND	Reg.	
16/08/2018	LIQP16	1,000000	0,036420	-	1,036420	Padrão - SND	Reg.	
15/08/2018	LIQP16	1,000000	0,036064	-	1,036064	Padrão - SND	Reg.	
14/08/2018	LIQP16	1,000000	0,035708	-	1,035708	Padrão - SND	Reg.	
13/08/2018	LIQP16	1,000000	0,035352	-	1,035352	Padrão - SND	Reg.	
10/08/2018	LIQP16	1,000000	0,034996	-	1,034996	Padrão - SND	Reg.	
09/08/2018	LIQP16	1,000000	0,034640	-	1,034640	Padrão - SND	Reg.	
08/08/2018	LIQP16	1,000000	0,034284	-	1,034284	Padrão - SND	Reg.	
07/08/2018	LIQP16	1,000000	0,033929	-	1,033929	Padrão - SND	Reg.	
06/08/2018	LIQP16	1,000000	0,033573	-	1,033573	Padrão - SND	Reg.	
03/08/2018	LIQP16	1,000000	0,033218	-	1,033218	Padrão - SND	Reg.	
02/08/2018	LIQP16	1,000000	0,032863	-	1,032863	Padrão - SND	Reg.	
01/08/2018	LIQP16	1,000000	0,032508	-	1,032508	Padrão - SND	Reg.	
31/07/2018	LIQP16	1,000000	0,032153	-	1,032153	Padrão - SND	Reg.	
30/07/2018	LIQP16	1,000000	0,031798	-	1,031798	Padrão - SND	Reg.	
27/07/2018	LIQP16	1,000000	0,031444	-	1,031444	Padrão - SND	Reg.	
