PU Histórico - Gerado em 07/10/2018 01:10:29

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	LJDE22	1.000,000000	23,754890	-	1.023,754890	Padrão - SND	Reg.	
04/10/2018	LJDE22	1.000,000000	23,468390	-	1.023,468390	Padrão - SND	Reg.	
03/10/2018	LJDE22	1.000,000000	23,181970	-	1.023,181970	Padrão - SND	Reg.	
02/10/2018	LJDE22	1.000,000000	22,895630	-	1.022,895630	Padrão - SND	Reg.	
01/10/2018	LJDE22	1.000,000000	22,609380	-	1.022,609380	Padrão - SND	Reg.	
28/09/2018	LJDE22	1.000,000000	22,323630	-	1.022,323630	Padrão - SND	Reg.	
27/09/2018	LJDE22	1.000,000000	22,037960	-	1.022,037960	Padrão - SND	Reg.	
26/09/2018	LJDE22	1.000,000000	21,752370	-	1.021,752370	Padrão - SND	Reg.	
25/09/2018	LJDE22	1.000,000000	21,466860	-	1.021,466860	Padrão - SND	Reg.	
24/09/2018	LJDE22	1.000,000000	21,181430	-	1.021,181430	Padrão - SND	Reg.	
21/09/2018	LJDE22	1.000,000000	20,896080	-	1.020,896080	Padrão - SND	Reg.	
20/09/2018	LJDE22	1.000,000000	20,610810	-	1.020,610810	Padrão - SND	Reg.	
19/09/2018	LJDE22	1.000,000000	20,325620	-	1.020,325620	Padrão - SND	Reg.	
18/09/2018	LJDE22	1.000,000000	20,040510	-	1.020,040510	Padrão - SND	Reg.	
17/09/2018	LJDE22	1.000,000000	19,755480	-	1.019,755480	Padrão - SND	Reg.	
14/09/2018	LJDE22	1.000,000000	19,470530	-	1.019,470530	Padrão - SND	Reg.	
13/09/2018	LJDE22	1.000,000000	19,185660	-	1.019,185660	Padrão - SND	Reg.	
12/09/2018	LJDE22	1.000,000000	18,900870	-	1.018,900870	Padrão - SND	Reg.	
11/09/2018	LJDE22	1.000,000000	18,616160	-	1.018,616160	Padrão - SND	Reg.	
10/09/2018	LJDE22	1.000,000000	18,331520	-	1.018,331520	Padrão - SND	Reg.	
06/09/2018	LJDE22	1.000,000000	18,046970	-	1.018,046970	Padrão - SND	Reg.	
05/09/2018	LJDE22	1.000,000000	17,762500	-	1.017,762500	Padrão - SND	Reg.	
04/09/2018	LJDE22	1.000,000000	17,478100	-	1.017,478100	Padrão - SND	Reg.	
03/09/2018	LJDE22	1.000,000000	17,193790	-	1.017,193790	Padrão - SND	Reg.	
31/08/2018	LJDE22	1.000,000000	16,909550	-	1.016,909550	Padrão - SND	Reg.	
30/08/2018	LJDE22	1.000,000000	16,625400	-	1.016,625400	Padrão - SND	Reg.	
29/08/2018	LJDE22	1.000,000000	16,341320	-	1.016,341320	Padrão - SND	Reg.	
28/08/2018	LJDE22	1.000,000000	16,057330	-	1.016,057330	Padrão - SND	Reg.	
27/08/2018	LJDE22	1.000,000000	15,773410	-	1.015,773410	Padrão - SND	Reg.	
24/08/2018	LJDE22	1.000,000000	15,489570	-	1.015,489570	Padrão - SND	Reg.	
23/08/2018	LJDE22	1.000,000000	15,205810	-	1.015,205810	Padrão - SND	Reg.	
22/08/2018	LJDE22	1.000,000000	14,922130	-	1.014,922130	Padrão - SND	Reg.	
21/08/2018	LJDE22	1.000,000000	14,638530	-	1.014,638530	Padrão - SND	Reg.	
20/08/2018	LJDE22	1.000,000000	14,355010	-	1.014,355010	Padrão - SND	Reg.	
17/08/2018	LJDE22	1.000,000000	14,071570	-	1.014,071570	Padrão - SND	Reg.	
16/08/2018	LJDE22	1.000,000000	13,788210	-	1.013,788210	Padrão - SND	Reg.	
15/08/2018	LJDE22	1.000,000000	13,504920	-	1.013,504920	Padrão - SND	Reg.	
14/08/2018	LJDE22	1.000,000000	13,221720	-	1.013,221720	Padrão - SND	Reg.	
13/08/2018	LJDE22	1.000,000000	12,938590	-	1.012,938590	Padrão - SND	Reg.	
10/08/2018	LJDE22	1.000,000000	12,655550	-	1.012,655550	Padrão - SND	Reg.	
09/08/2018	LJDE22	1.000,000000	12,372580	-	1.012,372580	Padrão - SND	Reg.	
08/08/2018	LJDE22	1.000,000000	12,089690	-	1.012,089690	Padrão - SND	Reg.	
07/08/2018	LJDE22	1.000,000000	11,806880	-	1.011,806880	Padrão - SND	Reg.	
06/08/2018	LJDE22	1.000,000000	11,524150	-	1.011,524150	Padrão - SND	Reg.	
03/08/2018	LJDE22	1.000,000000	11,241500	-	1.011,241500	Padrão - SND	Reg.	
02/08/2018	LJDE22	1.000,000000	10,958930	-	1.010,958930	Padrão - SND	Reg.	
01/08/2018	LJDE22	1.000,000000	10,676440	-	1.010,676440	Padrão - SND	Reg.	
31/07/2018	LJDE22	1.000,000000	10,394020	-	1.010,394020	Padrão - SND	Reg.	
30/07/2018	LJDE22	1.000,000000	10,111690	-	1.010,111690	Padrão - SND	Reg.	
27/07/2018	LJDE22	1.000,000000	9,829430	-	1.009,829430	Padrão - SND	Reg.	
26/07/2018	LJDE22	1.000,000000	9,547260	-	1.009,547260	Padrão - SND	Reg.	
25/07/2018	LJDE22	1.000,000000	9,265160	-	1.009,265160	Padrão - SND	Reg.	
24/07/2018	LJDE22	1.000,000000	8,983140	-	1.008,983140	Padrão - SND	Reg.	
23/07/2018	LJDE22	1.000,000000	8,701200	-	1.008,701200	Padrão - SND	Reg.	
20/07/2018	LJDE22	1.000,000000	8,419330	-	1.008,419330	Padrão - SND	Reg.	
19/07/2018	LJDE22	1.000,000000	8,137550	-	1.008,137550	Padrão - SND	Reg.	
18/07/2018	LJDE22	1.000,000000	7,855850	-	1.007,855850	Padrão - SND	Reg.	
17/07/2018	LJDE22	1.000,000000	7,574220	-	1.007,574220	Padrão - SND	Reg.	
16/07/2018	LJDE22	1.000,000000	7,292670	-	1.007,292670	Padrão - SND	Reg.	
13/07/2018	LJDE22	1.000,000000	7,011210	-	1.007,011210	Padrão - SND	Reg.	
12/07/2018	LJDE22	1.000,000000	6,729820	-	1.006,729820	Padrão - SND	Reg.	
11/07/2018	LJDE22	1.000,000000	6,448500	-	1.006,448500	Padrão - SND	Reg.	
10/07/2018	LJDE22	1.000,000000	6,167270	-	1.006,167270	Padrão - SND	Reg.	
09/07/2018	LJDE22	1.000,000000	5,886120	-	1.005,886120	Padrão - SND	Reg.	
06/07/2018	LJDE22	1.000,000000	5,605040	-	1.005,605040	Padrão - SND	Reg.	
05/07/2018	LJDE22	1.000,000000	5,324050	-	1.005,324050	Padrão - SND	Reg.	
04/07/2018	LJDE22	1.000,000000	5,043130	-	1.005,043130	Padrão - SND	Reg.	
03/07/2018	LJDE22	1.000,000000	4,762290	-	1.004,762290	Padrão - SND	Reg.	
02/07/2018	LJDE22	1.000,000000	4,481530	-	1.004,481530	Padrão - SND	Reg.	
29/06/2018	LJDE22	1.000,000000	4,200840	-	1.004,200840	Padrão - SND	Reg.	
28/06/2018	LJDE22	1.000,000000	3,920240	-	1.003,920240	Padrão - SND	Reg.	
27/06/2018	LJDE22	1.000,000000	3,639710	-	1.003,639710	Padrão - SND	Reg.	
26/06/2018	LJDE22	1.000,000000	3,359270	-	1.003,359270	Padrão - SND	Reg.	
25/06/2018	LJDE22	1.000,000000	3,078900	-	1.003,078900	Padrão - SND	Reg.	
22/06/2018	LJDE22	1.000,000000	2,798610	-	1.002,798610	Padrão - SND	Reg.	
21/06/2018	LJDE22	1.000,000000	2,518390	-	1.002,518390	Padrão - SND	Reg.	
20/06/2018	LJDE22	1.000,000000	2,238260	-	1.002,238260	Padrão - SND	Reg.	
