PU Histórico - Gerado em 07/10/2018 01:10:34

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	LLXA11	2.080,570584	459,394127	-	2.539,964711	Padrão - SND	Reg.	
04/10/2018	LLXA11	2.080,669065	458,736650	-	2.539,405715	Padrão - SND	Reg.	
03/10/2018	LLXA11	2.080,767568	458,079294	-	2.538,846862	Padrão - SND	Reg.	
02/10/2018	LLXA11	2.080,866070	457,422057	-	2.538,288127	Padrão - SND	Reg.	
01/10/2018	LLXA11	2.080,964572	456,764937	-	2.537,729509	Padrão - SND	Reg.	
28/09/2018	LLXA11	2.081,063096	456,107938	-	2.537,171034	Padrão - SND	Reg.	
27/09/2018	LLXA11	2.081,161598	455,451052	-	2.536,612650	Padrão - SND	Reg.	
26/09/2018	LLXA11	2.081,260121	454,794287	-	2.536,054408	Padrão - SND	Reg.	
25/09/2018	LLXA11	2.081,358644	454,137641	-	2.535,496285	Padrão - SND	Reg.	
24/09/2018	LLXA11	2.081,457167	453,481109	-	2.534,938276	Padrão - SND	Reg.	
21/09/2018	LLXA11	2.081,555711	452,824703	-	2.534,380414	Padrão - SND	Reg.	
20/09/2018	LLXA11	2.081,654235	452,168406	-	2.533,822641	Padrão - SND	Reg.	
19/09/2018	LLXA11	2.081,752779	451,512232	-	2.533,265011	Padrão - SND	Reg.	
18/09/2018	LLXA11	2.081,851343	450,856179	-	2.532,707522	Padrão - SND	Reg.	
17/09/2018	LLXA11	2.081,949908	450,200244	-	2.532,150152	Padrão - SND	Reg.	
14/09/2018	LLXA11	2.082,035032	449,541523	-	2.531,576555	Padrão - SND	Reg.	
13/09/2018	LLXA11	2.082,120157	448,882929	-	2.531,003086	Padrão - SND	Reg.	
12/09/2018	LLXA11	2.082,205281	448,224460	-	2.530,429741	Padrão - SND	Reg.	
11/09/2018	LLXA11	2.082,290405	447,566117	-	2.529,856522	Padrão - SND	Reg.	
10/09/2018	LLXA11	2.082,375529	446,907897	-	2.529,283426	Padrão - SND	Reg.	
06/09/2018	LLXA11	2.088,823212	447,613236	-	2.536,436448	Padrão - SND	Reg.	
05/09/2018	LLXA11	2.088,510368	446,868051	-	2.535,378419	Padrão - SND	Reg.	
04/09/2018	LLXA11	2.088,197565	446,123262	-	2.534,320827	Padrão - SND	Reg.	
03/09/2018	LLXA11	2.087,884804	445,378865	-	2.533,263669	Padrão - SND	Reg.	
31/08/2018	LLXA11	2.087,572105	444,634863	-	2.532,206968	Padrão - SND	Reg.	
30/08/2018	LLXA11	2.087,259448	443,891257	-	2.531,150705	Padrão - SND	Reg.	
29/08/2018	LLXA11	2.086,946833	443,148044	-	2.530,094877	Padrão - SND	Reg.	
28/08/2018	LLXA11	2.086,634281	442,405226	-	2.529,039507	Padrão - SND	Reg.	
27/08/2018	LLXA11	2.086,321749	441,662795	-	2.527,984544	Padrão - SND	Reg.	
24/08/2018	LLXA11	2.086,009279	440,920763	-	2.526,930042	Padrão - SND	Reg.	
23/08/2018	LLXA11	2.085,696852	440,179122	-	2.525,875974	Padrão - SND	Reg.	
22/08/2018	LLXA11	2.085,384487	439,437876	-	2.524,822363	Padrão - SND	Reg.	
21/08/2018	LLXA11	2.085,072142	438,697020	-	2.523,769162	Padrão - SND	Reg.	
20/08/2018	LLXA11	2.084,759861	437,956557	-	2.522,716418	Padrão - SND	Reg.	
17/08/2018	LLXA11	2.084,447621	437,216488	-	2.521,664109	Padrão - SND	Reg.	
16/08/2018	LLXA11	2.084,135443	436,476811	-	2.520,612254	Padrão - SND	Reg.	
15/08/2018	LLXA11	2.083,823308	435,737529	-	2.083,823308	Padrão - SND	Reg.	
14/08/2018	LLXA11	1.728,931928	360,969034	-	2.089,900962	Padrão - SND	Reg.	
13/08/2018	LLXA11	1.728,672993	360,356214	-	2.089,029207	Padrão - SND	Reg.	
10/08/2018	LLXA11	1.728,414089	359,743718	-	2.088,157807	Padrão - SND	Reg.	
09/08/2018	LLXA11	1.728,155214	359,131545	-	2.087,286759	Padrão - SND	Reg.	
08/08/2018	LLXA11	1.740,259166	361,084839	-	2.101,344005	Padrão - SND	Reg.	
07/08/2018	LLXA11	1.739,268968	360,317802	-	2.099,586770	Padrão - SND	Reg.	
06/08/2018	LLXA11	1.738,279338	359,551672	-	2.097,831010	Padrão - SND	Reg.	
03/08/2018	LLXA11	1.737,290260	358,786444	-	2.096,076704	Padrão - SND	Reg.	
02/08/2018	LLXA11	1.736,301764	358,022124	-	2.094,323888	Padrão - SND	Reg.	
01/08/2018	LLXA11	1.735,313821	357,258706	-	2.092,572527	Padrão - SND	Reg.	
31/07/2018	LLXA11	1.734,326430	356,496187	-	2.090,822617	Padrão - SND	Reg.	
30/07/2018	LLXA11	1.733,339621	355,734576	-	2.089,074197	Padrão - SND	Reg.	
27/07/2018	LLXA11	1.732,353365	354,973863	-	2.087,327228	Padrão - SND	Reg.	
26/07/2018	LLXA11	1.731,367661	354,214048	-	2.085,581709	Padrão - SND	Reg.	
25/07/2018	LLXA11	1.730,382525	353,455132	-	2.083,837657	Padrão - SND	Reg.	
24/07/2018	LLXA11	1.729,397956	352,697116	-	2.082,095072	Padrão - SND	Reg.	
23/07/2018	LLXA11	1.728,413939	351,939995	-	2.080,353934	Padrão - SND	Reg.	
20/07/2018	LLXA11	1.727,430475	351,183770	-	2.078,614245	Padrão - SND	Reg.	
19/07/2018	LLXA11	1.726,447579	350,428440	-	2.076,876019	Padrão - SND	Reg.	
18/07/2018	LLXA11	1.725,465234	349,674005	-	2.075,139239	Padrão - SND	Reg.	
17/07/2018	LLXA11	1.724,483458	348,920463	-	2.073,403921	Padrão - SND	Reg.	
16/07/2018	LLXA11	1.723,502248	348,167817	-	2.071,670065	Padrão - SND	Reg.	
13/07/2018	LLXA11	1.722,474902	347,406645	-	2.069,881547	Padrão - SND	Reg.	
12/07/2018	LLXA11	1.721,448152	346,646399	-	2.068,094551	Padrão - SND	Reg.	
11/07/2018	LLXA11	1.720,422030	345,887090	-	2.066,309120	Padrão - SND	Reg.	
10/07/2018	LLXA11	1.719,396535	345,128711	-	2.064,525246	Padrão - SND	Reg.	
09/07/2018	LLXA11	1.718,371638	344,371259	-	2.062,742897	Padrão - SND	Reg.	
06/07/2018	LLXA11	1.706,916992	341,527781	-	2.048,444773	Padrão - SND	Reg.	
05/07/2018	LLXA11	1.706,592495	340,915202	-	2.047,507697	Padrão - SND	Reg.	
04/07/2018	LLXA11	1.706,268058	340,302989	-	2.046,571047	Padrão - SND	Reg.	
03/07/2018	LLXA11	1.705,943696	339,691145	-	2.045,634841	Padrão - SND	Reg.	
02/07/2018	LLXA11	1.705,619394	339,079668	-	2.044,699062	Padrão - SND	Reg.	
29/06/2018	LLXA11	1.705,295151	338,468557	-	2.043,763708	Padrão - SND	Reg.	
28/06/2018	LLXA11	1.704,970953	337,857809	-	2.042,828762	Padrão - SND	Reg.	
27/06/2018	LLXA11	1.704,646829	337,247429	-	2.041,894258	Padrão - SND	Reg.	
26/06/2018	LLXA11	1.704,322780	336,637417	-	2.040,960197	Padrão - SND	Reg.	
25/06/2018	LLXA11	1.703,998776	336,027769	-	2.040,026545	Padrão - SND	Reg.	
22/06/2018	LLXA11	1.703,674847	335,418488	-	2.039,093335	Padrão - SND	Reg.	
21/06/2018	LLXA11	1.703,350978	334,809574	-	2.038,160552	Padrão - SND	Reg.	
20/06/2018	LLXA11	1.703,027153	334,201019	-	2.037,228172	Padrão - SND	Reg.	
19/06/2018	LLXA11	1.702,703417	333,592836	-	2.036,296253	Padrão - SND	Reg.	
18/06/2018	LLXA11	1.702,379712	332,985012	-	2.035,364724	Padrão - SND	Reg.	
15/06/2018	LLXA11	1.702,056096	332,377556	-	2.034,433652	Padrão - SND	Reg.	
14/06/2018	LLXA11	1.701,747247	331,773332	-	2.033,520579	Padrão - SND	Reg.	
13/06/2018	LLXA11	1.701,438428	331,169459	-	2.032,607887	Padrão - SND	Reg.	
12/06/2018	LLXA11	1.701,129684	330,565940	-	2.031,695624	Padrão - SND	Reg.	
11/06/2018	LLXA11	1.700,820999	329,962777	-	2.030,783776	Padrão - SND	Reg.	
08/06/2018	LLXA11	1.698,154790	328,903343	-	2.027,058133	Padrão - SND	Reg.	
07/06/2018	LLXA11	1.697,985203	328,328514	-	2.026,313717	Padrão - SND	Reg.	
06/06/2018	LLXA11	1.697,815631	327,753940	-	2.025,569571	Padrão - SND	Reg.	
05/06/2018	LLXA11	1.697,646089	327,179625	-	2.024,825714	Padrão - SND	Reg.	
04/06/2018	LLXA11	1.697,476547	326,605563	-	2.024,082110	Padrão - SND	Reg.	
01/06/2018	LLXA11	1.697,307034	326,031760	-	2.023,338794	Padrão - SND	Reg.	
30/05/2018	LLXA11	1.697,137522	325,458209	-	2.022,595731	Padrão - SND	Reg.	
29/05/2018	LLXA11	1.696,968025	324,884915	-	2.021,852940	Padrão - SND	Reg.	
28/05/2018	LLXA11	1.696,798572	324,311881	-	2.021,110453	Padrão - SND	Reg.	
25/05/2018	LLXA11	1.696,629104	323,739097	-	2.020,368201	Padrão - SND	Reg.	
24/05/2018	LLXA11	1.696,459682	323,166574	-	2.019,626256	Padrão - SND	Reg.	
23/05/2018	LLXA11	1.696,290259	322,594303	-	2.018,884562	Padrão - SND	Reg.	
22/05/2018	LLXA11	1.696,120851	322,022287	-	2.018,143138	Padrão - SND	Reg.	
21/05/2018	LLXA11	1.695,951473	321,450530	-	2.017,402003	Padrão - SND	Reg.	
18/05/2018	LLXA11	1.695,782095	320,879023	-	2.016,661118	Padrão - SND	Reg.	
17/05/2018	LLXA11	1.695,612762	320,307778	-	2.015,920540	Padrão - SND	Reg.	
16/05/2018	LLXA11	1.695,443414	319,736781	-	2.015,180195	Padrão - SND	Reg.	
15/05/2018	LLXA11	1.695,274111	319,166046	-	2.014,440157	Padrão - SND	Reg.	
14/05/2018	LLXA11	1.695,087891	318,592382	-	2.013,680273	Padrão - SND	Reg.	
11/05/2018	LLXA11	1.694,901670	318,018979	-	2.012,920649	Padrão - SND	Reg.	
10/05/2018	LLXA11	1.692,846828	317,095820	-	2.009,942648	Padrão - SND	Reg.	
09/05/2018	LLXA11	1.692,770710	316,544124	-	2.009,314834	Padrão - SND	Reg.	
08/05/2018	LLXA11	1.692,694606	315,992623	-	2.008,687229	Padrão - SND	Reg.	
07/05/2018	LLXA11	1.692,618503	315,441316	-	2.008,059819	Padrão - SND	Reg.	
04/05/2018	LLXA11	1.692,542399	314,890199	-	2.007,432598	Padrão - SND	Reg.	
03/05/2018	LLXA11	1.692,466295	314,339275	-	2.006,805570	Padrão - SND	Reg.	
02/05/2018	LLXA11	1.692,390207	313,788545	-	2.006,178752	Padrão - SND	Reg.	
30/04/2018	LLXA11	1.692,314133	313,238009	-	2.005,552142	Padrão - SND	Reg.	
27/04/2018	LLXA11	1.692,238044	312,687662	-	2.004,925706	Padrão - SND	Reg.	
26/04/2018	LLXA11	1.692,161956	312,137507	-	2.004,299463	Padrão - SND	Reg.	
25/04/2018	LLXA11	1.692,085867	311,587544	-	2.003,673411	Padrão - SND	Reg.	
24/04/2018	LLXA11	1.692,009793	311,037774	-	2.003,047567	Padrão - SND	Reg.	
23/04/2018	LLXA11	1.691,933734	310,488199	-	2.002,421933	Padrão - SND	Reg.	
20/04/2018	LLXA11	1.691,857661	309,938813	-	2.001,796474	Padrão - SND	Reg.	
19/04/2018	LLXA11	1.691,781587	309,389617	-	2.001,171204	Padrão - SND	Reg.	
18/04/2018	LLXA11	1.691,705528	308,840616	-	2.000,546144	Padrão - SND	Reg.	
17/04/2018	LLXA11	1.691,629469	308,291807	-	1.999,921276	Padrão - SND	Reg.	
16/04/2018	LLXA11	1.691,553410	307,743188	-	1.999,296598	Padrão - SND	Reg.	
13/04/2018	LLXA11	1.691,480980	307,195418	-	1.998,676398	Padrão - SND	Reg.	
12/04/2018	LLXA11	1.691,408564	306,647843	-	1.998,056407	Padrão - SND	Reg.	
11/04/2018	LLXA11	1.691,336134	306,100450	-	1.997,436584	Padrão - SND	Reg.	
10/04/2018	LLXA11	1.694,410140	306,121700	-	2.000,531840	Padrão - SND	Reg.	
09/04/2018	LLXA11	1.694,152355	305,540265	-	1.999,692620	Padrão - SND	Reg.	
06/04/2018	LLXA11	1.693,894600	304,959140	-	1.998,853740	Padrão - SND	Reg.	
05/04/2018	LLXA11	1.693,636890	304,378328	-	1.998,015218	Padrão - SND	Reg.	
04/04/2018	LLXA11	1.693,379210	303,797828	-	1.997,177038	Padrão - SND	Reg.	
03/04/2018	LLXA11	1.693,121575	303,217641	-	1.996,339216	Padrão - SND	Reg.	
02/04/2018	LLXA11	1.692,863984	302,637766	-	1.995,501750	Padrão - SND	Reg.	
29/03/2018	LLXA11	1.692,606423	302,058204	-	1.994,664627	Padrão - SND	Reg.	
28/03/2018	LLXA11	1.692,348922	301,478956	-	1.993,827878	Padrão - SND	Reg.	
27/03/2018	LLXA11	1.692,091436	300,900015	-	1.992,991451	Padrão - SND	Reg.	
26/03/2018	LLXA11	1.691,833995	300,321389	-	1.992,155384	Padrão - SND	Reg.	
23/03/2018	LLXA11	1.691,576598	299,743073	-	1.991,319671	Padrão - SND	Reg.	
22/03/2018	LLXA11	1.691,319232	299,165068	-	1.990,484300	Padrão - SND	Reg.	
21/03/2018	LLXA11	1.691,061925	298,587378	-	1.989,649303	Padrão - SND	Reg.	
20/03/2018	LLXA11	1.690,804633	298,009995	-	1.988,814628	Padrão - SND	Reg.	
19/03/2018	LLXA11	1.690,547386	297,432924	-	1.987,980310	Padrão - SND	Reg.	
