PU Histórico - Gerado em 07/10/2018 01:10:45

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	LORTA1	10.000,000000	227,292700	-	10.227,292700	Padrão - SND	Reg.	
04/10/2018	LORTA1	10.000,000000	224,485900	-	10.224,485900	Padrão - SND	Reg.	
03/10/2018	LORTA1	10.000,000000	221,679900	-	10.221,679900	Padrão - SND	Reg.	
02/10/2018	LORTA1	10.000,000000	218,874700	-	10.218,874700	Padrão - SND	Reg.	
01/10/2018	LORTA1	10.000,000000	216,070300	-	10.216,070300	Padrão - SND	Reg.	
28/09/2018	LORTA1	10.000,000000	213,270800	-	10.213,270800	Padrão - SND	Reg.	
27/09/2018	LORTA1	10.000,000000	210,472100	-	10.210,472100	Padrão - SND	Reg.	
26/09/2018	LORTA1	10.000,000000	207,674200	-	10.207,674200	Padrão - SND	Reg.	
25/09/2018	LORTA1	10.000,000000	204,877000	-	10.204,877000	Padrão - SND	Reg.	
24/09/2018	LORTA1	10.000,000000	202,080600	-	10.202,080600	Padrão - SND	Reg.	
21/09/2018	LORTA1	10.000,000000	199,285000	-	10.199,285000	Padrão - SND	Reg.	
20/09/2018	LORTA1	10.000,000000	196,490200	-	10.196,490200	Padrão - SND	Reg.	
19/09/2018	LORTA1	10.000,000000	193,696100	-	10.193,696100	Padrão - SND	Reg.	
18/09/2018	LORTA1	10.000,000000	190,902700	-	10.190,902700	Padrão - SND	Reg.	
17/09/2018	LORTA1	10.000,000000	188,110200	-	10.188,110200	Padrão - SND	Reg.	
14/09/2018	LORTA1	10.000,000000	185,318400	-	10.185,318400	Padrão - SND	Reg.	
13/09/2018	LORTA1	10.000,000000	182,527300	-	10.182,527300	Padrão - SND	Reg.	
12/09/2018	LORTA1	10.000,000000	179,737100	-	10.179,737100	Padrão - SND	Reg.	
11/09/2018	LORTA1	10.000,000000	176,947500	-	10.176,947500	Padrão - SND	Reg.	
10/09/2018	LORTA1	10.000,000000	174,158800	-	10.174,158800	Padrão - SND	Reg.	
06/09/2018	LORTA1	10.000,000000	171,370800	-	10.171,370800	Padrão - SND	Reg.	
05/09/2018	LORTA1	10.000,000000	168,583600	-	10.168,583600	Padrão - SND	Reg.	
04/09/2018	LORTA1	10.000,000000	165,797200	-	10.165,797200	Padrão - SND	Reg.	
03/09/2018	LORTA1	10.000,000000	163,011500	-	10.163,011500	Padrão - SND	Reg.	
31/08/2018	LORTA1	10.000,000000	160,226600	-	10.160,226600	Padrão - SND	Reg.	
30/08/2018	LORTA1	10.000,000000	157,442400	-	10.157,442400	Padrão - SND	Reg.	
29/08/2018	LORTA1	10.000,000000	154,659000	-	10.154,659000	Padrão - SND	Reg.	
28/08/2018	LORTA1	10.000,000000	151,876400	-	10.151,876400	Padrão - SND	Reg.	
27/08/2018	LORTA1	10.000,000000	149,094500	-	10.149,094500	Padrão - SND	Reg.	
24/08/2018	LORTA1	10.000,000000	146,313400	-	10.146,313400	Padrão - SND	Reg.	
23/08/2018	LORTA1	10.000,000000	143,533000	-	10.143,533000	Padrão - SND	Reg.	
22/08/2018	LORTA1	10.000,000000	140,753500	-	10.140,753500	Padrão - SND	Reg.	
21/08/2018	LORTA1	10.000,000000	137,974600	-	10.137,974600	Padrão - SND	Reg.	
20/08/2018	LORTA1	10.000,000000	135,196600	-	10.135,196600	Padrão - SND	Reg.	
17/08/2018	LORTA1	10.000,000000	132,419300	-	10.132,419300	Padrão - SND	Reg.	
16/08/2018	LORTA1	10.000,000000	129,642700	-	10.129,642700	Padrão - SND	Reg.	
15/08/2018	LORTA1	10.000,000000	126,866900	-	10.126,866900	Padrão - SND	Reg.	
14/08/2018	LORTA1	10.000,000000	124,091900	-	10.124,091900	Padrão - SND	Reg.	
13/08/2018	LORTA1	10.000,000000	121,317700	-	10.121,317700	Padrão - SND	Reg.	
10/08/2018	LORTA1	10.000,000000	118,544200	-	10.118,544200	Padrão - SND	Reg.	
09/08/2018	LORTA1	10.000,000000	115,771400	-	10.115,771400	Padrão - SND	Reg.	
08/08/2018	LORTA1	10.000,000000	112,999500	-	10.112,999500	Padrão - SND	Reg.	
07/08/2018	LORTA1	10.000,000000	110,228200	-	10.110,228200	Padrão - SND	Reg.	
06/08/2018	LORTA1	10.000,000000	107,457800	-	10.107,457800	Padrão - SND	Reg.	
03/08/2018	LORTA1	10.000,000000	104,688100	-	10.104,688100	Padrão - SND	Reg.	
02/08/2018	LORTA1	10.000,000000	101,919100	-	10.101,919100	Padrão - SND	Reg.	
01/08/2018	LORTA1	10.000,000000	99,151000	-	10.099,151000	Padrão - SND	Reg.	
31/07/2018	LORTA1	10.000,000000	96,383500	-	10.096,383500	Padrão - SND	Reg.	
30/07/2018	LORTA1	10.000,000000	93,616900	-	10.093,616900	Padrão - SND	Reg.	
27/07/2018	LORTA1	10.000,000000	90,851000	-	10.090,851000	Padrão - SND	Reg.	
26/07/2018	LORTA1	10.000,000000	88,085800	-	10.088,085800	Padrão - SND	Reg.	
25/07/2018	LORTA1	10.000,000000	85,321400	-	10.085,321400	Padrão - SND	Reg.	
24/07/2018	LORTA1	10.000,000000	82,557800	-	10.082,557800	Padrão - SND	Reg.	
23/07/2018	LORTA1	10.000,000000	79,794900	-	10.079,794900	Padrão - SND	Reg.	
