PU Histórico - Gerado em 07/10/2018 01:11:01

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	LSVE29	13.618,250700	308,066566	-	13.926,317266	Padrão - SND	Reg.	
04/10/2018	LSVE29	13.618,895300	304,996944	-	13.923,892244	Padrão - SND	Reg.	
03/10/2018	LSVE29	13.619,540000	301,927701	-	13.921,467701	Padrão - SND	Reg.	
02/10/2018	LSVE29	13.620,184900	298,858864	-	13.919,043764	Padrão - SND	Reg.	
01/10/2018	LSVE29	13.620,829600	295,790412	-	13.916,620012	Padrão - SND	Reg.	
28/09/2018	LSVE29	13.621,474400	292,722352	-	13.914,196752	Padrão - SND	Reg.	
27/09/2018	LSVE29	13.622,119100	289,654679	-	13.911,773779	Padrão - SND	Reg.	
26/09/2018	LSVE29	13.622,764100	286,587401	-	13.909,351501	Padrão - SND	Reg.	
25/09/2018	LSVE29	13.623,408900	283,520509	-	13.906,929409	Padrão - SND	Reg.	
24/09/2018	LSVE29	13.624,053800	280,454022	-	13.904,507822	Padrão - SND	Reg.	
21/09/2018	LSVE29	13.624,698800	277,387913	-	13.902,086713	Padrão - SND	Reg.	
20/09/2018	LSVE29	13.625,343700	274,322192	-	13.899,665892	Padrão - SND	Reg.	
19/09/2018	LSVE29	13.625,988700	271,256876	-	13.897,245576	Padrão - SND	Reg.	
18/09/2018	LSVE29	13.626,633800	268,191939	-	13.894,825739	Padrão - SND	Reg.	
17/09/2018	LSVE29	13.627,278900	265,127405	-	13.892,406305	Padrão - SND	Reg.	
14/09/2018	LSVE29	13.627,836100	262,061557	-	13.889,897657	Padrão - SND	Reg.	
13/09/2018	LSVE29	13.628,393300	258,996153	-	13.887,389453	Padrão - SND	Reg.	
12/09/2018	LSVE29	13.628,950500	255,931165	-	13.884,881665	Padrão - SND	Reg.	
11/09/2018	LSVE29	13.629,507600	252,866619	-	13.882,374219	Padrão - SND	Reg.	
10/09/2018	LSVE29	13.630,064800	249,802491	-	13.879,867291	Padrão - SND	Reg.	
06/09/2018	LSVE29	13.672,267700	247,492669	-	13.919,760369	Padrão - SND	Reg.	
05/09/2018	LSVE29	13.670,220000	244,373446	-	13.914,593446	Padrão - SND	Reg.	
04/09/2018	LSVE29	13.668,172600	241,255835	-	13.909,428435	Padrão - SND	Reg.	
03/09/2018	LSVE29	13.666,125500	238,139849	-	13.904,265349	Padrão - SND	Reg.	
31/08/2018	LSVE29	13.664,078700	235,025460	-	13.899,104160	Padrão - SND	Reg.	
30/08/2018	LSVE29	13.662,032200	231,912682	-	13.893,944882	Padrão - SND	Reg.	
29/08/2018	LSVE29	13.659,986000	228,801514	-	13.888,787514	Padrão - SND	Reg.	
28/08/2018	LSVE29	13.657,940200	225,691944	-	13.883,632144	Padrão - SND	Reg.	
27/08/2018	LSVE29	13.655,894600	222,583995	-	13.878,478595	Padrão - SND	Reg.	
24/08/2018	LSVE29	13.653,849300	219,477654	-	13.873,326954	Padrão - SND	Reg.	
23/08/2018	LSVE29	13.651,804300	216,372907	-	13.868,177207	Padrão - SND	Reg.	
22/08/2018	LSVE29	13.649,759800	213,269771	-	13.863,029571	Padrão - SND	Reg.	
21/08/2018	LSVE29	13.647,715300	210,168237	-	13.857,883537	Padrão - SND	Reg.	
20/08/2018	LSVE29	13.645,671300	207,068313	-	13.852,739613	Padrão - SND	Reg.	
17/08/2018	LSVE29	13.643,627600	203,969981	-	13.847,597581	Padrão - SND	Reg.	
16/08/2018	LSVE29	13.641,584200	200,873269	-	13.842,457469	Padrão - SND	Reg.	
15/08/2018	LSVE29	13.639,541200	197,778149	-	13.837,319349	Padrão - SND	Reg.	
14/08/2018	LSVE29	13.637,498300	194,684630	-	13.832,182930	Padrão - SND	Reg.	
