PU Histórico - Gerado em 07/10/2018 01:11:15

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	MARA11	10.000,000000	4.448,338530	-	14.448,338530	Padrão - SND	Reg.	
04/10/2018	MARA11	10.000,000000	4.442,672140	-	14.442,672140	Padrão - SND	Reg.	
03/10/2018	MARA11	10.000,000000	4.437,007990	-	14.437,007990	Padrão - SND	Reg.	
02/10/2018	MARA11	10.000,000000	4.431,346170	-	14.431,346170	Padrão - SND	Reg.	
01/10/2018	MARA11	10.000,000000	4.425,686470	-	14.425,686470	Padrão - SND	Reg.	
28/09/2018	MARA11	10.000,000000	4.420,034310	-	14.420,034310	Padrão - SND	Reg.	
27/09/2018	MARA11	10.000,000000	4.414,384350	-	14.414,384350	Padrão - SND	Reg.	
26/09/2018	MARA11	10.000,000000	4.408,736640	-	14.408,736640	Padrão - SND	Reg.	
25/09/2018	MARA11	10.000,000000	4.403,091150	-	14.403,091150	Padrão - SND	Reg.	
24/09/2018	MARA11	10.000,000000	4.397,447880	-	14.397,447880	Padrão - SND	Reg.	
21/09/2018	MARA11	10.000,000000	4.391,806830	-	14.391,806830	Padrão - SND	Reg.	
20/09/2018	MARA11	10.000,000000	4.386,168020	-	14.386,168020	Padrão - SND	Reg.	
19/09/2018	MARA11	10.000,000000	4.380,531310	-	14.380,531310	Padrão - SND	Reg.	
18/09/2018	MARA11	10.000,000000	4.374,896920	-	14.374,896920	Padrão - SND	Reg.	
17/09/2018	MARA11	10.000,000000	4.369,264670	-	14.369,264670	Padrão - SND	Reg.	
14/09/2018	MARA11	10.000,000000	4.363,634610	-	14.363,634610	Padrão - SND	Reg.	
13/09/2018	MARA11	10.000,000000	4.358,006780	-	14.358,006780	Padrão - SND	Reg.	
12/09/2018	MARA11	10.000,000000	4.352,381180	-	14.352,381180	Padrão - SND	Reg.	
11/09/2018	MARA11	10.000,000000	4.346,757790	-	14.346,757790	Padrão - SND	Reg.	
10/09/2018	MARA11	10.000,000000	4.341,136620	-	14.341,136620	Padrão - SND	Reg.	
06/09/2018	MARA11	10.000,000000	4.335,517560	-	14.335,517560	Padrão - SND	Reg.	
05/09/2018	MARA11	10.000,000000	4.329,900830	-	14.329,900830	Padrão - SND	Reg.	
04/09/2018	MARA11	10.000,000000	4.324,286190	-	14.324,286190	Padrão - SND	Reg.	
03/09/2018	MARA11	10.000,000000	4.318,673780	-	14.318,673780	Padrão - SND	Reg.	
31/08/2018	MARA11	10.000,000000	4.313,063590	-	14.313,063590	Padrão - SND	Reg.	
30/08/2018	MARA11	10.000,000000	4.307,455600	-	14.307,455600	Padrão - SND	Reg.	
29/08/2018	MARA11	10.000,000000	4.301,849830	-	14.301,849830	Padrão - SND	Reg.	
28/08/2018	MARA11	10.000,000000	4.296,246160	-	14.296,246160	Padrão - SND	Reg.	
27/08/2018	MARA11	10.000,000000	4.290,644710	-	14.290,644710	Padrão - SND	Reg.	
