PU Histórico - Gerado em 17/02/2019 12:18:41

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	MCSD11	10.000,000000	247,912900	-	10.247,912900	Padrão - SND	Reg.	
14/02/2019	MCSD11	10.000,000000	245,155500	-	10.245,155500	Padrão - SND	Reg.	
13/02/2019	MCSD11	10.000,000000	242,398800	-	10.242,398800	Padrão - SND	Reg.	
12/02/2019	MCSD11	10.000,000000	239,642800	-	10.239,642800	Padrão - SND	Reg.	
11/02/2019	MCSD11	10.000,000000	236,887600	-	10.236,887600	Padrão - SND	Reg.	
08/02/2019	MCSD11	10.000,000000	234,133200	-	10.234,133200	Padrão - SND	Reg.	
07/02/2019	MCSD11	10.000,000000	231,379400	-	10.231,379400	Padrão - SND	Reg.	
06/02/2019	MCSD11	10.000,000000	228,626400	-	10.228,626400	Padrão - SND	Reg.	
05/02/2019	MCSD11	10.000,000000	225,874200	-	10.225,874200	Padrão - SND	Reg.	
04/02/2019	MCSD11	10.000,000000	223,122700	-	10.223,122700	Padrão - SND	Reg.	
01/02/2019	MCSD11	10.000,000000	220,371900	-	10.220,371900	Padrão - SND	Reg.	
31/01/2019	MCSD11	10.000,000000	217,621900	-	10.217,621900	Padrão - SND	Reg.	
30/01/2019	MCSD11	10.000,000000	214,872600	-	10.214,872600	Padrão - SND	Reg.	
29/01/2019	MCSD11	10.000,000000	212,124000	-	10.212,124000	Padrão - SND	Reg.	
28/01/2019	MCSD11	10.000,000000	209,376200	-	10.209,376200	Padrão - SND	Reg.	
25/01/2019	MCSD11	10.000,000000	206,629100	-	10.206,629100	Padrão - SND	Reg.	
24/01/2019	MCSD11	10.000,000000	203,882800	-	10.203,882800	Padrão - SND	Reg.	
23/01/2019	MCSD11	10.000,000000	201,137200	-	10.201,137200	Padrão - SND	Reg.	
22/01/2019	MCSD11	10.000,000000	198,392400	-	10.198,392400	Padrão - SND	Reg.	
21/01/2019	MCSD11	10.000,000000	195,648200	-	10.195,648200	Padrão - SND	Reg.	
18/01/2019	MCSD11	10.000,000000	192,904900	-	10.192,904900	Padrão - SND	Reg.	
17/01/2019	MCSD11	10.000,000000	190,162200	-	10.190,162200	Padrão - SND	Reg.	
16/01/2019	MCSD11	10.000,000000	187,420300	-	10.187,420300	Padrão - SND	Reg.	
15/01/2019	MCSD11	10.000,000000	184,679200	-	10.184,679200	Padrão - SND	Reg.	
14/01/2019	MCSD11	10.000,000000	181,938700	-	10.181,938700	Padrão - SND	Reg.	
11/01/2019	MCSD11	10.000,000000	179,199000	-	10.179,199000	Padrão - SND	Reg.	
10/01/2019	MCSD11	10.000,000000	176,460100	-	10.176,460100	Padrão - SND	Reg.	
09/01/2019	MCSD11	10.000,000000	173,721900	-	10.173,721900	Padrão - SND	Reg.	
08/01/2019	MCSD11	10.000,000000	170,984400	-	10.170,984400	Padrão - SND	Reg.	
07/01/2019	MCSD11	10.000,000000	168,247700	-	10.168,247700	Padrão - SND	Reg.	
04/01/2019	MCSD11	10.000,000000	165,511600	-	10.165,511600	Padrão - SND	Reg.	
03/01/2019	MCSD11	10.000,000000	162,776400	-	10.162,776400	Padrão - SND	Reg.	
02/01/2019	MCSD11	10.000,000000	160,041800	-	10.160,041800	Padrão - SND	Reg.	
31/12/2018	MCSD11	10.000,000000	157,308100	-	10.157,308100	Padrão - SND	Reg.	
28/12/2018	MCSD11	10.000,000000	154,575000	-	10.154,575000	Padrão - SND	Reg.	
27/12/2018	MCSD11	10.000,000000	151,842700	-	10.151,842700	Padrão - SND	Reg.	
26/12/2018	MCSD11	10.000,000000	149,111100	-	10.149,111100	Padrão - SND	Reg.	
24/12/2018	MCSD11	10.000,000000	146,380200	-	10.146,380200	Padrão - SND	Reg.	
21/12/2018	MCSD11	10.000,000000	143,650100	-	10.143,650100	Padrão - SND	Reg.	
20/12/2018	MCSD11	10.000,000000	140,920700	-	10.140,920700	Padrão - SND	Reg.	
19/12/2018	MCSD11	10.000,000000	138,192100	-	10.138,192100	Padrão - SND	Reg.	
18/12/2018	MCSD11	10.000,000000	135,464100	-	10.135,464100	Padrão - SND	Reg.	
17/12/2018	MCSD11	10.000,000000	132,737000	-	10.132,737000	Padrão - SND	Reg.	
14/12/2018	MCSD11	10.000,000000	130,010500	-	10.130,010500	Padrão - SND	Reg.	
13/12/2018	MCSD11	10.000,000000	127,284800	-	10.127,284800	Padrão - SND	Reg.	
12/12/2018	MCSD11	10.000,000000	124,559800	-	10.124,559800	Padrão - SND	Reg.	
11/12/2018	MCSD11	10.000,000000	121,835600	-	10.121,835600	Padrão - SND	Reg.	
10/12/2018	MCSD11	10.000,000000	119,112000	-	10.119,112000	Padrão - SND	Reg.	
07/12/2018	MCSD11	10.000,000000	116,389300	-	10.116,389300	Padrão - SND	Reg.	
06/12/2018	MCSD11	10.000,000000	113,667200	-	10.113,667200	Padrão - SND	Reg.	
05/12/2018	MCSD11	10.000,000000	110,945900	-	10.110,945900	Padrão - SND	Reg.	
04/12/2018	MCSD11	10.000,000000	108,225300	-	10.108,225300	Padrão - SND	Reg.	
03/12/2018	MCSD11	10.000,000000	105,505400	-	10.105,505400	Padrão - SND	Reg.	
