PU Histórico - Gerado em 17/02/2019 12:18:48

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	MNGN12	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
14/02/2019	MNGN12	10.000,000000	87,094170	-	10.087,094170	Padrão - SND	Reg.	
13/02/2019	MNGN12	10.000,000000	83,119000	-	10.083,119000	Padrão - SND	Reg.	
12/02/2019	MNGN12	10.000,000000	79,145290	-	10.079,145290	Padrão - SND	Reg.	
11/02/2019	MNGN12	10.000,000000	75,173230	-	10.075,173230	Padrão - SND	Reg.	
08/02/2019	MNGN12	10.000,000000	71,202720	-	10.071,202720	Padrão - SND	Reg.	
07/02/2019	MNGN12	10.000,000000	67,233670	-	10.067,233670	Padrão - SND	Reg.	
06/02/2019	MNGN12	10.000,000000	63,266280	-	10.063,266280	Padrão - SND	Reg.	
05/02/2019	MNGN12	10.000,000000	59,300450	-	10.059,300450	Padrão - SND	Reg.	
04/02/2019	MNGN12	10.000,000000	55,336170	-	10.055,336170	Padrão - SND	Reg.	
01/02/2019	MNGN12	10.000,000000	51,373440	-	10.051,373440	Padrão - SND	Reg.	
31/01/2019	MNGN12	10.000,000000	47,412270	-	10.047,412270	Padrão - SND	Reg.	
30/01/2019	MNGN12	10.000,000000	43,452740	-	10.043,452740	Padrão - SND	Reg.	
29/01/2019	MNGN12	10.000,000000	39,494670	-	10.039,494670	Padrão - SND	Reg.	
28/01/2019	MNGN12	10.000,000000	35,538160	-	10.035,538160	Padrão - SND	Reg.	
25/01/2019	MNGN12	10.000,000000	31,583290	-	10.031,583290	Padrão - SND	Reg.	
24/01/2019	MNGN12	10.000,000000	27,629890	-	10.027,629890	Padrão - SND	Reg.	
23/01/2019	MNGN12	10.000,000000	23,678120	-	10.023,678120	Padrão - SND	Reg.	
22/01/2019	MNGN12	10.000,000000	19,727910	-	10.019,727910	Padrão - SND	Reg.	
21/01/2019	MNGN12	10.000,000000	15,779150	-	10.015,779150	Padrão - SND	Reg.	
18/01/2019	MNGN12	10.000,000000	11,832040	-	10.011,832040	Padrão - SND	Reg.	
17/01/2019	MNGN12	10.000,000000	7,886480	-	10.007,886480	Padrão - SND	Reg.	
16/01/2019	MNGN12	10.000,000000	3,942460	-	10.003,942460	Padrão - SND	Reg.	
15/01/2019	MNGN12	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
14/01/2019	MNGN12	10.000,000000	71,202720	-	10.071,202720	Padrão - SND	Reg.	
11/01/2019	MNGN12	10.000,000000	67,233670	-	10.067,233670	Padrão - SND	Reg.	
10/01/2019	MNGN12	10.000,000000	63,266280	-	10.063,266280	Padrão - SND	Reg.	
09/01/2019	MNGN12	10.000,000000	59,300450	-	10.059,300450	Padrão - SND	Reg.	
08/01/2019	MNGN12	10.000,000000	55,336170	-	10.055,336170	Padrão - SND	Reg.	
07/01/2019	MNGN12	10.000,000000	51,373440	-	10.051,373440	Padrão - SND	Reg.	
04/01/2019	MNGN12	10.000,000000	47,412270	-	10.047,412270	Padrão - SND	Reg.	
03/01/2019	MNGN12	10.000,000000	43,452740	-	10.043,452740	Padrão - SND	Reg.	
02/01/2019	MNGN12	10.000,000000	39,494670	-	10.039,494670	Padrão - SND	Reg.	
31/12/2018	MNGN12	10.000,000000	35,538160	-	10.035,538160	Padrão - SND	Reg.	
28/12/2018	MNGN12	10.000,000000	31,583290	-	10.031,583290	Padrão - SND	Reg.	
27/12/2018	MNGN12	10.000,000000	27,629890	-	10.027,629890	Padrão - SND	Reg.	
26/12/2018	MNGN12	10.000,000000	23,678120	-	10.023,678120	Padrão - SND	Reg.	
24/12/2018	MNGN12	10.000,000000	19,727920	-	10.019,727920	Padrão - SND	Reg.	
21/12/2018	MNGN12	10.000,000000	15,779150	-	10.015,779150	Padrão - SND	Reg.	
20/12/2018	MNGN12	10.000,000000	11,832040	-	10.011,832040	Padrão - SND	Reg.	
19/12/2018	MNGN12	10.000,000000	7,886480	-	10.007,886480	Padrão - SND	Reg.	
18/12/2018	MNGN12	10.000,000000	3,942460	-	10.003,942460	Padrão - SND	Reg.	
17/12/2018	MNGN12	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
14/12/2018	MNGN12	10.000,000000	79,145290	-	10.079,145290	Padrão - SND	Reg.	
13/12/2018	MNGN12	10.000,000000	75,173230	-	10.075,173230	Padrão - SND	Reg.	
12/12/2018	MNGN12	10.000,000000	71,202720	-	10.071,202720	Padrão - SND	Reg.	
11/12/2018	MNGN12	10.000,000000	67,233670	-	10.067,233670	Padrão - SND	Reg.	
10/12/2018	MNGN12	10.000,000000	63,266280	-	10.063,266280	Padrão - SND	Reg.	
07/12/2018	MNGN12	10.000,000000	59,300450	-	10.059,300450	Padrão - SND	Reg.	
06/12/2018	MNGN12	10.000,000000	55,336170	-	10.055,336170	Padrão - SND	Reg.	
05/12/2018	MNGN12	10.000,000000	51,373440	-	10.051,373440	Padrão - SND	Reg.	
04/12/2018	MNGN12	10.000,000000	47,412270	-	10.047,412270	Padrão - SND	Reg.	
03/12/2018	MNGN12	10.000,000000	43,452750	-	10.043,452750	Padrão - SND	Reg.	
30/11/2018	MNGN12	10.000,000000	39,494670	-	10.039,494670	Padrão - SND	Reg.	
29/11/2018	MNGN12	10.000,000000	35,538160	-	10.035,538160	Padrão - SND	Reg.	
28/11/2018	MNGN12	10.000,000000	31,583290	-	10.031,583290	Padrão - SND	Reg.	
27/11/2018	MNGN12	10.000,000000	27,629890	-	10.027,629890	Padrão - SND	Reg.	
26/11/2018	MNGN12	10.000,000000	23,678120	-	10.023,678120	Padrão - SND	Reg.	
23/11/2018	MNGN12	10.000,000000	19,727920	-	10.019,727920	Padrão - SND	Reg.	
22/11/2018	MNGN12	10.000,000000	15,779150	-	10.015,779150	Padrão - SND	Reg.	
21/11/2018	MNGN12	10.000,000000	11,832040	-	10.011,832040	Padrão - SND	Reg.	
20/11/2018	MNGN12	10.000,000000	7,886480	-	10.007,886480	Padrão - SND	Reg.	
19/11/2018	MNGN12	10.000,000000	3,942460	-	10.003,942460	Padrão - SND	Reg.	
16/11/2018	MNGN12	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
14/11/2018	MNGN12	10.000,000000	43,452750	-	10.043,452750	Padrão - SND	Reg.	
13/11/2018	MNGN12	10.000,000000	39,494670	-	10.039,494670	Padrão - SND	Reg.	
12/11/2018	MNGN12	10.000,000000	35,538160	-	10.035,538160	Padrão - SND	Reg.	
09/11/2018	MNGN12	10.000,000000	31,583300	-	10.031,583300	Padrão - SND	Reg.	
08/11/2018	MNGN12	10.000,000000	27,629890	-	10.027,629890	Padrão - SND	Reg.	
07/11/2018	MNGN12	10.000,000000	23,678120	-	10.023,678120	Padrão - SND	Reg.	
06/11/2018	MNGN12	10.000,000000	19,727920	-	10.019,727920	Padrão - SND	Reg.	
05/11/2018	MNGN12	10.000,000000	15,779150	-	10.015,779150	Padrão - SND	Reg.	
01/11/2018	MNGN12	10.000,000000	11,832040	-	10.011,832040	Padrão - SND	Reg.	
31/10/2018	MNGN12	10.000,000000	7,886480	-	10.007,886480	Padrão - SND	Reg.	
30/10/2018	MNGN12	10.000,000000	3,942460	-	10.003,942460	Padrão - SND	Reg.	
29/10/2018	MNGN12	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
