PU Histórico - Gerado em 07/10/2018 01:11:43

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	MOVI12	10.000,000000	265,960960	-	10.265,960960	Padrão - SND	Reg.	
04/10/2018	MOVI12	10.000,000000	262,787600	-	10.262,787600	Padrão - SND	Reg.	
03/10/2018	MOVI12	10.000,000000	259,615300	-	10.259,615300	Padrão - SND	Reg.	
02/10/2018	MOVI12	10.000,000000	256,443970	-	10.256,443970	Padrão - SND	Reg.	
01/10/2018	MOVI12	10.000,000000	253,273490	-	10.253,273490	Padrão - SND	Reg.	
28/09/2018	MOVI12	10.000,000000	250,107890	-	10.250,107890	Padrão - SND	Reg.	
27/09/2018	MOVI12	10.000,000000	246,943270	-	10.246,943270	Padrão - SND	Reg.	
26/09/2018	MOVI12	10.000,000000	243,779590	-	10.243,779590	Padrão - SND	Reg.	
25/09/2018	MOVI12	10.000,000000	240,616980	-	10.240,616980	Padrão - SND	Reg.	
24/09/2018	MOVI12	10.000,000000	237,455240	-	10.237,455240	Padrão - SND	Reg.	
21/09/2018	MOVI12	10.000,000000	234,294540	-	10.234,294540	Padrão - SND	Reg.	
20/09/2018	MOVI12	10.000,000000	231,134810	-	10.231,134810	Padrão - SND	Reg.	
19/09/2018	MOVI12	10.000,000000	227,975940	-	10.227,975940	Padrão - SND	Reg.	
18/09/2018	MOVI12	10.000,000000	224,818130	-	10.224,818130	Padrão - SND	Reg.	
17/09/2018	MOVI12	10.000,000000	221,661390	-	10.221,661390	Padrão - SND	Reg.	
14/09/2018	MOVI12	10.000,000000	218,505500	-	10.218,505500	Padrão - SND	Reg.	
13/09/2018	MOVI12	10.000,000000	215,350670	-	10.215,350670	Padrão - SND	Reg.	
12/09/2018	MOVI12	10.000,000000	212,196700	-	10.212,196700	Padrão - SND	Reg.	
11/09/2018	MOVI12	10.000,000000	209,043790	-	10.209,043790	Padrão - SND	Reg.	
10/09/2018	MOVI12	10.000,000000	205,891840	-	10.205,891840	Padrão - SND	Reg.	
06/09/2018	MOVI12	10.000,000000	202,740840	-	10.202,740840	Padrão - SND	Reg.	
05/09/2018	MOVI12	10.000,000000	199,590820	-	10.199,590820	Padrão - SND	Reg.	
04/09/2018	MOVI12	10.000,000000	196,441850	-	10.196,441850	Padrão - SND	Reg.	
03/09/2018	MOVI12	10.000,000000	193,293730	-	10.193,293730	Padrão - SND	Reg.	
31/08/2018	MOVI12	10.000,000000	190,146670	-	10.190,146670	Padrão - SND	Reg.	
30/08/2018	MOVI12	10.000,000000	187,000570	-	10.187,000570	Padrão - SND	Reg.	
29/08/2018	MOVI12	10.000,000000	183,855330	-	10.183,855330	Padrão - SND	Reg.	
28/08/2018	MOVI12	10.000,000000	180,711150	-	10.180,711150	Padrão - SND	Reg.	
27/08/2018	MOVI12	10.000,000000	177,568030	-	10.177,568030	Padrão - SND	Reg.	
24/08/2018	MOVI12	10.000,000000	174,425760	-	10.174,425760	Padrão - SND	Reg.	
23/08/2018	MOVI12	10.000,000000	171,284450	-	10.171,284450	Padrão - SND	Reg.	
22/08/2018	MOVI12	10.000,000000	168,144190	-	10.168,144190	Padrão - SND	Reg.	
21/08/2018	MOVI12	10.000,000000	165,004800	-	10.165,004800	Padrão - SND	Reg.	
20/08/2018	MOVI12	10.000,000000	161,866460	-	10.161,866460	Padrão - SND	Reg.	
17/08/2018	MOVI12	10.000,000000	158,729080	-	10.158,729080	Padrão - SND	Reg.	
16/08/2018	MOVI12	10.000,000000	155,592660	-	10.155,592660	Padrão - SND	Reg.	
15/08/2018	MOVI12	10.000,000000	152,457200	-	10.152,457200	Padrão - SND	Reg.	
14/08/2018	MOVI12	10.000,000000	149,322780	-	10.149,322780	Padrão - SND	Reg.	
13/08/2018	MOVI12	10.000,000000	146,189230	-	10.146,189230	Padrão - SND	Reg.	
10/08/2018	MOVI12	10.000,000000	143,056630	-	10.143,056630	Padrão - SND	Reg.	
09/08/2018	MOVI12	10.000,000000	139,925090	-	10.139,925090	Padrão - SND	Reg.	
08/08/2018	MOVI12	10.000,000000	136,794500	-	10.136,794500	Padrão - SND	Reg.	
07/08/2018	MOVI12	10.000,000000	133,664780	-	10.133,664780	Padrão - SND	Reg.	
06/08/2018	MOVI12	10.000,000000	130,536100	-	10.130,536100	Padrão - SND	Reg.	
03/08/2018	MOVI12	10.000,000000	127,408380	-	10.127,408380	Padrão - SND	Reg.	
02/08/2018	MOVI12	10.000,000000	124,281620	-	10.124,281620	Padrão - SND	Reg.	
01/08/2018	MOVI12	10.000,000000	121,155920	-	10.121,155920	Padrão - SND	Reg.	
31/07/2018	MOVI12	10.000,000000	118,031060	-	10.118,031060	Padrão - SND	Reg.	
30/07/2018	MOVI12	10.000,000000	114,907160	-	10.114,907160	Padrão - SND	Reg.	
27/07/2018	MOVI12	10.000,000000	111,784320	-	10.111,784320	Padrão - SND	Reg.	
26/07/2018	MOVI12	10.000,000000	108,662330	-	10.108,662330	Padrão - SND	Reg.	
25/07/2018	MOVI12	10.000,000000	105,541390	-	10.105,541390	Padrão - SND	Reg.	
24/07/2018	MOVI12	10.000,000000	102,421420	-	10.102,421420	Padrão - SND	Reg.	
23/07/2018	MOVI12	10.000,000000	99,302390	-	10.099,302390	Padrão - SND	Reg.	
20/07/2018	MOVI12	10.000,000000	96,184320	-	10.096,184320	Padrão - SND	Reg.	
19/07/2018	MOVI12	10.000,000000	93,067200	-	10.093,067200	Padrão - SND	Reg.	
18/07/2018	MOVI12	10.000,000000	89,951030	-	10.089,951030	Padrão - SND	Reg.	
17/07/2018	MOVI12	10.000,000000	86,835830	-	10.086,835830	Padrão - SND	Reg.	
16/07/2018	MOVI12	10.000,000000	83,721670	-	10.083,721670	Padrão - SND	Reg.	
13/07/2018	MOVI12	10.000,000000	80,608360	-	10.080,608360	Padrão - SND	Reg.	
12/07/2018	MOVI12	10.000,000000	77,496020	-	10.077,496020	Padrão - SND	Reg.	
11/07/2018	MOVI12	10.000,000000	74,384720	-	10.074,384720	Padrão - SND	Reg.	
10/07/2018	MOVI12	10.000,000000	71,274380	-	10.071,274380	Padrão - SND	Reg.	
09/07/2018	MOVI12	10.000,000000	68,164880	-	10.068,164880	Padrão - SND	Reg.	
06/07/2018	MOVI12	10.000,000000	65,056440	-	10.065,056440	Padrão - SND	Reg.	
05/07/2018	MOVI12	10.000,000000	61,948950	-	10.061,948950	Padrão - SND	Reg.	
04/07/2018	MOVI12	10.000,000000	58,842430	-	10.058,842430	Padrão - SND	Reg.	
03/07/2018	MOVI12	10.000,000000	55,736840	-	10.055,736840	Padrão - SND	Reg.	
02/07/2018	MOVI12	10.000,000000	52,632210	-	10.052,632210	Padrão - SND	Reg.	
29/06/2018	MOVI12	10.000,000000	49,528530	-	10.049,528530	Padrão - SND	Reg.	
28/06/2018	MOVI12	10.000,000000	46,425810	-	10.046,425810	Padrão - SND	Reg.	
27/06/2018	MOVI12	10.000,000000	43,324030	-	10.043,324030	Padrão - SND	Reg.	
26/06/2018	MOVI12	10.000,000000	40,223310	-	10.040,223310	Padrão - SND	Reg.	
25/06/2018	MOVI12	10.000,000000	37,123440	-	10.037,123440	Padrão - SND	Reg.	
22/06/2018	MOVI12	10.000,000000	34,024610	-	10.034,024610	Padrão - SND	Reg.	
21/06/2018	MOVI12	10.000,000000	30,926640	-	10.030,926640	Padrão - SND	Reg.	
20/06/2018	MOVI12	10.000,000000	27,829720	-	10.027,829720	Padrão - SND	Reg.	
19/06/2018	MOVI12	10.000,000000	24,733650	-	10.024,733650	Padrão - SND	Reg.	
18/06/2018	MOVI12	10.000,000000	21,638630	-	10.021,638630	Padrão - SND	Reg.	
15/06/2018	MOVI12	10.000,000000	18,544560	-	10.018,544560	Padrão - SND	Reg.	
14/06/2018	MOVI12	10.000,000000	15,451340	-	10.015,451340	Padrão - SND	Reg.	
13/06/2018	MOVI12	10.000,000000	12,359180	-	10.012,359180	Padrão - SND	Reg.	
12/06/2018	MOVI12	10.000,000000	9,267950	-	10.009,267950	Padrão - SND	Reg.	
11/06/2018	MOVI12	10.000,000000	6,177690	-	10.006,177690	Padrão - SND	Reg.	
08/06/2018	MOVI12	10.000,000000	3,088360	-	10.003,088360	Padrão - SND	Reg.	
07/06/2018	MOVI12	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
