PU Histórico - Gerado em 17/02/2019 12:18:57

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	MRPT13	1,000000	0,001471	-	1,001471	Padrão - SND	Reg.	
14/02/2019	MRPT13	1,000000	0,001103	-	1,001103	Padrão - SND	Reg.	
13/02/2019	MRPT13	1,000000	0,000735	-	1,000735	Padrão - SND	Reg.	
12/02/2019	MRPT13	1,000000	0,000368	-	1,000368	Padrão - SND	Reg.	
11/02/2019	MRPT13	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
08/02/2019	MRPT13	1,000000	0,018545	-	1,018545	Padrão - SND	Reg.	
07/02/2019	MRPT13	1,000000	0,018171	-	1,018171	Padrão - SND	Reg.	
06/02/2019	MRPT13	1,000000	0,017797	-	1,017797	Padrão - SND	Reg.	
05/02/2019	MRPT13	1,000000	0,017423	-	1,017423	Padrão - SND	Reg.	
04/02/2019	MRPT13	1,000000	0,017049	-	1,017049	Padrão - SND	Reg.	
01/02/2019	MRPT13	1,000000	0,016675	-	1,016675	Padrão - SND	Reg.	
31/01/2019	MRPT13	1,000000	0,016302	-	1,016302	Padrão - SND	Reg.	
30/01/2019	MRPT13	1,000000	0,015928	-	1,015928	Padrão - SND	Reg.	
29/01/2019	MRPT13	1,000000	0,015555	-	1,015555	Padrão - SND	Reg.	
28/01/2019	MRPT13	1,000000	0,015182	-	1,015182	Padrão - SND	Reg.	
25/01/2019	MRPT13	1,000000	0,014809	-	1,014809	Padrão - SND	Reg.	
24/01/2019	MRPT13	1,000000	0,014436	-	1,014436	Padrão - SND	Reg.	
23/01/2019	MRPT13	1,000000	0,014063	-	1,014063	Padrão - SND	Reg.	
22/01/2019	MRPT13	1,000000	0,013691	-	1,013691	Padrão - SND	Reg.	
21/01/2019	MRPT13	1,000000	0,013318	-	1,013318	Padrão - SND	Reg.	
18/01/2019	MRPT13	1,000000	0,012946	-	1,012946	Padrão - SND	Reg.	
17/01/2019	MRPT13	1,000000	0,012574	-	1,012574	Padrão - SND	Reg.	
16/01/2019	MRPT13	1,000000	0,012202	-	1,012202	Padrão - SND	Reg.	
15/01/2019	MRPT13	1,000000	0,011830	-	1,011830	Padrão - SND	Reg.	
14/01/2019	MRPT13	1,000000	0,011458	-	1,011458	Padrão - SND	Reg.	
11/01/2019	MRPT13	1,000000	0,011086	-	1,011086	Padrão - SND	Reg.	
10/01/2019	MRPT13	1,000000	0,010715	-	1,010715	Padrão - SND	Reg.	
09/01/2019	MRPT13	1,000000	0,010343	-	1,010343	Padrão - SND	Reg.	
08/01/2019	MRPT13	1,000000	0,009972	-	1,009972	Padrão - SND	Reg.	
07/01/2019	MRPT13	1,000000	0,009601	-	1,009601	Padrão - SND	Reg.	
04/01/2019	MRPT13	1,000000	0,009230	-	1,009230	Padrão - SND	Reg.	
03/01/2019	MRPT13	1,000000	0,008859	-	1,008859	Padrão - SND	Reg.	
02/01/2019	MRPT13	1,000000	0,008489	-	1,008489	Padrão - SND	Reg.	
31/12/2018	MRPT13	1,000000	0,008118	-	1,008118	Padrão - SND	Reg.	
28/12/2018	MRPT13	1,000000	0,007748	-	1,007748	Padrão - SND	Reg.	
27/12/2018	MRPT13	1,000000	0,007377	-	1,007377	Padrão - SND	Reg.	
26/12/2018	MRPT13	1,000000	0,007007	-	1,007007	Padrão - SND	Reg.	
24/12/2018	MRPT13	1,000000	0,006637	-	1,006637	Padrão - SND	Reg.	
21/12/2018	MRPT13	1,000000	0,006267	-	1,006267	Padrão - SND	Reg.	
20/12/2018	MRPT13	1,000000	0,005897	-	1,005897	Padrão - SND	Reg.	
19/12/2018	MRPT13	1,000000	0,005528	-	1,005528	Padrão - SND	Reg.	
18/12/2018	MRPT13	1,000000	0,005158	-	1,005158	Padrão - SND	Reg.	
17/12/2018	MRPT13	1,000000	0,004789	-	1,004789	Padrão - SND	Reg.	
14/12/2018	MRPT13	1,000000	0,004420	-	1,004420	Padrão - SND	Reg.	
13/12/2018	MRPT13	1,000000	0,004051	-	1,004051	Padrão - SND	Reg.	
12/12/2018	MRPT13	1,000000	0,003682	-	1,003682	Padrão - SND	Reg.	
11/12/2018	MRPT13	1,000000	0,003313	-	1,003313	Padrão - SND	Reg.	
10/12/2018	MRPT13	1,000000	0,002944	-	1,002944	Padrão - SND	Reg.	
07/12/2018	MRPT13	1,000000	0,002576	-	1,002576	Padrão - SND	Reg.	
06/12/2018	MRPT13	1,000000	0,002207	-	1,002207	Padrão - SND	Reg.	
05/12/2018	MRPT13	1,000000	0,001839	-	1,001839	Padrão - SND	Reg.	
04/12/2018	MRPT13	1,000000	0,001471	-	1,001471	Padrão - SND	Reg.	
03/12/2018	MRPT13	1,000000	0,001103	-	1,001103	Padrão - SND	Reg.	
30/11/2018	MRPT13	1,000000	0,000735	-	1,000735	Padrão - SND	Reg.	
29/11/2018	MRPT13	1,000000	0,000368	-	1,000368	Padrão - SND	Reg.	
28/11/2018	MRPT13	1,000000	-  	-	1,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
