PU Histórico - Gerado em 07/10/2018 01:12:03

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	MRVE19	10.000,000000	110,376860	-	10.110,376860	Padrão - SND	Reg.	
04/10/2018	MRVE19	10.000,000000	107,291090	-	10.107,291090	Padrão - SND	Reg.	
03/10/2018	MRVE19	10.000,000000	104,206370	-	10.104,206370	Padrão - SND	Reg.	
02/10/2018	MRVE19	10.000,000000	101,122460	-	10.101,122460	Padrão - SND	Reg.	
01/10/2018	MRVE19	10.000,000000	98,039600	-	10.098,039600	Padrão - SND	Reg.	
28/09/2018	MRVE19	10.000,000000	94,961360	-	10.094,961360	Padrão - SND	Reg.	
27/09/2018	MRVE19	10.000,000000	91,884060	-	10.091,884060	Padrão - SND	Reg.	
26/09/2018	MRVE19	10.000,000000	88,807680	-	10.088,807680	Padrão - SND	Reg.	
25/09/2018	MRVE19	10.000,000000	85,732230	-	10.085,732230	Padrão - SND	Reg.	
24/09/2018	MRVE19	10.000,000000	82,657820	-	10.082,657820	Padrão - SND	Reg.	
21/09/2018	MRVE19	10.000,000000	79,584230	-	10.079,584230	Padrão - SND	Reg.	
20/09/2018	MRVE19	10.000,000000	76,511570	-	10.076,511570	Padrão - SND	Reg.	
19/09/2018	MRVE19	10.000,000000	73,439950	-	10.073,439950	Padrão - SND	Reg.	
18/09/2018	MRVE19	10.000,000000	70,369240	-	10.070,369240	Padrão - SND	Reg.	
17/09/2018	MRVE19	10.000,000000	67,299370	-	10.067,299370	Padrão - SND	Reg.	
14/09/2018	MRVE19	10.000,000000	64,230530	-	10.064,230530	Padrão - SND	Reg.	
13/09/2018	MRVE19	10.000,000000	61,162610	-	10.061,162610	Padrão - SND	Reg.	
12/09/2018	MRVE19	10.000,000000	58,095620	-	10.058,095620	Padrão - SND	Reg.	
11/09/2018	MRVE19	10.000,000000	55,029560	-	10.055,029560	Padrão - SND	Reg.	
10/09/2018	MRVE19	10.000,000000	51,964430	-	10.051,964430	Padrão - SND	Reg.	
06/09/2018	MRVE19	10.000,000000	48,900230	-	10.048,900230	Padrão - SND	Reg.	
05/09/2018	MRVE19	10.000,000000	45,836950	-	10.045,836950	Padrão - SND	Reg.	
04/09/2018	MRVE19	10.000,000000	42,774590	-	10.042,774590	Padrão - SND	Reg.	
03/09/2018	MRVE19	10.000,000000	39,713270	-	10.039,713270	Padrão - SND	Reg.	
31/08/2018	MRVE19	10.000,000000	36,652780	-	10.036,652780	Padrão - SND	Reg.	
30/08/2018	MRVE19	10.000,000000	33,593310	-	10.033,593310	Padrão - SND	Reg.	
29/08/2018	MRVE19	10.000,000000	30,534670	-	10.030,534670	Padrão - SND	Reg.	
28/08/2018	MRVE19	10.000,000000	27,477060	-	10.027,477060	Padrão - SND	Reg.	
27/08/2018	MRVE19	10.000,000000	24,420270	-	10.024,420270	Padrão - SND	Reg.	
24/08/2018	MRVE19	10.000,000000	21,364500	-	10.021,364500	Padrão - SND	Reg.	
23/08/2018	MRVE19	10.000,000000	18,309670	-	10.018,309670	Padrão - SND	Reg.	
22/08/2018	MRVE19	10.000,000000	15,255660	-	10.015,255660	Padrão - SND	Reg.	
21/08/2018	MRVE19	10.000,000000	12,202670	-	10.012,202670	Padrão - SND	Reg.	
20/08/2018	MRVE19	10.000,000000	9,150620	-	10.009,150620	Padrão - SND	Reg.	
17/08/2018	MRVE19	10.000,000000	6,099490	-	10.006,099490	Padrão - SND	Reg.	
16/08/2018	MRVE19	10.000,000000	3,049290	-	10.003,049290	Padrão - SND	Reg.	
15/08/2018	MRVE19	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
14/08/2018	MRVE19	10.000,000000	390,877180	-	10.390,877180	Padrão - SND	Reg.	
13/08/2018	MRVE19	10.000,000000	387,709760	-	10.387,709760	Padrão - SND	Reg.	
10/08/2018	MRVE19	10.000,000000	384,543170	-	10.384,543170	Padrão - SND	Reg.	
09/08/2018	MRVE19	10.000,000000	381,377620	-	10.381,377620	Padrão - SND	Reg.	
08/08/2018	MRVE19	10.000,000000	378,213010	-	10.378,213010	Padrão - SND	Reg.	
07/08/2018	MRVE19	10.000,000000	375,049350	-	10.375,049350	Padrão - SND	Reg.	
06/08/2018	MRVE19	10.000,000000	371,886720	-	10.371,886720	Padrão - SND	Reg.	
03/08/2018	MRVE19	10.000,000000	368,724940	-	10.368,724940	Padrão - SND	Reg.	
02/08/2018	MRVE19	10.000,000000	365,564210	-	10.365,564210	Padrão - SND	Reg.	
01/08/2018	MRVE19	10.000,000000	362,404410	-	10.362,404410	Padrão - SND	Reg.	
31/07/2018	MRVE19	10.000,000000	359,245660	-	10.359,245660	Padrão - SND	Reg.	
30/07/2018	MRVE19	10.000,000000	356,087740	-	10.356,087740	Padrão - SND	Reg.	
27/07/2018	MRVE19	10.000,000000	352,930870	-	10.352,930870	Padrão - SND	Reg.	
26/07/2018	MRVE19	10.000,000000	349,774940	-	10.349,774940	Padrão - SND	Reg.	
25/07/2018	MRVE19	10.000,000000	346,619950	-	10.346,619950	Padrão - SND	Reg.	
24/07/2018	MRVE19	10.000,000000	343,465900	-	10.343,465900	Padrão - SND	Reg.	
23/07/2018	MRVE19	10.000,000000	340,312890	-	10.340,312890	Padrão - SND	Reg.	
20/07/2018	MRVE19	10.000,000000	337,160820	-	10.337,160820	Padrão - SND	Reg.	
19/07/2018	MRVE19	10.000,000000	334,009690	-	10.334,009690	Padrão - SND	Reg.	
18/07/2018	MRVE19	10.000,000000	330,859500	-	10.330,859500	Padrão - SND	Reg.	
