PU Histórico - Gerado em 07/10/2018 01:12:09

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	MRVEA2	10.000,000000	136,372870	-	10.136,372870	Padrão - SND	Reg.	
04/10/2018	MRVEA2	10.000,000000	133,318810	-	10.133,318810	Padrão - SND	Reg.	
03/10/2018	MRVEA2	10.000,000000	130,265660	-	10.130,265660	Padrão - SND	Reg.	
02/10/2018	MRVEA2	10.000,000000	127,213520	-	10.127,213520	Padrão - SND	Reg.	
01/10/2018	MRVEA2	10.000,000000	124,162180	-	10.124,162180	Padrão - SND	Reg.	
28/09/2018	MRVEA2	10.000,000000	121,115550	-	10.121,115550	Padrão - SND	Reg.	
27/09/2018	MRVEA2	10.000,000000	118,069950	-	10.118,069950	Padrão - SND	Reg.	
26/09/2018	MRVEA2	10.000,000000	115,025130	-	10.115,025130	Padrão - SND	Reg.	
25/09/2018	MRVEA2	10.000,000000	111,981240	-	10.111,981240	Padrão - SND	Reg.	
24/09/2018	MRVEA2	10.000,000000	108,938330	-	10.108,938330	Padrão - SND	Reg.	
21/09/2018	MRVEA2	10.000,000000	105,896250	-	10.105,896250	Padrão - SND	Reg.	
20/09/2018	MRVEA2	10.000,000000	102,855160	-	10.102,855160	Padrão - SND	Reg.	
19/09/2018	MRVEA2	10.000,000000	99,814980	-	10.099,814980	Padrão - SND	Reg.	
18/09/2018	MRVEA2	10.000,000000	96,775710	-	10.096,775710	Padrão - SND	Reg.	
17/09/2018	MRVEA2	10.000,000000	93,737340	-	10.093,737340	Padrão - SND	Reg.	
14/09/2018	MRVEA2	10.000,000000	90,699880	-	10.090,699880	Padrão - SND	Reg.	
13/09/2018	MRVEA2	10.000,000000	87,663330	-	10.087,663330	Padrão - SND	Reg.	
12/09/2018	MRVEA2	10.000,000000	84,627680	-	10.084,627680	Padrão - SND	Reg.	
11/09/2018	MRVEA2	10.000,000000	81,593030	-	10.081,593030	Padrão - SND	Reg.	
10/09/2018	MRVEA2	10.000,000000	78,559190	-	10.078,559190	Padrão - SND	Reg.	
06/09/2018	MRVEA2	10.000,000000	75,526250	-	10.075,526250	Padrão - SND	Reg.	
05/09/2018	MRVEA2	10.000,000000	72,494320	-	10.072,494320	Padrão - SND	Reg.	
04/09/2018	MRVEA2	10.000,000000	69,463300	-	10.069,463300	Padrão - SND	Reg.	
03/09/2018	MRVEA2	10.000,000000	66,433080	-	10.066,433080	Padrão - SND	Reg.	
31/08/2018	MRVEA2	10.000,000000	63,403860	-	10.063,403860	Padrão - SND	Reg.	
30/08/2018	MRVEA2	10.000,000000	60,375550	-	10.060,375550	Padrão - SND	Reg.	
29/08/2018	MRVEA2	10.000,000000	57,348140	-	10.057,348140	Padrão - SND	Reg.	
28/08/2018	MRVEA2	10.000,000000	54,321640	-	10.054,321640	Padrão - SND	Reg.	
27/08/2018	MRVEA2	10.000,000000	51,296030	-	10.051,296030	Padrão - SND	Reg.	
24/08/2018	MRVEA2	10.000,000000	48,271340	-	10.048,271340	Padrão - SND	Reg.	
23/08/2018	MRVEA2	10.000,000000	45,247540	-	10.045,247540	Padrão - SND	Reg.	
22/08/2018	MRVEA2	10.000,000000	42,224660	-	10.042,224660	Padrão - SND	Reg.	
21/08/2018	MRVEA2	10.000,000000	39,202770	-	10.039,202770	Padrão - SND	Reg.	
20/08/2018	MRVEA2	10.000,000000	36,181680	-	10.036,181680	Padrão - SND	Reg.	
17/08/2018	MRVEA2	10.000,000000	33,161610	-	10.033,161610	Padrão - SND	Reg.	
16/08/2018	MRVEA2	10.000,000000	30,142330	-	10.030,142330	Padrão - SND	Reg.	
15/08/2018	MRVEA2	10.000,000000	27,124060	-	10.027,124060	Padrão - SND	Reg.	
14/08/2018	MRVEA2	10.000,000000	24,106590	-	10.024,106590	Padrão - SND	Reg.	
13/08/2018	MRVEA2	10.000,000000	21,090110	-	10.021,090110	Padrão - SND	Reg.	
10/08/2018	MRVEA2	10.000,000000	18,074550	-	10.018,074550	Padrão - SND	Reg.	
09/08/2018	MRVEA2	10.000,000000	15,059780	-	10.015,059780	Padrão - SND	Reg.	
08/08/2018	MRVEA2	10.000,000000	12,046020	-	10.012,046020	Padrão - SND	Reg.	
07/08/2018	MRVEA2	10.000,000000	9,033160	-	10.009,033160	Padrão - SND	Reg.	
06/08/2018	MRVEA2	10.000,000000	6,021210	-	10.006,021210	Padrão - SND	Reg.	
03/08/2018	MRVEA2	10.000,000000	3,010160	-	10.003,010160	Padrão - SND	Reg.	
02/08/2018	MRVEA2	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
01/08/2018	MRVEA2	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
