PU Histórico - Gerado em 07/10/2018 01:12:12

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	MRVEC1	10.407,408600	36,193397	-	10.443,601997	Padrão - SND	Reg.	
04/10/2018	MRVEC1	10.407,901200	33,605583	-	10.441,506783	Padrão - SND	Reg.	
03/10/2018	MRVEC1	10.408,393900	31,018159	-	10.439,412059	Padrão - SND	Reg.	
02/10/2018	MRVEC1	10.408,886700	28,431125	-	10.437,317825	Padrão - SND	Reg.	
01/10/2018	MRVEC1	10.409,379400	25,844501	-	10.435,223901	Padrão - SND	Reg.	
28/09/2018	MRVEC1	10.409,872200	23,258267	-	10.433,130467	Padrão - SND	Reg.	
27/09/2018	MRVEC1	10.410,364900	20,672424	-	10.431,037324	Padrão - SND	Reg.	
26/09/2018	MRVEC1	10.410,857800	18,086981	-	10.428,944781	Padrão - SND	Reg.	
25/09/2018	MRVEC1	10.411,350600	15,501939	-	10.426,852539	Padrão - SND	Reg.	
24/09/2018	MRVEC1	10.411,843400	12,917297	-	10.424,760697	Padrão - SND	Reg.	
21/09/2018	MRVEC1	10.412,336300	10,333046	-	10.422,669346	Padrão - SND	Reg.	
20/09/2018	MRVEC1	10.412,829200	7,749186	-	10.420,578386	Padrão - SND	Reg.	
19/09/2018	MRVEC1	10.413,322100	5,165726	-	10.418,487826	Padrão - SND	Reg.	
18/09/2018	MRVEC1	10.413,815100	2,582668	-	10.416,397768	Padrão - SND	Reg.	
17/09/2018	MRVEC1	10.414,308200	-  	-	10.414,308200	Padrão - SND	Reg.	
14/09/2018	MRVEC1	10.414,734000	646,858931	-	11.061,592931	Padrão - SND	Reg.	
13/09/2018	MRVEC1	10.415,159800	644,142618	-	11.059,302418	Padrão - SND	Reg.	
12/09/2018	MRVEC1	10.415,585600	641,426778	-	11.057,012378	Padrão - SND	Reg.	
11/09/2018	MRVEC1	10.416,011400	638,711381	-	11.054,722781	Padrão - SND	Reg.	
10/09/2018	MRVEC1	10.416,437200	635,996448	-	11.052,433648	Padrão - SND	Reg.	
06/09/2018	MRVEC1	10.448,689700	635,216837	-	11.083,906537	Padrão - SND	Reg.	
05/09/2018	MRVEC1	10.447,124800	632,373940	-	11.079,498740	Padrão - SND	Reg.	
04/09/2018	MRVEC1	10.445,560100	629,532557	-	11.075,092657	Padrão - SND	Reg.	
03/09/2018	MRVEC1	10.443,995600	626,692698	-	11.070,688298	Padrão - SND	Reg.	
31/08/2018	MRVEC1	10.442,431500	623,854364	-	11.066,285864	Padrão - SND	Reg.	
