PU Histórico - Gerado em 07/10/2018 01:12:34

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	MULP16	10.000,000000	229,317100	-	10.229,317100	Padrão - SND	Reg.	
04/10/2018	MULP16	10.000,000000	226,616700	-	10.226,616700	Padrão - SND	Reg.	
03/10/2018	MULP16	10.000,000000	223,917100	-	10.223,917100	Padrão - SND	Reg.	
02/10/2018	MULP16	10.000,000000	221,218200	-	10.221,218200	Padrão - SND	Reg.	
01/10/2018	MULP16	10.000,000000	218,520000	-	10.218,520000	Padrão - SND	Reg.	
28/09/2018	MULP16	10.000,000000	215,826600	-	10.215,826600	Padrão - SND	Reg.	
27/09/2018	MULP16	10.000,000000	213,133900	-	10.213,133900	Padrão - SND	Reg.	
26/09/2018	MULP16	10.000,000000	210,441900	-	10.210,441900	Padrão - SND	Reg.	
25/09/2018	MULP16	10.000,000000	207,750600	-	10.207,750600	Padrão - SND	Reg.	
24/09/2018	MULP16	10.000,000000	205,060000	-	10.205,060000	Padrão - SND	Reg.	
21/09/2018	MULP16	10.000,000000	202,370100	-	10.202,370100	Padrão - SND	Reg.	
20/09/2018	MULP16	10.000,000000	199,680900	-	10.199,680900	Padrão - SND	Reg.	
19/09/2018	MULP16	10.000,000000	196,992500	-	10.196,992500	Padrão - SND	Reg.	
18/09/2018	MULP16	10.000,000000	194,304700	-	10.194,304700	Padrão - SND	Reg.	
17/09/2018	MULP16	10.000,000000	191,617700	-	10.191,617700	Padrão - SND	Reg.	
14/09/2018	MULP16	10.000,000000	188,931300	-	10.188,931300	Padrão - SND	Reg.	
13/09/2018	MULP16	10.000,000000	186,245700	-	10.186,245700	Padrão - SND	Reg.	
12/09/2018	MULP16	10.000,000000	183,560800	-	10.183,560800	Padrão - SND	Reg.	
11/09/2018	MULP16	10.000,000000	180,876500	-	10.180,876500	Padrão - SND	Reg.	
10/09/2018	MULP16	10.000,000000	178,193000	-	10.178,193000	Padrão - SND	Reg.	
06/09/2018	MULP16	10.000,000000	175,510200	-	10.175,510200	Padrão - SND	Reg.	
05/09/2018	MULP16	10.000,000000	172,828100	-	10.172,828100	Padrão - SND	Reg.	
04/09/2018	MULP16	10.000,000000	170,146800	-	10.170,146800	Padrão - SND	Reg.	
03/09/2018	MULP16	10.000,000000	167,466100	-	10.167,466100	Padrão - SND	Reg.	
31/08/2018	MULP16	10.000,000000	164,786100	-	10.164,786100	Padrão - SND	Reg.	
30/08/2018	MULP16	10.000,000000	162,106800	-	10.162,106800	Padrão - SND	Reg.	
29/08/2018	MULP16	10.000,000000	159,428300	-	10.159,428300	Padrão - SND	Reg.	
28/08/2018	MULP16	10.000,000000	156,750400	-	10.156,750400	Padrão - SND	Reg.	
27/08/2018	MULP16	10.000,000000	154,073300	-	10.154,073300	Padrão - SND	Reg.	
24/08/2018	MULP16	10.000,000000	151,396800	-	10.151,396800	Padrão - SND	Reg.	
23/08/2018	MULP16	10.000,000000	148,721100	-	10.148,721100	Padrão - SND	Reg.	
22/08/2018	MULP16	10.000,000000	146,046100	-	10.146,046100	Padrão - SND	Reg.	
21/08/2018	MULP16	10.000,000000	143,371700	-	10.143,371700	Padrão - SND	Reg.	
20/08/2018	MULP16	10.000,000000	140,698100	-	10.140,698100	Padrão - SND	Reg.	
17/08/2018	MULP16	10.000,000000	138,025200	-	10.138,025200	Padrão - SND	Reg.	
16/08/2018	MULP16	10.000,000000	135,353000	-	10.135,353000	Padrão - SND	Reg.	
15/08/2018	MULP16	10.000,000000	132,681500	-	10.132,681500	Padrão - SND	Reg.	
14/08/2018	MULP16	10.000,000000	130,010700	-	10.130,010700	Padrão - SND	Reg.	
13/08/2018	MULP16	10.000,000000	127,340600	-	10.127,340600	Padrão - SND	Reg.	
10/08/2018	MULP16	10.000,000000	124,671200	-	10.124,671200	Padrão - SND	Reg.	
09/08/2018	MULP16	10.000,000000	122,002500	-	10.122,002500	Padrão - SND	Reg.	
08/08/2018	MULP16	10.000,000000	119,334500	-	10.119,334500	Padrão - SND	Reg.	
07/08/2018	MULP16	10.000,000000	116,667200	-	10.116,667200	Padrão - SND	Reg.	
06/08/2018	MULP16	10.000,000000	114,000600	-	10.114,000600	Padrão - SND	Reg.	
03/08/2018	MULP16	10.000,000000	111,334700	-	10.111,334700	Padrão - SND	Reg.	
02/08/2018	MULP16	10.000,000000	108,669600	-	10.108,669600	Padrão - SND	Reg.	
