PU Histórico - Gerado em 07/10/2018 01:12:41

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	MVSA21	1.000,000000	60,328101	-	1.060,328101	Padrão - SND	Reg.	
04/10/2018	MVSA21	1.000,000000	60,025251	-	1.060,025251	Padrão - SND	Reg.	
03/10/2018	MVSA21	1.000,000000	59,722494	-	1.059,722494	Padrão - SND	Reg.	
02/10/2018	MVSA21	1.000,000000	59,419820	-	1.059,419820	Padrão - SND	Reg.	
01/10/2018	MVSA21	1.000,000000	59,117238	-	1.059,117238	Padrão - SND	Reg.	
28/09/2018	MVSA21	1.000,000000	58,815133	-	1.058,815133	Padrão - SND	Reg.	
27/09/2018	MVSA21	1.000,000000	58,513110	-	1.058,513110	Padrão - SND	Reg.	
26/09/2018	MVSA21	1.000,000000	58,211169	-	1.058,211169	Padrão - SND	Reg.	
25/09/2018	MVSA21	1.000,000000	57,909321	-	1.057,909321	Padrão - SND	Reg.	
24/09/2018	MVSA21	1.000,000000	57,607557	-	1.057,607557	Padrão - SND	Reg.	
21/09/2018	MVSA21	1.000,000000	57,305884	-	1.057,305884	Padrão - SND	Reg.	
20/09/2018	MVSA21	1.000,000000	57,004294	-	1.057,004294	Padrão - SND	Reg.	
19/09/2018	MVSA21	1.000,000000	56,702788	-	1.056,702788	Padrão - SND	Reg.	
18/09/2018	MVSA21	1.000,000000	56,401374	-	1.056,401374	Padrão - SND	Reg.	
17/09/2018	MVSA21	1.000,000000	56,100031	-	1.056,100031	Padrão - SND	Reg.	
14/09/2018	MVSA21	1.000,000000	55,798792	-	1.055,798792	Padrão - SND	Reg.	
13/09/2018	MVSA21	1.000,000000	55,497626	-	1.055,497626	Padrão - SND	Reg.	
12/09/2018	MVSA21	1.000,000000	55,196553	-	1.055,196553	Padrão - SND	Reg.	
11/09/2018	MVSA21	1.000,000000	54,895560	-	1.054,895560	Padrão - SND	Reg.	
10/09/2018	MVSA21	1.000,000000	54,594662	-	1.054,594662	Padrão - SND	Reg.	
06/09/2018	MVSA21	1.000,000000	54,293846	-	1.054,293846	Padrão - SND	Reg.	
05/09/2018	MVSA21	1.000,000000	53,993112	-	1.053,993112	Padrão - SND	Reg.	
04/09/2018	MVSA21	1.000,000000	53,692471	-	1.053,692471	Padrão - SND	Reg.	
03/09/2018	MVSA21	1.000,000000	53,391902	-	1.053,391902	Padrão - SND	Reg.	
31/08/2018	MVSA21	1.000,000000	53,091436	-	1.053,091436	Padrão - SND	Reg.	
30/08/2018	MVSA21	1.000,000000	52,791043	-	1.052,791043	Padrão - SND	Reg.	
29/08/2018	MVSA21	1.000,000000	52,490743	-	1.052,490743	Padrão - SND	Reg.	
28/08/2018	MVSA21	1.000,000000	52,190524	-	1.052,190524	Padrão - SND	Reg.	
