PU Histórico - Gerado em 07/10/2018 01:12:42

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	MVST12	1,000000	0,029655	-	1,029655	Padrão - SND	Reg.	
04/10/2018	MVST12	1,000000	0,029300	-	1,029300	Padrão - SND	Reg.	
03/10/2018	MVST12	1,000000	0,028946	-	1,028946	Padrão - SND	Reg.	
02/10/2018	MVST12	1,000000	0,028592	-	1,028592	Padrão - SND	Reg.	
01/10/2018	MVST12	1,000000	0,028238	-	1,028238	Padrão - SND	Reg.	
28/09/2018	MVST12	1,000000	0,027885	-	1,027885	Padrão - SND	Reg.	
27/09/2018	MVST12	1,000000	0,027531	-	1,027531	Padrão - SND	Reg.	
26/09/2018	MVST12	1,000000	0,027178	-	1,027178	Padrão - SND	Reg.	
25/09/2018	MVST12	1,000000	0,026825	-	1,026825	Padrão - SND	Reg.	
24/09/2018	MVST12	1,000000	0,026472	-	1,026472	Padrão - SND	Reg.	
21/09/2018	MVST12	1,000000	0,026119	-	1,026119	Padrão - SND	Reg.	
20/09/2018	MVST12	1,000000	0,025767	-	1,025767	Padrão - SND	Reg.	
19/09/2018	MVST12	1,000000	0,025414	-	1,025414	Padrão - SND	Reg.	
18/09/2018	MVST12	1,000000	0,025062	-	1,025062	Padrão - SND	Reg.	
17/09/2018	MVST12	1,000000	0,024709	-	1,024709	Padrão - SND	Reg.	
14/09/2018	MVST12	1,000000	0,024357	-	1,024357	Padrão - SND	Reg.	
13/09/2018	MVST12	1,000000	0,024005	-	1,024005	Padrão - SND	Reg.	
12/09/2018	MVST12	1,000000	0,023653	-	1,023653	Padrão - SND	Reg.	
11/09/2018	MVST12	1,000000	0,023301	-	1,023301	Padrão - SND	Reg.	
10/09/2018	MVST12	1,000000	0,022949	-	1,022949	Padrão - SND	Reg.	
06/09/2018	MVST12	1,000000	0,022598	-	1,022598	Padrão - SND	Reg.	
05/09/2018	MVST12	1,000000	0,022246	-	1,022246	Padrão - SND	Reg.	
04/09/2018	MVST12	1,000000	0,021895	-	1,021895	Padrão - SND	Reg.	
03/09/2018	MVST12	1,000000	0,021544	-	1,021544	Padrão - SND	Reg.	
31/08/2018	MVST12	1,000000	0,021192	-	1,021192	Padrão - SND	Reg.	
30/08/2018	MVST12	1,000000	0,020841	-	1,020841	Padrão - SND	Reg.	
29/08/2018	MVST12	1,000000	0,020490	-	1,020490	Padrão - SND	Reg.	
28/08/2018	MVST12	1,000000	0,020140	-	1,020140	Padrão - SND	Reg.	
27/08/2018	MVST12	1,000000	0,019789	-	1,019789	Padrão - SND	Reg.	
24/08/2018	MVST12	1,000000	0,019439	-	1,019439	Padrão - SND	Reg.	
23/08/2018	MVST12	1,000000	0,019088	-	1,019088	Padrão - SND	Reg.	
22/08/2018	MVST12	1,000000	0,018738	-	1,018738	Padrão - SND	Reg.	
21/08/2018	MVST12	1,000000	0,018388	-	1,018388	Padrão - SND	Reg.	
20/08/2018	MVST12	1,000000	0,018038	-	1,018038	Padrão - SND	Reg.	
17/08/2018	MVST12	1,000000	0,017688	-	1,017688	Padrão - SND	Reg.	
16/08/2018	MVST12	1,000000	0,017338	-	1,017338	Padrão - SND	Reg.	
15/08/2018	MVST12	1,000000	0,016988	-	1,016988	Padrão - SND	Reg.	
14/08/2018	MVST12	1,000000	0,016639	-	1,016639	Padrão - SND	Reg.	
13/08/2018	MVST12	1,000000	0,016289	-	1,016289	Padrão - SND	Reg.	
10/08/2018	MVST12	1,000000	0,015940	-	1,015940	Padrão - SND	Reg.	
09/08/2018	MVST12	1,000000	0,015591	-	1,015591	Padrão - SND	Reg.	
08/08/2018	MVST12	1,000000	0,015242	-	1,015242	Padrão - SND	Reg.	
07/08/2018	MVST12	1,000000	0,014893	-	1,014893	Padrão - SND	Reg.	
06/08/2018	MVST12	1,000000	0,014544	-	1,014544	Padrão - SND	Reg.	
03/08/2018	MVST12	1,000000	0,014195	-	1,014195	Padrão - SND	Reg.	
02/08/2018	MVST12	1,000000	0,013846	-	1,013846	Padrão - SND	Reg.	
01/08/2018	MVST12	1,000000	0,013498	-	1,013498	Padrão - SND	Reg.	
31/07/2018	MVST12	1,000000	0,013150	-	1,013150	Padrão - SND	Reg.	
30/07/2018	MVST12	1,000000	0,012801	-	1,012801	Padrão - SND	Reg.	
27/07/2018	MVST12	1,000000	0,012453	-	1,012453	Padrão - SND	Reg.	
26/07/2018	MVST12	1,000000	0,012105	-	1,012105	Padrão - SND	Reg.	
25/07/2018	MVST12	1,000000	0,011757	-	1,011757	Padrão - SND	Reg.	
24/07/2018	MVST12	1,000000	0,011410	-	1,011410	Padrão - SND	Reg.	
23/07/2018	MVST12	1,000000	0,011062	-	1,011062	Padrão - SND	Reg.	
20/07/2018	MVST12	1,000000	0,010714	-	1,010714	Padrão - SND	Reg.	
19/07/2018	MVST12	1,000000	0,010367	-	1,010367	Padrão - SND	Reg.	
