PU Histórico - Gerado em 07/10/2018 01:12:49

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	NATU18	2.857,142857	3,869800	-	2.861,012657	Padrão - SND	Reg.	
04/10/2018	NATU18	2.857,142857	3,095171	-	2.860,238029	Padrão - SND	Reg.	
03/10/2018	NATU18	2.857,142857	2,320771	-	2.859,463629	Padrão - SND	Reg.	
02/10/2018	NATU18	2.857,142857	1,546600	-	2.858,689457	Padrão - SND	Reg.	
01/10/2018	NATU18	2.857,142857	0,772600	-	2.857,915457	Padrão - SND	Reg.	
28/09/2018	NATU18	2.857,142857	-  	-	2.857,142857	Padrão - SND	Reg.	
27/09/2018	NATU18	10.000,000000	84,168900	-	10.084,168900	Padrão - SND	Reg.	
26/09/2018	NATU18	10.000,000000	81,442800	-	10.081,442800	Padrão - SND	Reg.	
25/09/2018	NATU18	10.000,000000	78,717400	-	10.078,717400	Padrão - SND	Reg.	
24/09/2018	NATU18	10.000,000000	75,992700	-	10.075,992700	Padrão - SND	Reg.	
21/09/2018	NATU18	10.000,000000	73,268800	-	10.073,268800	Padrão - SND	Reg.	
20/09/2018	NATU18	10.000,000000	70,545500	-	10.070,545500	Padrão - SND	Reg.	
19/09/2018	NATU18	10.000,000000	67,823100	-	10.067,823100	Padrão - SND	Reg.	
18/09/2018	NATU18	10.000,000000	65,101300	-	10.065,101300	Padrão - SND	Reg.	
17/09/2018	NATU18	10.000,000000	62,380300	-	10.062,380300	Padrão - SND	Reg.	
14/09/2018	NATU18	10.000,000000	59,660100	-	10.059,660100	Padrão - SND	Reg.	
13/09/2018	NATU18	10.000,000000	56,940600	-	10.056,940600	Padrão - SND	Reg.	
12/09/2018	NATU18	10.000,000000	54,221800	-	10.054,221800	Padrão - SND	Reg.	
11/09/2018	NATU18	10.000,000000	51,503700	-	10.051,503700	Padrão - SND	Reg.	
10/09/2018	NATU18	10.000,000000	48,786400	-	10.048,786400	Padrão - SND	Reg.	
06/09/2018	NATU18	10.000,000000	46,069800	-	10.046,069800	Padrão - SND	Reg.	
05/09/2018	NATU18	10.000,000000	43,353900	-	10.043,353900	Padrão - SND	Reg.	
04/09/2018	NATU18	10.000,000000	40,638800	-	10.040,638800	Padrão - SND	Reg.	
03/09/2018	NATU18	10.000,000000	37,924400	-	10.037,924400	Padrão - SND	Reg.	
31/08/2018	NATU18	10.000,000000	35,210800	-	10.035,210800	Padrão - SND	Reg.	
30/08/2018	NATU18	10.000,000000	32,497900	-	10.032,497900	Padrão - SND	Reg.	
29/08/2018	NATU18	10.000,000000	29,785700	-	10.029,785700	Padrão - SND	Reg.	
28/08/2018	NATU18	10.000,000000	27,074200	-	10.027,074200	Padrão - SND	Reg.	
27/08/2018	NATU18	10.000,000000	24,363500	-	10.024,363500	Padrão - SND	Reg.	
24/08/2018	NATU18	10.000,000000	21,653500	-	10.021,653500	Padrão - SND	Reg.	
23/08/2018	NATU18	10.000,000000	18,944300	-	10.018,944300	Padrão - SND	Reg.	
22/08/2018	NATU18	10.000,000000	16,235800	-	10.016,235800	Padrão - SND	Reg.	
21/08/2018	NATU18	10.000,000000	13,528000	-	10.013,528000	Padrão - SND	Reg.	
20/08/2018	NATU18	10.000,000000	10,820900	-	10.010,820900	Padrão - SND	Reg.	
17/08/2018	NATU18	10.000,000000	8,114600	-	10.008,114600	Padrão - SND	Reg.	
16/08/2018	NATU18	10.000,000000	5,409000	-	10.005,409000	Padrão - SND	Reg.	
15/08/2018	NATU18	10.000,000000	2,704100	-	10.002,704100	Padrão - SND	Reg.	
14/08/2018	NATU18	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
13/08/2018	NATU18	10.000,000000	340,698000	-	10.340,698000	Padrão - SND	Reg.	
10/08/2018	NATU18	10.000,000000	337,902500	-	10.337,902500	Padrão - SND	Reg.	
09/08/2018	NATU18	10.000,000000	335,107800	-	10.335,107800	Padrão - SND	Reg.	
08/08/2018	NATU18	10.000,000000	332,313800	-	10.332,313800	Padrão - SND	Reg.	
07/08/2018	NATU18	10.000,000000	329,520600	-	10.329,520600	Padrão - SND	Reg.	
06/08/2018	NATU18	10.000,000000	326,728100	-	10.326,728100	Padrão - SND	Reg.	
03/08/2018	NATU18	10.000,000000	323,936400	-	10.323,936400	Padrão - SND	Reg.	
02/08/2018	NATU18	10.000,000000	321,145400	-	10.321,145400	Padrão - SND	Reg.	
01/08/2018	NATU18	10.000,000000	318,355200	-	10.318,355200	Padrão - SND	Reg.	
31/07/2018	NATU18	10.000,000000	315,565700	-	10.315,565700	Padrão - SND	Reg.	
30/07/2018	NATU18	10.000,000000	312,777000	-	10.312,777000	Padrão - SND	Reg.	
27/07/2018	NATU18	10.000,000000	309,989000	-	10.309,989000	Padrão - SND	Reg.	
26/07/2018	NATU18	10.000,000000	307,201800	-	10.307,201800	Padrão - SND	Reg.	
25/07/2018	NATU18	10.000,000000	304,415400	-	10.304,415400	Padrão - SND	Reg.	
