PU Histórico - Gerado em 07/10/2018 01:13:01

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	NCFP13	10.000,000000	564,317700	-	10.564,317700	Padrão - SND	Reg.	
04/10/2018	NCFP13	10.000,000000	561,405500	-	10.561,405500	Padrão - SND	Reg.	
03/10/2018	NCFP13	10.000,000000	558,494100	-	10.558,494100	Padrão - SND	Reg.	
02/10/2018	NCFP13	10.000,000000	555,583400	-	10.555,583400	Padrão - SND	Reg.	
01/10/2018	NCFP13	10.000,000000	552,673600	-	10.552,673600	Padrão - SND	Reg.	
28/09/2018	NCFP13	10.000,000000	549,768900	-	10.549,768900	Padrão - SND	Reg.	
27/09/2018	NCFP13	10.000,000000	546,865100	-	10.546,865100	Padrão - SND	Reg.	
26/09/2018	NCFP13	10.000,000000	543,962000	-	10.543,962000	Padrão - SND	Reg.	
25/09/2018	NCFP13	10.000,000000	541,059700	-	10.541,059700	Padrão - SND	Reg.	
24/09/2018	NCFP13	10.000,000000	538,158300	-	10.538,158300	Padrão - SND	Reg.	
21/09/2018	NCFP13	10.000,000000	535,257600	-	10.535,257600	Padrão - SND	Reg.	
20/09/2018	NCFP13	10.000,000000	532,357700	-	10.532,357700	Padrão - SND	Reg.	
19/09/2018	NCFP13	10.000,000000	529,458600	-	10.529,458600	Padrão - SND	Reg.	
18/09/2018	NCFP13	10.000,000000	526,560400	-	10.526,560400	Padrão - SND	Reg.	
17/09/2018	NCFP13	10.000,000000	523,662900	-	10.523,662900	Padrão - SND	Reg.	
14/09/2018	NCFP13	10.000,000000	520,766200	-	10.520,766200	Padrão - SND	Reg.	
13/09/2018	NCFP13	10.000,000000	517,870300	-	10.517,870300	Padrão - SND	Reg.	
12/09/2018	NCFP13	10.000,000000	514,975300	-	10.514,975300	Padrão - SND	Reg.	
11/09/2018	NCFP13	10.000,000000	512,081000	-	10.512,081000	Padrão - SND	Reg.	
10/09/2018	NCFP13	10.000,000000	509,187500	-	10.509,187500	Padrão - SND	Reg.	
06/09/2018	NCFP13	10.000,000000	506,294800	-	10.506,294800	Padrão - SND	Reg.	
05/09/2018	NCFP13	10.000,000000	503,402900	-	10.503,402900	Padrão - SND	Reg.	
04/09/2018	NCFP13	10.000,000000	500,511800	-	10.500,511800	Padrão - SND	Reg.	
03/09/2018	NCFP13	10.000,000000	497,621500	-	10.497,621500	Padrão - SND	Reg.	
31/08/2018	NCFP13	10.000,000000	494,732000	-	10.494,732000	Padrão - SND	Reg.	
30/08/2018	NCFP13	10.000,000000	491,843300	-	10.491,843300	Padrão - SND	Reg.	
29/08/2018	NCFP13	10.000,000000	488,955300	-	10.488,955300	Padrão - SND	Reg.	
28/08/2018	NCFP13	10.000,000000	486,068200	-	10.486,068200	Padrão - SND	Reg.	
27/08/2018	NCFP13	10.000,000000	483,181900	-	10.483,181900	Padrão - SND	Reg.	
24/08/2018	NCFP13	10.000,000000	480,296300	-	10.480,296300	Padrão - SND	Reg.	
23/08/2018	NCFP13	10.000,000000	477,411600	-	10.477,411600	Padrão - SND	Reg.	
22/08/2018	NCFP13	10.000,000000	474,527700	-	10.474,527700	Padrão - SND	Reg.	
21/08/2018	NCFP13	10.000,000000	471,644500	-	10.471,644500	Padrão - SND	Reg.	
20/08/2018	NCFP13	10.000,000000	468,762100	-	10.468,762100	Padrão - SND	Reg.	
17/08/2018	NCFP13	10.000,000000	465,880600	-	10.465,880600	Padrão - SND	Reg.	
16/08/2018	NCFP13	10.000,000000	462,999800	-	10.462,999800	Padrão - SND	Reg.	
15/08/2018	NCFP13	10.000,000000	460,119800	-	10.460,119800	Padrão - SND	Reg.	
14/08/2018	NCFP13	10.000,000000	457,240600	-	10.457,240600	Padrão - SND	Reg.	
13/08/2018	NCFP13	10.000,000000	454,362200	-	10.454,362200	Padrão - SND	Reg.	
10/08/2018	NCFP13	10.000,000000	451,484600	-	10.451,484600	Padrão - SND	Reg.	
09/08/2018	NCFP13	10.000,000000	448,607800	-	10.448,607800	Padrão - SND	Reg.	
08/08/2018	NCFP13	10.000,000000	445,731800	-	10.445,731800	Padrão - SND	Reg.	
07/08/2018	NCFP13	10.000,000000	442,856600	-	10.442,856600	Padrão - SND	Reg.	
06/08/2018	NCFP13	10.000,000000	439,982100	-	10.439,982100	Padrão - SND	Reg.	
03/08/2018	NCFP13	10.000,000000	437,108500	-	10.437,108500	Padrão - SND	Reg.	
02/08/2018	NCFP13	10.000,000000	434,235600	-	10.434,235600	Padrão - SND	Reg.	
01/08/2018	NCFP13	10.000,000000	431,363600	-	10.431,363600	Padrão - SND	Reg.	
31/07/2018	NCFP13	10.000,000000	428,492300	-	10.428,492300	Padrão - SND	Reg.	
30/07/2018	NCFP13	10.000,000000	425,621800	-	10.425,621800	Padrão - SND	Reg.	
27/07/2018	NCFP13	10.000,000000	422,752100	-	10.422,752100	Padrão - SND	Reg.	
26/07/2018	NCFP13	10.000,000000	419,883200	-	10.419,883200	Padrão - SND	Reg.	
25/07/2018	NCFP13	10.000,000000	417,015100	-	10.417,015100	Padrão - SND	Reg.	
24/07/2018	NCFP13	10.000,000000	414,147800	-	10.414,147800	Padrão - SND	Reg.	
23/07/2018	NCFP13	10.000,000000	411,281300	-	10.411,281300	Padrão - SND	Reg.	
20/07/2018	NCFP13	10.000,000000	408,415500	-	10.408,415500	Padrão - SND	Reg.	
19/07/2018	NCFP13	10.000,000000	405,550600	-	10.405,550600	Padrão - SND	Reg.	
18/07/2018	NCFP13	10.000,000000	402,686400	-	10.402,686400	Padrão - SND	Reg.	
17/07/2018	NCFP13	10.000,000000	399,823000	-	10.399,823000	Padrão - SND	Reg.	
16/07/2018	NCFP13	10.000,000000	396,960400	-	10.396,960400	Padrão - SND	Reg.	
13/07/2018	NCFP13	10.000,000000	394,098600	-	10.394,098600	Padrão - SND	Reg.	
12/07/2018	NCFP13	10.000,000000	391,237600	-	10.391,237600	Padrão - SND	Reg.	
11/07/2018	NCFP13	10.000,000000	388,377400	-	10.388,377400	Padrão - SND	Reg.	
10/07/2018	NCFP13	10.000,000000	385,517900	-	10.385,517900	Padrão - SND	Reg.	
09/07/2018	NCFP13	10.000,000000	382,659300	-	10.382,659300	Padrão - SND	Reg.	
06/07/2018	NCFP13	10.000,000000	379,801400	-	10.379,801400	Padrão - SND	Reg.	
05/07/2018	NCFP13	10.000,000000	376,944300	-	10.376,944300	Padrão - SND	Reg.	
04/07/2018	NCFP13	10.000,000000	374,088000	-	10.374,088000	Padrão - SND	Reg.	
03/07/2018	NCFP13	10.000,000000	371,232500	-	10.371,232500	Padrão - SND	Reg.	
02/07/2018	NCFP13	10.000,000000	368,377800	-	10.368,377800	Padrão - SND	Reg.	
29/06/2018	NCFP13	10.000,000000	365,523900	-	10.365,523900	Padrão - SND	Reg.	
28/06/2018	NCFP13	10.000,000000	362,670700	-	10.362,670700	Padrão - SND	Reg.	
27/06/2018	NCFP13	10.000,000000	359,818400	-	10.359,818400	Padrão - SND	Reg.	
26/06/2018	NCFP13	10.000,000000	356,966800	-	10.356,966800	Padrão - SND	Reg.	
25/06/2018	NCFP13	10.000,000000	354,116000	-	10.354,116000	Padrão - SND	Reg.	
22/06/2018	NCFP13	10.000,000000	351,266000	-	10.351,266000	Padrão - SND	Reg.	
21/06/2018	NCFP13	10.000,000000	348,416700	-	10.348,416700	Padrão - SND	Reg.	
20/06/2018	NCFP13	10.000,000000	345,568300	-	10.345,568300	Padrão - SND	Reg.	
19/06/2018	NCFP13	10.000,000000	342,720700	-	10.342,720700	Padrão - SND	Reg.	
18/06/2018	NCFP13	10.000,000000	339,873800	-	10.339,873800	Padrão - SND	Reg.	
15/06/2018	NCFP13	10.000,000000	337,027700	-	10.337,027700	Padrão - SND	Reg.	
14/06/2018	NCFP13	10.000,000000	334,182400	-	10.334,182400	Padrão - SND	Reg.	
13/06/2018	NCFP13	10.000,000000	331,337900	-	10.331,337900	Padrão - SND	Reg.	
12/06/2018	NCFP13	10.000,000000	328,494100	-	10.328,494100	Padrão - SND	Reg.	
11/06/2018	NCFP13	10.000,000000	325,651200	-	10.325,651200	Padrão - SND	Reg.	
