PU Histórico - Gerado em 07/10/2018 01:13:06

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	NRTB21	1.583,095434	6,085435	-	1.589,180869	Padrão - SND	Reg.	
04/10/2018	NRTB21	1.583,170365	5,650254	-	1.588,820619	Padrão - SND	Reg.	
03/10/2018	NRTB21	1.583,245310	5,215150	-	1.588,460460	Padrão - SND	Reg.	
02/10/2018	NRTB21	1.583,320272	4,780126	-	1.588,100398	Padrão - SND	Reg.	
01/10/2018	NRTB21	1.583,395218	4,345178	-	1.587,740397	Padrão - SND	Reg.	
28/09/2018	NRTB21	1.583,470180	3,910310	-	1.587,380490	Padrão - SND	Reg.	
27/09/2018	NRTB21	1.583,545126	3,475519	-	1.587,020645	Padrão - SND	Reg.	
26/09/2018	NRTB21	1.583,620103	3,040807	-	1.586,660910	Padrão - SND	Reg.	
25/09/2018	NRTB21	1.583,695065	2,606171	-	1.586,301236	Padrão - SND	Reg.	
24/09/2018	NRTB21	1.583,770027	2,171615	-	1.585,941642	Padrão - SND	Reg.	
21/09/2018	NRTB21	1.583,845004	1,737136	-	1.585,582140	Padrão - SND	Reg.	
20/09/2018	NRTB21	1.583,919982	1,302735	-	1.585,222716	Padrão - SND	Reg.	
19/09/2018	NRTB21	1.583,994959	0,868413	-	1.584,863372	Padrão - SND	Reg.	
18/09/2018	NRTB21	1.584,069953	0,434167	-	1.584,504120	Padrão - SND	Reg.	
17/09/2018	NRTB21	1.584,144946	-  	-	1.584,144946	Padrão - SND	Reg.	
14/09/2018	NRTB21	1.594,573973	56,474317	-	1.651,048289	Padrão - SND	Reg.	
13/09/2018	NRTB21	1.594,639172	56,024206	-	1.650,663378	Padrão - SND	Reg.	
12/09/2018	NRTB21	1.594,704357	55,574182	-	1.650,278539	Padrão - SND	Reg.	
11/09/2018	NRTB21	1.594,769556	55,124246	-	1.649,893803	Padrão - SND	Reg.	
10/09/2018	NRTB21	1.594,834756	54,674396	-	1.649,509152	Padrão - SND	Reg.	
06/09/2018	NRTB21	1.599,772859	54,390306	-	1.654,163165	Padrão - SND	Reg.	
05/09/2018	NRTB21	1.599,533257	53,928974	-	1.653,462231	Padrão - SND	Reg.	
04/09/2018	NRTB21	1.599,293687	53,467903	-	1.652,761590	Padrão - SND	Reg.	
03/09/2018	NRTB21	1.599,054148	53,007092	-	1.652,061241	Padrão - SND	Reg.	
31/08/2018	NRTB21	1.598,814672	52,546542	-	1.651,361214	Padrão - SND	Reg.	
30/08/2018	NRTB21	1.598,575211	52,086255	-	1.650,661465	Padrão - SND	Reg.	
29/08/2018	NRTB21	1.598,335781	51,626225	-	1.649,962006	Padrão - SND	Reg.	
28/08/2018	NRTB21	1.598,096414	51,166459	-	1.649,262873	Padrão - SND	Reg.	
27/08/2018	NRTB21	1.597,857046	50,706952	-	1.648,563998	Padrão - SND	Reg.	
24/08/2018	NRTB21	1.597,617741	50,247704	-	1.647,865446	Padrão - SND	Reg.	
23/08/2018	NRTB21	1.597,378467	49,788718	-	1.647,167186	Padrão - SND	Reg.	
22/08/2018	NRTB21	1.597,139225	49,329991	-	1.646,469216	Padrão - SND	Reg.	
21/08/2018	NRTB21	1.596,900013	48,871523	-	1.645,771537	Padrão - SND	Reg.	
20/08/2018	NRTB21	1.596,660849	48,413318	-	1.645,074167	Padrão - SND	Reg.	
17/08/2018	NRTB21	1.596,421715	47,955370	-	1.644,377085	Padrão - SND	Reg.	
16/08/2018	NRTB21	1.596,182629	47,497683	-	1.643,680312	Padrão - SND	Reg.	
15/08/2018	NRTB21	1.595,943558	47,040254	-	1.642,983812	Padrão - SND	Reg.	
14/08/2018	NRTB21	1.595,704534	46,583085	-	1.642,287618	Padrão - SND	Reg.	
13/08/2018	NRTB21	1.595,465540	46,126176	-	1.641,591716	Padrão - SND	Reg.	
10/08/2018	NRTB21	1.595,226594	45,669525	-	1.640,896119	Padrão - SND	Reg.	
09/08/2018	NRTB21	1.594,987664	45,213133	-	1.640,200796	Padrão - SND	Reg.	
08/08/2018	NRTB21	1.606,158911	45,077229	-	1.651,236140	Padrão - SND	Reg.	
07/08/2018	NRTB21	1.605,245022	44,599384	-	1.649,844407	Padrão - SND	Reg.	
06/08/2018	NRTB21	1.604,331633	44,122194	-	1.648,453827	Padrão - SND	Reg.	
03/08/2018	NRTB21	1.603,418789	43,645656	-	1.647,064445	Padrão - SND	Reg.	
02/08/2018	NRTB21	1.602,506460	43,169769	-	1.645,676230	Padrão - SND	Reg.	
01/08/2018	NRTB21	1.601,594646	42,694533	-	1.644,289180	Padrão - SND	Reg.	
31/07/2018	NRTB21	1.600,683331	42,219948	-	1.642,903280	Padrão - SND	Reg.	
30/07/2018	NRTB21	1.599,772578	41,746013	-	1.641,518591	Padrão - SND	Reg.	
27/07/2018	NRTB21	1.598,862308	41,272726	-	1.640,135034	Padrão - SND	Reg.	
26/07/2018	NRTB21	1.597,952569	40,800087	-	1.638,752655	Padrão - SND	Reg.	
25/07/2018	NRTB21	1.597,043344	40,328096	-	1.637,371440	Padrão - SND	Reg.	
24/07/2018	NRTB21	1.596,134634	39,856752	-	1.635,991386	Padrão - SND	Reg.	
23/07/2018	NRTB21	1.595,226454	39,386053	-	1.634,612507	Padrão - SND	Reg.	
20/07/2018	NRTB21	1.594,318773	38,916001	-	1.633,234774	Padrão - SND	Reg.	
19/07/2018	NRTB21	1.593,411607	38,446592	-	1.631,858199	Padrão - SND	Reg.	
18/07/2018	NRTB21	1.592,504956	37,977829	-	1.630,482785	Padrão - SND	Reg.	
17/07/2018	NRTB21	1.591,598835	37,509708	-	1.629,108543	Padrão - SND	Reg.	
16/07/2018	NRTB21	1.590,693245	37,042230	-	1.627,735475	Padrão - SND	Reg.	
13/07/2018	NRTB21	1.589,745056	36,574403	-	1.626,319459	Padrão - SND	Reg.	
12/07/2018	NRTB21	1.588,797429	36,107242	-	1.624,904671	Padrão - SND	Reg.	
11/07/2018	NRTB21	1.587,850379	35,640747	-	1.623,491126	Padrão - SND	Reg.	
10/07/2018	NRTB21	1.586,903906	35,174918	-	1.622,078825	Padrão - SND	Reg.	
09/07/2018	NRTB21	1.585,957979	34,709753	-	1.620,667732	Padrão - SND	Reg.	
06/07/2018	NRTB21	1.575,386008	34,037262	-	1.609,423270	Padrão - SND	Reg.	
05/07/2018	NRTB21	1.575,086510	33,589879	-	1.608,676389	Padrão - SND	Reg.	
04/07/2018	NRTB21	1.574,787075	33,142788	-	1.607,929863	Padrão - SND	Reg.	
03/07/2018	NRTB21	1.574,487717	32,695985	-	1.607,183703	Padrão - SND	Reg.	
02/07/2018	NRTB21	1.574,188391	32,249472	-	1.606,437863	Padrão - SND	Reg.	
29/06/2018	NRTB21	1.573,889143	31,803247	-	1.605,692390	Padrão - SND	Reg.	
28/06/2018	NRTB21	1.573,589926	31,357312	-	1.604,947238	Padrão - SND	Reg.	
27/06/2018	NRTB21	1.573,290787	30,911665	-	1.604,202452	Padrão - SND	Reg.	
26/06/2018	NRTB21	1.572,991695	30,466307	-	1.603,458002	Padrão - SND	Reg.	
25/06/2018	NRTB21	1.572,692665	30,021239	-	1.602,713904	Padrão - SND	Reg.	
22/06/2018	NRTB21	1.572,393697	29,576458	-	1.601,970156	Padrão - SND	Reg.	
21/06/2018	NRTB21	1.572,094777	29,131966	-	1.601,226743	Padrão - SND	Reg.	
20/06/2018	NRTB21	1.571,795919	28,687762	-	1.600,483681	Padrão - SND	Reg.	
19/06/2018	NRTB21	1.571,497123	28,243847	-	1.599,740969	Padrão - SND	Reg.	
18/06/2018	NRTB21	1.571,198358	27,800218	-	1.598,998576	Padrão - SND	Reg.	
15/06/2018	NRTB21	1.570,899687	27,356879	-	1.598,256566	Padrão - SND	Reg.	
14/06/2018	NRTB21	1.570,614633	26,914059	-	1.597,528691	Padrão - SND	Reg.	
13/06/2018	NRTB21	1.570,329610	26,471517	-	1.596,801127	Padrão - SND	Reg.	
12/06/2018	NRTB21	1.570,044665	26,029257	-	1.596,073922	Padrão - SND	Reg.	
11/06/2018	NRTB21	1.569,759752	25,587275	-	1.595,347027	Padrão - SND	Reg.	
08/06/2018	NRTB21	1.567,298991	25,110711	-	1.592,409702	Padrão - SND	Reg.	
07/06/2018	NRTB21	1.567,142480	24,671914	-	1.591,814394	Padrão - SND	Reg.	
06/06/2018	NRTB21	1.566,985969	24,233324	-	1.591,219293	Padrão - SND	Reg.	
05/06/2018	NRTB21	1.566,829490	23,794940	-	1.590,624430	Padrão - SND	Reg.	
04/06/2018	NRTB21	1.566,673010	23,356763	-	1.590,029774	Padrão - SND	Reg.	
01/06/2018	NRTB21	1.566,516562	22,918792	-	1.589,435354	Padrão - SND	Reg.	
30/05/2018	NRTB21	1.566,360114	22,481028	-	1.588,841142	Padrão - SND	Reg.	
29/05/2018	NRTB21	1.566,203681	22,043471	-	1.588,247152	Padrão - SND	Reg.	
28/05/2018	NRTB21	1.566,047280	21,606122	-	1.587,653401	Padrão - SND	Reg.	
25/05/2018	NRTB21	1.565,890878	21,168977	-	1.587,059855	Padrão - SND	Reg.	
24/05/2018	NRTB21	1.565,734508	20,732038	-	1.586,466546	Padrão - SND	Reg.	
23/05/2018	NRTB21	1.565,578138	20,295306	-	1.585,873444	Padrão - SND	Reg.	
22/05/2018	NRTB21	1.565,421783	19,858781	-	1.585,280564	Padrão - SND	Reg.	
21/05/2018	NRTB21	1.565,265460	19,422460	-	1.584,687920	Padrão - SND	Reg.	
18/05/2018	NRTB21	1.565,109136	18,986347	-	1.584,095483	Padrão - SND	Reg.	
17/05/2018	NRTB21	1.564,952844	18,550439	-	1.583,503283	Padrão - SND	Reg.	
16/05/2018	NRTB21	1.564,796552	18,114737	-	1.582,911289	Padrão - SND	Reg.	
15/05/2018	NRTB21	1.564,640291	17,679240	-	1.582,319531	Padrão - SND	Reg.	
14/05/2018	NRTB21	1.564,468416	17,243777	-	1.581,712193	Padrão - SND	Reg.	
11/05/2018	NRTB21	1.564,296572	16,808529	-	1.581,105102	Padrão - SND	Reg.	
10/05/2018	NRTB21	1.562,400055	16,355440	-	1.578,755494	Padrão - SND	Reg.	
09/05/2018	NRTB21	1.562,329801	15,922133	-	1.578,251934	Padrão - SND	Reg.	
08/05/2018	NRTB21	1.562,259563	15,488982	-	1.577,748545	Padrão - SND	Reg.	
07/05/2018	NRTB21	1.562,189325	15,055989	-	1.577,245314	Padrão - SND	Reg.	
04/05/2018	NRTB21	1.562,119087	14,623153	-	1.576,742240	Padrão - SND	Reg.	
03/05/2018	NRTB21	1.562,048849	14,190475	-	1.576,239324	Padrão - SND	Reg.	
02/05/2018	NRTB21	1.561,978627	13,757953	-	1.575,736580	Padrão - SND	Reg.	
30/04/2018	NRTB21	1.561,908405	13,325590	-	1.575,233995	Padrão - SND	Reg.	
27/04/2018	NRTB21	1.561,838182	12,893383	-	1.574,731566	Padrão - SND	Reg.	
26/04/2018	NRTB21	1.561,767960	12,461332	-	1.574,229293	Padrão - SND	Reg.	
25/04/2018	NRTB21	1.561,697738	12,029441	-	1.573,727178	Padrão - SND	Reg.	
24/04/2018	NRTB21	1.561,627531	11,597705	-	1.573,225236	Padrão - SND	Reg.	
23/04/2018	NRTB21	1.561,557324	11,166126	-	1.572,723451	Padrão - SND	Reg.	
20/04/2018	NRTB21	1.561,487117	10,734704	-	1.572,221821	Padrão - SND	Reg.	
19/04/2018	NRTB21	1.561,416911	10,303439	-	1.571,720350	Padrão - SND	Reg.	
18/04/2018	NRTB21	1.561,346704	9,872331	-	1.571,219035	Padrão - SND	Reg.	
17/04/2018	NRTB21	1.561,276513	9,441379	-	1.570,717892	Padrão - SND	Reg.	
