PU Histórico - Gerado em 17/02/2019 12:19:03

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	OBAH11	1.000,000000	15,380406	-	1.015,380406	Padrão - SND	Reg.	
14/02/2019	OBAH11	1.000,000000	15,050706	-	1.015,050706	Padrão - SND	Reg.	
13/02/2019	OBAH11	1.000,000000	14,721123	-	1.014,721123	Padrão - SND	Reg.	
12/02/2019	OBAH11	1.000,000000	14,391646	-	1.014,391646	Padrão - SND	Reg.	
11/02/2019	OBAH11	1.000,000000	14,062274	-	1.014,062274	Padrão - SND	Reg.	
08/02/2019	OBAH11	1.000,000000	13,733007	-	1.013,733007	Padrão - SND	Reg.	
07/02/2019	OBAH11	1.000,000000	13,403847	-	1.013,403847	Padrão - SND	Reg.	
06/02/2019	OBAH11	1.000,000000	13,074802	-	1.013,074802	Padrão - SND	Reg.	
05/02/2019	OBAH11	1.000,000000	12,745853	-	1.012,745853	Padrão - SND	Reg.	
04/02/2019	OBAH11	1.000,000000	12,417019	-	1.012,417019	Padrão - SND	Reg.	
01/02/2019	OBAH11	1.000,000000	12,088291	-	1.012,088291	Padrão - SND	Reg.	
31/01/2019	OBAH11	1.000,000000	11,759659	-	1.011,759659	Padrão - SND	Reg.	
30/01/2019	OBAH11	1.000,000000	11,431142	-	1.011,431142	Padrão - SND	Reg.	
29/01/2019	OBAH11	1.000,000000	11,102731	-	1.011,102731	Padrão - SND	Reg.	
28/01/2019	OBAH11	1.000,000000	10,774435	-	1.010,774435	Padrão - SND	Reg.	
25/01/2019	OBAH11	1.000,000000	10,446235	-	1.010,446235	Padrão - SND	Reg.	
24/01/2019	OBAH11	1.000,000000	10,118141	-	1.010,118141	Padrão - SND	Reg.	
23/01/2019	OBAH11	1.000,000000	9,790161	-	1.009,790161	Padrão - SND	Reg.	
22/01/2019	OBAH11	1.000,000000	9,462278	-	1.009,462278	Padrão - SND	Reg.	
21/01/2019	OBAH11	1.000,000000	9,134509	-	1.009,134509	Padrão - SND	Reg.	
18/01/2019	OBAH11	1.000,000000	8,806846	-	1.008,806846	Padrão - SND	Reg.	
17/01/2019	OBAH11	1.000,000000	8,479289	-	1.008,479289	Padrão - SND	Reg.	
16/01/2019	OBAH11	1.000,000000	8,151836	-	1.008,151836	Padrão - SND	Reg.	
15/01/2019	OBAH11	1.000,000000	7,824490	-	1.007,824490	Padrão - SND	Reg.	
14/01/2019	OBAH11	1.000,000000	7,497249	-	1.007,497249	Padrão - SND	Reg.	
11/01/2019	OBAH11	1.000,000000	7,170112	-	1.007,170112	Padrão - SND	Reg.	
10/01/2019	OBAH11	1.000,000000	6,843091	-	1.006,843091	Padrão - SND	Reg.	
09/01/2019	OBAH11	1.000,000000	6,516166	-	1.006,516166	Padrão - SND	Reg.	
08/01/2019	OBAH11	1.000,000000	6,189355	-	1.006,189355	Padrão - SND	Reg.	
07/01/2019	OBAH11	1.000,000000	5,862650	-	1.005,862650	Padrão - SND	Reg.	
04/01/2019	OBAH11	1.000,000000	5,536040	-	1.005,536040	Padrão - SND	Reg.	
03/01/2019	OBAH11	1.000,000000	5,209545	-	1.005,209545	Padrão - SND	Reg.	
02/01/2019	OBAH11	1.000,000000	4,883156	-	1.004,883156	Padrão - SND	Reg.	
31/12/2018	OBAH11	1.000,000000	4,556871	-	1.004,556871	Padrão - SND	Reg.	
28/12/2018	OBAH11	1.000,000000	4,230692	-	1.004,230692	Padrão - SND	Reg.	
27/12/2018	OBAH11	1.000,000000	3,904618	-	1.003,904618	Padrão - SND	Reg.	
26/12/2018	OBAH11	1.000,000000	3,578659	-	1.003,578659	Padrão - SND	Reg.	
24/12/2018	OBAH11	1.000,000000	3,252795	-	1.003,252795	Padrão - SND	Reg.	
21/12/2018	OBAH11	1.000,000000	2,927036	-	1.002,927036	Padrão - SND	Reg.	
20/12/2018	OBAH11	1.000,000000	2,601392	-	1.002,601392	Padrão - SND	Reg.	
19/12/2018	OBAH11	1.000,000000	2,275843	-	1.002,275843	Padrão - SND	Reg.	
18/12/2018	OBAH11	1.000,000000	1,950409	-	1.001,950409	Padrão - SND	Reg.	
17/12/2018	OBAH11	1.000,000000	1,625080	-	1.001,625080	Padrão - SND	Reg.	
14/12/2018	OBAH11	1.000,000000	1,299847	-	1.001,299847	Padrão - SND	Reg.	
13/12/2018	OBAH11	1.000,000000	0,974727	-	1.000,974727	Padrão - SND	Reg.	
12/12/2018	OBAH11	1.000,000000	0,649713	-	1.000,649713	Padrão - SND	Reg.	
11/12/2018	OBAH11	1.000,000000	0,324804	-	1.000,324804	Padrão - SND	Reg.	
10/12/2018	OBAH11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
07/12/2018	OBAH11	1.000,000000	17,028218	-	1.017,028218	Padrão - SND	Reg.	
06/12/2018	OBAH11	1.000,000000	16,697991	-	1.016,697991	Padrão - SND	Reg.	
05/12/2018	OBAH11	1.000,000000	16,367868	-	1.016,367868	Padrão - SND	Reg.	
04/12/2018	OBAH11	1.000,000000	16,037852	-	1.016,037852	Padrão - SND	Reg.	
03/12/2018	OBAH11	1.000,000000	15,707951	-	1.015,707951	Padrão - SND	Reg.	
30/11/2018	OBAH11	1.000,000000	15,378147	-	1.015,378147	Padrão - SND	Reg.	
29/11/2018	OBAH11	1.000,000000	15,048458	-	1.015,048458	Padrão - SND	Reg.	
28/11/2018	OBAH11	1.000,000000	14,718875	-	1.014,718875	Padrão - SND	Reg.	
27/11/2018	OBAH11	1.000,000000	14,389398	-	1.014,389398	Padrão - SND	Reg.	
26/11/2018	OBAH11	1.000,000000	14,060026	-	1.014,060026	Padrão - SND	Reg.	
23/11/2018	OBAH11	1.000,000000	13,730760	-	1.013,730760	Padrão - SND	Reg.	
22/11/2018	OBAH11	1.000,000000	13,401600	-	1.013,401600	Padrão - SND	Reg.	
21/11/2018	OBAH11	1.000,000000	13,072555	-	1.013,072555	Padrão - SND	Reg.	
20/11/2018	OBAH11	1.000,000000	12,743606	-	1.012,743606	Padrão - SND	Reg.	
19/11/2018	OBAH11	1.000,000000	12,414773	-	1.012,414773	Padrão - SND	Reg.	
16/11/2018	OBAH11	1.000,000000	12,086045	-	1.012,086045	Padrão - SND	Reg.	
14/11/2018	OBAH11	1.000,000000	11,757413	-	1.011,757413	Padrão - SND	Reg.	
13/11/2018	OBAH11	1.000,000000	11,428896	-	1.011,428896	Padrão - SND	Reg.	
12/11/2018	OBAH11	1.000,000000	11,100495	-	1.011,100495	Padrão - SND	Reg.	
09/11/2018	OBAH11	1.000,000000	10,772190	-	1.010,772190	Padrão - SND	Reg.	
08/11/2018	OBAH11	1.000,000000	10,443989	-	1.010,443989	Padrão - SND	Reg.	
07/11/2018	OBAH11	1.000,000000	10,115905	-	1.010,115905	Padrão - SND	Reg.	
06/11/2018	OBAH11	1.000,000000	9,787916	-	1.009,787916	Padrão - SND	Reg.	
05/11/2018	OBAH11	1.000,000000	9,460042	-	1.009,460042	Padrão - SND	Reg.	
01/11/2018	OBAH11	1.000,000000	9,132274	-	1.009,132274	Padrão - SND	Reg.	
31/10/2018	OBAH11	1.000,000000	8,804611	-	1.008,804611	Padrão - SND	Reg.	
30/10/2018	OBAH11	1.000,000000	8,477045	-	1.008,477045	Padrão - SND	Reg.	
29/10/2018	OBAH11	1.000,000000	8,149602	-	1.008,149602	Padrão - SND	Reg.	
26/10/2018	OBAH11	1.000,000000	7,822256	-	1.007,822256	Padrão - SND	Reg.	
25/10/2018	OBAH11	1.000,000000	7,495014	-	1.007,495014	Padrão - SND	Reg.	
24/10/2018	OBAH11	1.000,000000	7,167878	-	1.007,167878	Padrão - SND	Reg.	
23/10/2018	OBAH11	1.000,000000	6,840857	-	1.006,840857	Padrão - SND	Reg.	
22/10/2018	OBAH11	1.000,000000	6,513932	-	1.006,513932	Padrão - SND	Reg.	
19/10/2018	OBAH11	1.000,000000	6,187122	-	1.006,187122	Padrão - SND	Reg.	
18/10/2018	OBAH11	1.000,000000	5,860417	-	1.005,860417	Padrão - SND	Reg.	
17/10/2018	OBAH11	1.000,000000	5,533807	-	1.005,533807	Padrão - SND	Reg.	
16/10/2018	OBAH11	1.000,000000	5,207312	-	1.005,207312	Padrão - SND	Reg.	
15/10/2018	OBAH11	1.000,000000	4,880923	-	1.004,880923	Padrão - SND	Reg.	
11/10/2018	OBAH11	1.000,000000	4,554639	-	1.004,554639	Padrão - SND	Reg.	
10/10/2018	OBAH11	1.000,000000	4,228470	-	1.004,228470	Padrão - SND	Reg.	
09/10/2018	OBAH11	1.000,000000	3,902396	-	1.003,902396	Padrão - SND	Reg.	
08/10/2018	OBAH11	1.000,000000	3,576427	-	1.003,576427	Padrão - SND	Reg.	
05/10/2018	OBAH11	1.000,000000	3,250563	-	1.003,250563	Padrão - SND	Reg.	
