PU Histórico - Gerado em 07/10/2018 01:14:10

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ODTR11	13.441,633100	871,092574	-	14.312,725674	Padrão - SND	Reg.	
04/10/2018	ODTR11	13.442,269300	867,450796	-	14.309,720096	Padrão - SND	Reg.	
03/10/2018	ODTR11	13.442,905700	863,809624	-	14.306,715324	Padrão - SND	Reg.	
02/10/2018	ODTR11	13.443,542200	860,169063	-	14.303,711263	Padrão - SND	Reg.	
01/10/2018	ODTR11	13.444,178500	856,529083	-	14.300,707583	Padrão - SND	Reg.	
28/09/2018	ODTR11	13.444,815000	852,889721	-	14.297,704721	Padrão - SND	Reg.	
27/09/2018	ODTR11	13.445,451300	849,250940	-	14.294,702240	Padrão - SND	Reg.	
26/09/2018	ODTR11	13.446,087900	845,612770	-	14.291,700670	Padrão - SND	Reg.	
25/09/2018	ODTR11	13.446,724400	841,975200	-	14.288,699600	Padrão - SND	Reg.	
24/09/2018	ODTR11	13.447,360900	838,338238	-	14.285,699138	Padrão - SND	Reg.	
21/09/2018	ODTR11	13.447,997500	834,701861	-	14.282,699361	Padrão - SND	Reg.	
20/09/2018	ODTR11	13.448,634100	831,066091	-	14.279,700191	Padrão - SND	Reg.	
19/09/2018	ODTR11	13.449,270700	827,430914	-	14.276,701614	Padrão - SND	Reg.	
18/09/2018	ODTR11	13.449,907500	823,796357	-	14.273,703857	Padrão - SND	Reg.	
17/09/2018	ODTR11	13.450,544200	820,162387	-	14.270,706587	Padrão - SND	Reg.	
14/09/2018	ODTR11	13.451,094200	816,523749	-	14.267,617949	Padrão - SND	Reg.	
13/09/2018	ODTR11	13.451,644100	812,885745	-	14.264,529845	Padrão - SND	Reg.	
12/09/2018	ODTR11	13.452,194100	809,248403	-	14.261,442503	Padrão - SND	Reg.	
11/09/2018	ODTR11	13.452,744000	805,611682	-	14.258,355682	Padrão - SND	Reg.	
10/09/2018	ODTR11	13.453,294000	801,975623	-	14.255,269623	Padrão - SND	Reg.	
06/09/2018	ODTR11	13.494,949600	800,779392	-	14.295,728992	Padrão - SND	Reg.	
05/09/2018	ODTR11	13.492,928400	796,981540	-	14.289,909940	Padrão - SND	Reg.	
04/09/2018	ODTR11	13.490,907500	793,185751	-	14.284,093251	Padrão - SND	Reg.	
03/09/2018	ODTR11	13.488,886900	789,392039	-	14.278,278939	Padrão - SND	Reg.	
31/08/2018	ODTR11	13.486,866700	785,600383	-	14.272,467083	Padrão - SND	Reg.	
30/08/2018	ODTR11	13.484,846800	781,810801	-	14.266,657601	Padrão - SND	Reg.	
29/08/2018	ODTR11	13.482,827100	778,023275	-	14.260,850375	Padrão - SND	Reg.	
28/08/2018	ODTR11	13.480,807900	774,237821	-	14.255,045721	Padrão - SND	Reg.	
27/08/2018	ODTR11	13.478,788700	770,454409	-	14.249,243109	Padrão - SND	Reg.	
24/08/2018	ODTR11	13.476,770000	766,673068	-	14.243,443068	Padrão - SND	Reg.	
23/08/2018	ODTR11	13.474,751600	762,893786	-	14.237,645386	Padrão - SND	Reg.	
22/08/2018	ODTR11	13.472,733500	759,116548	-	14.231,850048	Padrão - SND	Reg.	
21/08/2018	ODTR11	13.470,715600	755,341375	-	14.226,056975	Padrão - SND	Reg.	
20/08/2018	ODTR11	13.468,698100	751,568264	-	14.220,266364	Padrão - SND	Reg.	
17/08/2018	ODTR11	13.466,680800	747,797203	-	14.214,478003	Padrão - SND	Reg.	
16/08/2018	ODTR11	13.464,664000	744,028195	-	14.208,692195	Padrão - SND	Reg.	
15/08/2018	ODTR11	13.462,647400	740,261249	-	14.202,908649	Padrão - SND	Reg.	
14/08/2018	ODTR11	13.460,631000	736,496339	-	14.197,127339	Padrão - SND	Reg.	
13/08/2018	ODTR11	13.458,615100	732,733492	-	14.191,348592	Padrão - SND	Reg.	
10/08/2018	ODTR11	13.456,599400	728,972692	-	14.185,572092	Padrão - SND	Reg.	
09/08/2018	ODTR11	13.454,583900	725,213939	-	14.179,797839	Padrão - SND	Reg.	
08/08/2018	ODTR11	13.548,819400	726,619133	-	14.275,438533	Padrão - SND	Reg.	
07/08/2018	ODTR11	13.541,110200	722,534534	-	14.263,644734	Padrão - SND	Reg.	
06/08/2018	ODTR11	13.533,405400	718,455295	-	14.251,860695	Padrão - SND	Reg.	
03/08/2018	ODTR11	13.525,705000	714,381413	-	14.240,086413	Padrão - SND	Reg.	
02/08/2018	ODTR11	13.518,009000	710,312881	-	14.228,321881	Padrão - SND	Reg.	
01/08/2018	ODTR11	13.510,317300	706,249675	-	14.216,566975	Padrão - SND	Reg.	
31/07/2018	ODTR11	13.502,630000	702,191810	-	14.204,821810	Padrão - SND	Reg.	
30/07/2018	ODTR11	13.494,947200	698,139286	-	14.193,086486	Padrão - SND	Reg.	
27/07/2018	ODTR11	13.487,268600	694,092067	-	14.181,360667	Padrão - SND	Reg.	
26/07/2018	ODTR11	13.479,594400	690,050173	-	14.169,644573	Padrão - SND	Reg.	
25/07/2018	ODTR11	13.471,924600	686,013599	-	14.157,938199	Padrão - SND	Reg.	
24/07/2018	ODTR11	13.464,259200	681,982326	-	14.146,241526	Padrão - SND	Reg.	
23/07/2018	ODTR11	13.456,598200	677,956363	-	14.134,554563	Padrão - SND	Reg.	
20/07/2018	ODTR11	13.448,941400	673,935680	-	14.122,877080	Padrão - SND	Reg.	
19/07/2018	ODTR11	13.441,289000	669,920296	-	14.111,209296	Padrão - SND	Reg.	
