PU Histórico - Gerado em 07/10/2018 01:14:11

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	ODYA11	1.089,446374	3,987255	-	1.093,433629	Padrão - SND	Reg.	
04/10/2018	ODYA11	1.089,217502	3,701190	-	1.092,918692	Padrão - SND	Reg.	
03/10/2018	ODYA11	1.088,988673	3,415319	-	1.092,403992	Padrão - SND	Reg.	
02/10/2018	ODYA11	1.088,759899	3,129644	-	1.091,889542	Padrão - SND	Reg.	
01/10/2018	ODYA11	1.088,531168	2,844161	-	1.091,375329	Padrão - SND	Reg.	
28/09/2018	ODYA11	1.088,302480	2,558873	-	1.090,861354	Padrão - SND	Reg.	
27/09/2018	ODYA11	1.088,073847	2,273779	-	1.090,347627	Padrão - SND	Reg.	
26/09/2018	ODYA11	1.087,845257	1,988879	-	1.089,834137	Padrão - SND	Reg.	
25/09/2018	ODYA11	1.087,616722	1,704174	-	1.089,320896	Padrão - SND	Reg.	
24/09/2018	ODYA11	1.087,388230	1,419660	-	1.088,807890	Padrão - SND	Reg.	
21/09/2018	ODYA11	1.086,977357	1,135151	-	1.088,112508	Padrão - SND	Reg.	
20/09/2018	ODYA11	1.086,794596	0,851109	-	1.087,645705	Padrão - SND	Reg.	
19/09/2018	ODYA11	1.086,611868	0,567236	-	1.087,179104	Padrão - SND	Reg.	
18/09/2018	ODYA11	1.086,429161	0,283534	-	1.086,712695	Padrão - SND	Reg.	
17/09/2018	ODYA11	1.086,246498	-  	-	1.086,246498	Padrão - SND	Reg.	
14/09/2018	ODYA11	1.033,476990	52,530493	-	1.086,007483	Padrão - SND	Reg.	
13/09/2018	ODYA11	1.033,519250	52,249280	-	1.085,768530	Padrão - SND	Reg.	
12/09/2018	ODYA11	1.033,561500	51,968117	-	1.085,529617	Padrão - SND	Reg.	
11/09/2018	ODYA11	1.033,603750	51,687005	-	1.085,290755	Padrão - SND	Reg.	
10/09/2018	ODYA11	1.033,646010	51,405944	-	1.085,051954	Padrão - SND	Reg.	
06/09/2018	ODYA11	1.034,364650	51,158387	-	1.085,523037	Padrão - SND	Reg.	
05/09/2018	ODYA11	1.034,364650	50,875163	-	1.085,239813	Padrão - SND	Reg.	
04/09/2018	ODYA11	1.034,364650	50,592014	-	1.084,956664	Padrão - SND	Reg.	
03/09/2018	ODYA11	1.034,364650	50,308939	-	1.084,673589	Padrão - SND	Reg.	
31/08/2018	ODYA11	1.034,364650	50,025936	-	1.084,390586	Padrão - SND	Reg.	
30/08/2018	ODYA11	1.034,364650	49,743009	-	1.084,107659	Padrão - SND	Reg.	
29/08/2018	ODYA11	1.034,364650	49,460156	-	1.083,824806	Padrão - SND	Reg.	
28/08/2018	ODYA11	1.034,364650	49,177375	-	1.083,542025	Padrão - SND	Reg.	
27/08/2018	ODYA11	1.034,364650	48,894668	-	1.083,259318	Padrão - SND	Reg.	
24/08/2018	ODYA11	1.034,364650	48,612035	-	1.082,976685	Padrão - SND	Reg.	
23/08/2018	ODYA11	1.035,210030	48,368976	-	1.083,579006	Padrão - SND	Reg.	
22/08/2018	ODYA11	1.035,069080	48,079713	-	1.083,148793	Padrão - SND	Reg.	
21/08/2018	ODYA11	1.034,928150	47,790602	-	1.082,718752	Padrão - SND	Reg.	
20/08/2018	ODYA11	1.034,787250	47,501642	-	1.082,288892	Padrão - SND	Reg.	
17/08/2018	ODYA11	1.034,646360	47,212833	-	1.081,859193	Padrão - SND	Reg.	
