PU Histórico - Gerado em 07/10/2018 01:14:41

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	OSXC51	1.000,000000	380,656476	-	1.380,656476	Padrão - SND	Reg.	
04/10/2018	OSXC51	1.000,000000	380,208184	-	1.380,208184	Padrão - SND	Reg.	
03/10/2018	OSXC51	1.000,000000	379,760028	-	1.379,760028	Padrão - SND	Reg.	
02/10/2018	OSXC51	1.000,000000	379,312018	-	1.379,312018	Padrão - SND	Reg.	
01/10/2018	OSXC51	1.000,000000	378,864165	-	1.378,864165	Padrão - SND	Reg.	
28/09/2018	OSXC51	1.000,000000	378,416955	-	1.378,416955	Padrão - SND	Reg.	
27/09/2018	OSXC51	1.000,000000	377,969890	-	1.377,969890	Padrão - SND	Reg.	
26/09/2018	OSXC51	1.000,000000	377,522981	-	1.377,522981	Padrão - SND	Reg.	
25/09/2018	OSXC51	1.000,000000	377,076209	-	1.377,076209	Padrão - SND	Reg.	
24/09/2018	OSXC51	1.000,000000	376,629582	-	1.376,629582	Padrão - SND	Reg.	
21/09/2018	OSXC51	1.000,000000	376,183101	-	1.376,183101	Padrão - SND	Reg.	
20/09/2018	OSXC51	1.000,000000	375,736767	-	1.375,736767	Padrão - SND	Reg.	
19/09/2018	OSXC51	1.000,000000	375,290568	-	1.375,290568	Padrão - SND	Reg.	
18/09/2018	OSXC51	1.000,000000	374,844525	-	1.374,844525	Padrão - SND	Reg.	
17/09/2018	OSXC51	1.000,000000	374,398628	-	1.374,398628	Padrão - SND	Reg.	
14/09/2018	OSXC51	1.000,000000	373,952867	-	1.373,952867	Padrão - SND	Reg.	
13/09/2018	OSXC51	1.000,000000	373,507252	-	1.373,507252	Padrão - SND	Reg.	
12/09/2018	OSXC51	1.000,000000	373,061782	-	1.373,061782	Padrão - SND	Reg.	
11/09/2018	OSXC51	1.000,000000	372,616458	-	1.372,616458	Padrão - SND	Reg.	
10/09/2018	OSXC51	1.000,000000	372,171281	-	1.372,171281	Padrão - SND	Reg.	
06/09/2018	OSXC51	1.000,000000	371,726248	-	1.371,726248	Padrão - SND	Reg.	
05/09/2018	OSXC51	1.000,000000	371,281362	-	1.371,281362	Padrão - SND	Reg.	
04/09/2018	OSXC51	1.000,000000	370,836610	-	1.370,836610	Padrão - SND	Reg.	
03/09/2018	OSXC51	1.000,000000	370,392005	-	1.370,392005	Padrão - SND	Reg.	
31/08/2018	OSXC51	1.000,000000	369,947555	-	1.369,947555	Padrão - SND	Reg.	
30/08/2018	OSXC51	1.000,000000	369,503241	-	1.369,503241	Padrão - SND	Reg.	
29/08/2018	OSXC51	1.000,000000	369,059072	-	1.369,059072	Padrão - SND	Reg.	
28/08/2018	OSXC51	1.000,000000	368,615039	-	1.368,615039	Padrão - SND	Reg.	
27/08/2018	OSXC51	1.000,000000	368,171162	-	1.368,171162	Padrão - SND	Reg.	
24/08/2018	OSXC51	1.000,000000	367,727418	-	1.367,727418	Padrão - SND	Reg.	
23/08/2018	OSXC51	1.000,000000	367,283833	-	1.367,283833	Padrão - SND	Reg.	
22/08/2018	OSXC51	1.000,000000	366,840381	-	1.366,840381	Padrão - SND	Reg.	
21/08/2018	OSXC51	1.000,000000	366,397075	-	1.366,397075	Padrão - SND	Reg.	
20/08/2018	OSXC51	1.000,000000	365,953914	-	1.365,953914	Padrão - SND	Reg.	
17/08/2018	OSXC51	1.000,000000	365,510888	-	1.365,510888	Padrão - SND	Reg.	
16/08/2018	OSXC51	1.000,000000	365,068018	-	1.365,068018	Padrão - SND	Reg.	
15/08/2018	OSXC51	1.000,000000	364,625283	-	1.364,625283	Padrão - SND	Reg.	
14/08/2018	OSXC51	1.000,000000	364,182704	-	1.364,182704	Padrão - SND	Reg.	
13/08/2018	OSXC51	1.000,000000	363,740259	-	1.363,740259	Padrão - SND	Reg.	
10/08/2018	OSXC51	1.000,000000	363,297949	-	1.363,297949	Padrão - SND	Reg.	
09/08/2018	OSXC51	1.000,000000	362,855795	-	1.362,855795	Padrão - SND	Reg.	
08/08/2018	OSXC51	1.000,000000	362,413787	-	1.362,413787	Padrão - SND	Reg.	
07/08/2018	OSXC51	1.000,000000	361,971912	-	1.361,971912	Padrão - SND	Reg.	
06/08/2018	OSXC51	1.000,000000	361,530183	-	1.361,530183	Padrão - SND	Reg.	
03/08/2018	OSXC51	1.000,000000	361,088599	-	1.361,088599	Padrão - SND	Reg.	
02/08/2018	OSXC51	1.000,000000	360,647161	-	1.360,647161	Padrão - SND	Reg.	
01/08/2018	OSXC51	1.000,000000	360,205867	-	1.360,205867	Padrão - SND	Reg.	
31/07/2018	OSXC51	1.000,000000	359,764708	-	1.359,764708	Padrão - SND	Reg.	
30/07/2018	OSXC51	1.000,000000	359,323693	-	1.359,323693	Padrão - SND	Reg.	
27/07/2018	OSXC51	1.000,000000	358,882835	-	1.358,882835	Padrão - SND	Reg.	
26/07/2018	OSXC51	1.000,000000	358,442100	-	1.358,442100	Padrão - SND	Reg.	
25/07/2018	OSXC51	1.000,000000	358,001521	-	1.358,001521	Padrão - SND	Reg.	
24/07/2018	OSXC51	1.000,000000	357,561087	-	1.357,561087	Padrão - SND	Reg.	
23/07/2018	OSXC51	1.000,000000	357,120787	-	1.357,120787	Padrão - SND	Reg.	
20/07/2018	OSXC51	1.000,000000	356,680632	-	1.356,680632	Padrão - SND	Reg.	
19/07/2018	OSXC51	1.000,000000	356,240622	-	1.356,240622	Padrão - SND	Reg.	
18/07/2018	OSXC51	1.000,000000	355,800757	-	1.355,800757	Padrão - SND	Reg.	
17/07/2018	OSXC51	1.000,000000	355,361025	-	1.355,361025	Padrão - SND	Reg.	
16/07/2018	OSXC51	1.000,000000	354,921449	-	1.354,921449	Padrão - SND	Reg.	
13/07/2018	OSXC51	1.000,000000	354,482008	-	1.354,482008	Padrão - SND	Reg.	
12/07/2018	OSXC51	1.000,000000	354,042711	-	1.354,042711	Padrão - SND	Reg.	
11/07/2018	OSXC51	1.000,000000	353,603549	-	1.353,603549	Padrão - SND	Reg.	
10/07/2018	OSXC51	1.000,000000	353,164541	-	1.353,164541	Padrão - SND	Reg.	
09/07/2018	OSXC51	1.000,000000	352,725667	-	1.352,725667	Padrão - SND	Reg.	
06/07/2018	OSXC51	1.000,000000	352,286938	-	1.352,286938	Padrão - SND	Reg.	
05/07/2018	OSXC51	1.000,000000	351,848355	-	1.351,848355	Padrão - SND	Reg.	
04/07/2018	OSXC51	1.000,000000	351,409915	-	1.351,409915	Padrão - SND	Reg.	
03/07/2018	OSXC51	1.000,000000	350,971609	-	1.350,971609	Padrão - SND	Reg.	
02/07/2018	OSXC51	1.000,000000	350,533448	-	1.350,533448	Padrão - SND	Reg.	
29/06/2018	OSXC51	1.000,000000	350,095432	-	1.350,095432	Padrão - SND	Reg.	
28/06/2018	OSXC51	1.000,000000	349,657560	-	1.349,657560	Padrão - SND	Reg.	
27/06/2018	OSXC51	1.000,000000	349,219821	-	1.349,219821	Padrão - SND	Reg.	
26/06/2018	OSXC51	1.000,000000	348,782237	-	1.348,782237	Padrão - SND	Reg.	
25/06/2018	OSXC51	1.000,000000	348,344787	-	1.348,344787	Padrão - SND	Reg.	
22/06/2018	OSXC51	1.000,000000	347,907472	-	1.347,907472	Padrão - SND	Reg.	
21/06/2018	OSXC51	1.000,000000	347,470311	-	1.347,470311	Padrão - SND	Reg.	
20/06/2018	OSXC51	1.000,000000	347,033284	-	1.347,033284	Padrão - SND	Reg.	
19/06/2018	OSXC51	1.000,000000	346,596401	-	1.346,596401	Padrão - SND	Reg.	
18/06/2018	OSXC51	1.000,000000	346,159663	-	1.346,159663	Padrão - SND	Reg.	
15/06/2018	OSXC51	1.000,000000	345,723068	-	1.345,723068	Padrão - SND	Reg.	
14/06/2018	OSXC51	1.000,000000	345,286608	-	1.345,286608	Padrão - SND	Reg.	
13/06/2018	OSXC51	1.000,000000	344,850291	-	1.344,850291	Padrão - SND	Reg.	
12/06/2018	OSXC51	1.000,000000	344,414119	-	1.344,414119	Padrão - SND	Reg.	
11/06/2018	OSXC51	1.000,000000	343,978091	-	1.343,978091	Padrão - SND	Reg.	
08/06/2018	OSXC51	1.000,000000	343,542196	-	1.343,542196	Padrão - SND	Reg.	
07/06/2018	OSXC51	1.000,000000	343,106444	-	1.343,106444	Padrão - SND	Reg.	
06/06/2018	OSXC51	1.000,000000	342,670838	-	1.342,670838	Padrão - SND	Reg.	
05/06/2018	OSXC51	1.000,000000	342,235376	-	1.342,235376	Padrão - SND	Reg.	
04/06/2018	OSXC51	1.000,000000	341,800046	-	1.341,800046	Padrão - SND	Reg.	
01/06/2018	OSXC51	1.000,000000	341,364861	-	1.341,364861	Padrão - SND	Reg.	
30/05/2018	OSXC51	1.000,000000	340,929821	-	1.340,929821	Padrão - SND	Reg.	
29/05/2018	OSXC51	1.000,000000	340,494913	-	1.340,494913	Padrão - SND	Reg.	
28/05/2018	OSXC51	1.000,000000	340,060149	-	1.340,060149	Padrão - SND	Reg.	
25/05/2018	OSXC51	1.000,000000	339,625529	-	1.339,625529	Padrão - SND	Reg.	
24/05/2018	OSXC51	1.000,000000	339,191052	-	1.339,191052	Padrão - SND	Reg.	
23/05/2018	OSXC51	1.000,000000	338,756720	-	1.338,756720	Padrão - SND	Reg.	
22/05/2018	OSXC51	1.000,000000	338,322520	-	1.338,322520	Padrão - SND	Reg.	
