PU Histórico - Gerado em 07/10/2018 01:14:59

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	PALF28	1.042,082270	2,640202	-	1.044,722472	Padrão - SND	Reg.	
04/10/2018	PALF28	1.041,863340	2,450879	-	1.044,314219	Padrão - SND	Reg.	
03/10/2018	PALF28	1.041,644460	2,261671	-	1.043,906131	Padrão - SND	Reg.	
02/10/2018	PALF28	1.041,425630	2,072574	-	1.043,498204	Padrão - SND	Reg.	
01/10/2018	PALF28	1.041,206850	1,883593	-	1.043,090443	Padrão - SND	Reg.	
28/09/2018	PALF28	1.040,988100	1,694724	-	1.042,682824	Padrão - SND	Reg.	
27/09/2018	PALF28	1.040,769410	1,505968	-	1.042,275378	Padrão - SND	Reg.	
26/09/2018	PALF28	1.040,550760	1,317327	-	1.041,868087	Padrão - SND	Reg.	
25/09/2018	PALF28	1.040,332160	1,128798	-	1.041,460958	Padrão - SND	Reg.	
24/09/2018	PALF28	1.040,113600	0,940382	-	1.041,053982	Padrão - SND	Reg.	
21/09/2018	PALF28	1.039,720590	0,751954	-	1.040,472544	Padrão - SND	Reg.	
20/09/2018	PALF28	1.039,545770	0,563819	-	1.040,109589	Padrão - SND	Reg.	
19/09/2018	PALF28	1.039,370990	0,375783	-	1.039,746772	Padrão - SND	Reg.	
18/09/2018	PALF28	1.039,196230	0,187843	-	1.039,384073	Padrão - SND	Reg.	
17/09/2018	PALF28	1.039,021510	-  	-	1.039,021510	Padrão - SND	Reg.	
14/09/2018	PALF28	1.039,063990	24,126673	-	1.063,190663	Padrão - SND	Reg.	
13/09/2018	PALF28	1.039,106470	23,935507	-	1.063,041977	Padrão - SND	Reg.	
12/09/2018	PALF28	1.039,148950	23,744359	-	1.062,893309	Padrão - SND	Reg.	
11/09/2018	PALF28	1.039,191430	23,553230	-	1.062,744660	Padrão - SND	Reg.	
10/09/2018	PALF28	1.039,233920	23,362121	-	1.062,596041	Padrão - SND	Reg.	
06/09/2018	PALF28	1.039,956450	23,186193	-	1.063,142643	Padrão - SND	Reg.	
05/09/2018	PALF28	1.039,956450	22,994056	-	1.062,950506	Padrão - SND	Reg.	
04/09/2018	PALF28	1.039,956450	22,801954	-	1.062,758404	Padrão - SND	Reg.	
03/09/2018	PALF28	1.039,956450	22,609888	-	1.062,566338	Padrão - SND	Reg.	
31/08/2018	PALF28	1.039,956450	22,417856	-	1.062,374306	Padrão - SND	Reg.	
30/08/2018	PALF28	1.039,956450	22,225858	-	1.062,182308	Padrão - SND	Reg.	
29/08/2018	PALF28	1.039,956450	22,033894	-	1.061,990344	Padrão - SND	Reg.	
28/08/2018	PALF28	1.039,956450	21,841966	-	1.061,798416	Padrão - SND	Reg.	
27/08/2018	PALF28	1.039,956450	21,650073	-	1.061,606523	Padrão - SND	Reg.	
24/08/2018	PALF28	1.039,956450	21,458214	-	1.061,414664	Padrão - SND	Reg.	
23/08/2018	PALF28	1.040,806390	21,283770	-	1.062,090160	Padrão - SND	Reg.	
22/08/2018	PALF28	1.040,664680	21,088952	-	1.061,753632	Padrão - SND	Reg.	
21/08/2018	PALF28	1.040,522990	20,894222	-	1.061,417212	Padrão - SND	Reg.	
20/08/2018	PALF28	1.040,381330	20,699579	-	1.061,080909	Padrão - SND	Reg.	
17/08/2018	PALF28	1.040,239680	20,505023	-	1.060,744703	Padrão - SND	Reg.	
16/08/2018	PALF28	1.040,098050	20,310554	-	1.060,408604	Padrão - SND	Reg.	
15/08/2018	PALF28	1.039,956450	20,116173	-	1.060,072623	Padrão - SND	Reg.	
14/08/2018	PALF28	1.039,800690	19,921607	-	1.059,722297	Padrão - SND	Reg.	
13/08/2018	PALF28	1.039,644960	19,727134	-	1.059,372094	Padrão - SND	Reg.	
