PU Histórico - Gerado em 07/10/2018 01:15:08

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	PDGP11	1.000,000000	264,330810	-	1.264,330810	Padrão - SND	Reg.	
04/10/2018	PDGP11	1.000,000000	263,957380	-	1.263,957380	Padrão - SND	Reg.	
03/10/2018	PDGP11	1.000,000000	263,584070	-	1.263,584070	Padrão - SND	Reg.	
02/10/2018	PDGP11	1.000,000000	263,210870	-	1.263,210870	Padrão - SND	Reg.	
01/10/2018	PDGP11	1.000,000000	262,837770	-	1.262,837770	Padrão - SND	Reg.	
28/09/2018	PDGP11	1.000,000000	262,465350	-	1.262,465350	Padrão - SND	Reg.	
27/09/2018	PDGP11	1.000,000000	262,093040	-	1.262,093040	Padrão - SND	Reg.	
26/09/2018	PDGP11	1.000,000000	261,720840	-	1.261,720840	Padrão - SND	Reg.	
25/09/2018	PDGP11	1.000,000000	261,348740	-	1.261,348740	Padrão - SND	Reg.	
24/09/2018	PDGP11	1.000,000000	260,976760	-	1.260,976760	Padrão - SND	Reg.	
21/09/2018	PDGP11	1.000,000000	260,604890	-	1.260,604890	Padrão - SND	Reg.	
20/09/2018	PDGP11	1.000,000000	260,233120	-	1.260,233120	Padrão - SND	Reg.	
19/09/2018	PDGP11	1.000,000000	259,861470	-	1.259,861470	Padrão - SND	Reg.	
18/09/2018	PDGP11	1.000,000000	259,489920	-	1.259,489920	Padrão - SND	Reg.	
17/09/2018	PDGP11	1.000,000000	259,118490	-	1.259,118490	Padrão - SND	Reg.	
14/09/2018	PDGP11	1.000,000000	258,747160	-	1.258,747160	Padrão - SND	Reg.	
13/09/2018	PDGP11	1.000,000000	258,375950	-	1.258,375950	Padrão - SND	Reg.	
12/09/2018	PDGP11	1.000,000000	258,004840	-	1.258,004840	Padrão - SND	Reg.	
11/09/2018	PDGP11	1.000,000000	257,633840	-	1.257,633840	Padrão - SND	Reg.	
10/09/2018	PDGP11	1.000,000000	257,262960	-	1.257,262960	Padrão - SND	Reg.	
06/09/2018	PDGP11	1.000,000000	256,892180	-	1.256,892180	Padrão - SND	Reg.	
05/09/2018	PDGP11	1.000,000000	256,521510	-	1.256,521510	Padrão - SND	Reg.	
04/09/2018	PDGP11	1.000,000000	256,150950	-	1.256,150950	Padrão - SND	Reg.	
03/09/2018	PDGP11	1.000,000000	255,780500	-	1.255,780500	Padrão - SND	Reg.	
31/08/2018	PDGP11	1.000,000000	255,410160	-	1.255,410160	Padrão - SND	Reg.	
30/08/2018	PDGP11	1.000,000000	255,039930	-	1.255,039930	Padrão - SND	Reg.	
29/08/2018	PDGP11	1.000,000000	254,669800	-	1.254,669800	Padrão - SND	Reg.	
28/08/2018	PDGP11	1.000,000000	254,299790	-	1.254,299790	Padrão - SND	Reg.	
27/08/2018	PDGP11	1.000,000000	253,929890	-	1.253,929890	Padrão - SND	Reg.	
24/08/2018	PDGP11	1.000,000000	253,560090	-	1.253,560090	Padrão - SND	Reg.	
23/08/2018	PDGP11	1.000,000000	253,190410	-	1.253,190410	Padrão - SND	Reg.	
22/08/2018	PDGP11	1.000,000000	252,820830	-	1.252,820830	Padrão - SND	Reg.	
21/08/2018	PDGP11	1.000,000000	252,451360	-	1.252,451360	Padrão - SND	Reg.	
20/08/2018	PDGP11	1.000,000000	252,082000	-	1.252,082000	Padrão - SND	Reg.	
17/08/2018	PDGP11	1.000,000000	251,712750	-	1.251,712750	Padrão - SND	Reg.	
16/08/2018	PDGP11	1.000,000000	251,343610	-	1.251,343610	Padrão - SND	Reg.	
15/08/2018	PDGP11	1.000,000000	250,974580	-	1.250,974580	Padrão - SND	Reg.	
14/08/2018	PDGP11	1.000,000000	250,605650	-	1.250,605650	Padrão - SND	Reg.	
13/08/2018	PDGP11	1.000,000000	250,236840	-	1.250,236840	Padrão - SND	Reg.	
10/08/2018	PDGP11	1.000,000000	249,868130	-	1.249,868130	Padrão - SND	Reg.	
09/08/2018	PDGP11	1.000,000000	249,499540	-	1.249,499540	Padrão - SND	Reg.	
08/08/2018	PDGP11	1.000,000000	249,131050	-	1.249,131050	Padrão - SND	Reg.	
07/08/2018	PDGP11	1.000,000000	248,762670	-	1.248,762670	Padrão - SND	Reg.	
06/08/2018	PDGP11	1.000,000000	248,394400	-	1.248,394400	Padrão - SND	Reg.	
03/08/2018	PDGP11	1.000,000000	248,026230	-	1.248,026230	Padrão - SND	Reg.	
02/08/2018	PDGP11	1.000,000000	247,658180	-	1.247,658180	Padrão - SND	Reg.	
01/08/2018	PDGP11	1.000,000000	247,290230	-	1.247,290230	Padrão - SND	Reg.	
31/07/2018	PDGP11	1.000,000000	246,922400	-	1.246,922400	Padrão - SND	Reg.	
30/07/2018	PDGP11	1.000,000000	246,554670	-	1.246,554670	Padrão - SND	Reg.	
27/07/2018	PDGP11	1.000,000000	246,187050	-	1.246,187050	Padrão - SND	Reg.	
26/07/2018	PDGP11	1.000,000000	245,819530	-	1.245,819530	Padrão - SND	Reg.	
25/07/2018	PDGP11	1.000,000000	245,452130	-	1.245,452130	Padrão - SND	Reg.	
24/07/2018	PDGP11	1.000,000000	245,084840	-	1.245,084840	Padrão - SND	Reg.	
23/07/2018	PDGP11	1.000,000000	244,717650	-	1.244,717650	Padrão - SND	Reg.	
20/07/2018	PDGP11	1.000,000000	244,350570	-	1.244,350570	Padrão - SND	Reg.	
19/07/2018	PDGP11	1.000,000000	243,983600	-	1.243,983600	Padrão - SND	Reg.	
18/07/2018	PDGP11	1.000,000000	243,616740	-	1.243,616740	Padrão - SND	Reg.	
17/07/2018	PDGP11	1.000,000000	243,249990	-	1.243,249990	Padrão - SND	Reg.	
16/07/2018	PDGP11	1.000,000000	242,883340	-	1.242,883340	Padrão - SND	Reg.	
13/07/2018	PDGP11	1.000,000000	242,516800	-	1.242,516800	Padrão - SND	Reg.	
12/07/2018	PDGP11	1.000,000000	242,150370	-	1.242,150370	Padrão - SND	Reg.	
11/07/2018	PDGP11	1.000,000000	241,784050	-	1.241,784050	Padrão - SND	Reg.	
10/07/2018	PDGP11	1.000,000000	241,417840	-	1.241,417840	Padrão - SND	Reg.	
09/07/2018	PDGP11	1.000,000000	241,051730	-	1.241,051730	Padrão - SND	Reg.	
06/07/2018	PDGP11	1.000,000000	240,685740	-	1.240,685740	Padrão - SND	Reg.	
05/07/2018	PDGP11	1.000,000000	240,319850	-	1.240,319850	Padrão - SND	Reg.	
04/07/2018	PDGP11	1.000,000000	239,954060	-	1.239,954060	Padrão - SND	Reg.	
03/07/2018	PDGP11	1.000,000000	239,588390	-	1.239,588390	Padrão - SND	Reg.	
02/07/2018	PDGP11	1.000,000000	239,222830	-	1.239,222830	Padrão - SND	Reg.	
29/06/2018	PDGP11	1.000,000000	238,857370	-	1.238,857370	Padrão - SND	Reg.	
28/06/2018	PDGP11	1.000,000000	238,492020	-	1.238,492020	Padrão - SND	Reg.	
27/06/2018	PDGP11	1.000,000000	238,126770	-	1.238,126770	Padrão - SND	Reg.	
26/06/2018	PDGP11	1.000,000000	237,761640	-	1.237,761640	Padrão - SND	Reg.	
25/06/2018	PDGP11	1.000,000000	237,396610	-	1.237,396610	Padrão - SND	Reg.	
22/06/2018	PDGP11	1.000,000000	237,031690	-	1.237,031690	Padrão - SND	Reg.	
