PU Histórico - Gerado em 07/10/2018 01:15:19

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	PETR25	1.042,497870	7,590159	-	1.050,088029	Padrão - SND	Reg.	
04/10/2018	PETR25	1.042,547210	7,378926	-	1.049,926136	Padrão - SND	Reg.	
03/10/2018	PETR25	1.042,596570	7,167716	-	1.049,764286	Padrão - SND	Reg.	
02/10/2018	PETR25	1.042,645930	6,956528	-	1.049,602458	Padrão - SND	Reg.	
01/10/2018	PETR25	1.042,695280	6,745364	-	1.049,440644	Padrão - SND	Reg.	
28/09/2018	PETR25	1.042,744650	6,534221	-	1.049,278871	Padrão - SND	Reg.	
27/09/2018	PETR25	1.042,794000	6,323101	-	1.049,117101	Padrão - SND	Reg.	
26/09/2018	PETR25	1.042,843370	6,112004	-	1.048,955374	Padrão - SND	Reg.	
25/09/2018	PETR25	1.042,892740	5,900929	-	1.048,793669	Padrão - SND	Reg.	
24/09/2018	PETR25	1.042,942100	5,689878	-	1.048,631978	Padrão - SND	Reg.	
21/09/2018	PETR25	1.042,991480	5,478848	-	1.048,470328	Padrão - SND	Reg.	
20/09/2018	PETR25	1.043,040850	5,267841	-	1.048,308691	Padrão - SND	Reg.	
19/09/2018	PETR25	1.043,090220	5,056858	-	1.048,147078	Padrão - SND	Reg.	
18/09/2018	PETR25	1.043,139610	4,845896	-	1.047,985506	Padrão - SND	Reg.	
17/09/2018	PETR25	1.043,188990	4,634956	-	1.047,823946	Padrão - SND	Reg.	
14/09/2018	PETR25	1.043,231650	4,424012	-	1.047,655662	Padrão - SND	Reg.	
13/09/2018	PETR25	1.043,274300	4,213092	-	1.047,487392	Padrão - SND	Reg.	
12/09/2018	PETR25	1.043,316950	4,002197	-	1.047,319147	Padrão - SND	Reg.	
11/09/2018	PETR25	1.043,359600	3,791328	-	1.047,150928	Padrão - SND	Reg.	
10/09/2018	PETR25	1.043,402260	3,580484	-	1.046,982744	Padrão - SND	Reg.	
06/09/2018	PETR25	1.046,632960	3,379961	-	1.050,012921	Padrão - SND	Reg.	
05/09/2018	PETR25	1.046,476200	3,167919	-	1.049,644119	Padrão - SND	Reg.	
04/09/2018	PETR25	1.046,319470	2,955984	-	1.049,275454	Padrão - SND	Reg.	
03/09/2018	PETR25	1.046,162750	2,744154	-	1.048,906904	Padrão - SND	Reg.	
31/08/2018	PETR25	1.046,006070	2,532431	-	1.048,538501	Padrão - SND	Reg.	
30/08/2018	PETR25	1.045,849410	2,320813	-	1.048,170223	Padrão - SND	Reg.	
29/08/2018	PETR25	1.045,692770	2,109301	-	1.047,802071	Padrão - SND	Reg.	
28/08/2018	PETR25	1.045,536160	1,897896	-	1.047,434056	Padrão - SND	Reg.	
27/08/2018	PETR25	1.045,379560	1,686596	-	1.047,066156	Padrão - SND	Reg.	
24/08/2018	PETR25	1.045,223000	1,475402	-	1.046,698402	Padrão - SND	Reg.	
23/08/2018	PETR25	1.045,066450	1,264313	-	1.046,330763	Padrão - SND	Reg.	
