PU Histórico - Gerado em 17/02/2019 12:19:20

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	PETZ11	1,000000	0,001206	-	1,001206	Padrão - SND	Reg.	
14/02/2019	PETZ11	1,000000	0,000904	-	1,000904	Padrão - SND	Reg.	
13/02/2019	PETZ11	1,000000	0,000603	-	1,000603	Padrão - SND	Reg.	
12/02/2019	PETZ11	1,000000	0,000301	-	1,000301	Padrão - SND	Reg.	
11/02/2019	PETZ11	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
08/02/2019	PETZ11	1,000000	0,006348	-	1,006348	Padrão - SND	Reg.	
07/02/2019	PETZ11	1,000000	0,006045	-	1,006045	Padrão - SND	Reg.	
06/02/2019	PETZ11	1,000000	0,005742	-	1,005742	Padrão - SND	Reg.	
05/02/2019	PETZ11	1,000000	0,005439	-	1,005439	Padrão - SND	Reg.	
04/02/2019	PETZ11	1,000000	0,005136	-	1,005136	Padrão - SND	Reg.	
01/02/2019	PETZ11	1,000000	0,004833	-	1,004833	Padrão - SND	Reg.	
31/01/2019	PETZ11	1,000000	0,004530	-	1,004530	Padrão - SND	Reg.	
30/01/2019	PETZ11	1,000000	0,004228	-	1,004228	Padrão - SND	Reg.	
29/01/2019	PETZ11	1,000000	0,003925	-	1,003925	Padrão - SND	Reg.	
28/01/2019	PETZ11	1,000000	0,003623	-	1,003623	Padrão - SND	Reg.	
25/01/2019	PETZ11	1,000000	0,003320	-	1,003320	Padrão - SND	Reg.	
24/01/2019	PETZ11	1,000000	0,003018	-	1,003018	Padrão - SND	Reg.	
23/01/2019	PETZ11	1,000000	0,002716	-	1,002716	Padrão - SND	Reg.	
22/01/2019	PETZ11	1,000000	0,002414	-	1,002414	Padrão - SND	Reg.	
21/01/2019	PETZ11	1,000000	0,002112	-	1,002112	Padrão - SND	Reg.	
18/01/2019	PETZ11	1,000000	0,001810	-	1,001810	Padrão - SND	Reg.	
17/01/2019	PETZ11	1,000000	0,001508	-	1,001508	Padrão - SND	Reg.	
16/01/2019	PETZ11	1,000000	0,001206	-	1,001206	Padrão - SND	Reg.	
15/01/2019	PETZ11	1,000000	0,000904	-	1,000904	Padrão - SND	Reg.	
14/01/2019	PETZ11	1,000000	0,000603	-	1,000603	Padrão - SND	Reg.	
11/01/2019	PETZ11	1,000000	0,000301	-	1,000301	Padrão - SND	Reg.	
10/01/2019	PETZ11	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
09/01/2019	PETZ11	1,000000	0,006045	-	1,006045	Padrão - SND	Reg.	
08/01/2019	PETZ11	1,000000	0,005742	-	1,005742	Padrão - SND	Reg.	
07/01/2019	PETZ11	1,000000	0,005439	-	1,005439	Padrão - SND	Reg.	
04/01/2019	PETZ11	1,000000	0,005136	-	1,005136	Padrão - SND	Reg.	
03/01/2019	PETZ11	1,000000	0,004833	-	1,004833	Padrão - SND	Reg.	
02/01/2019	PETZ11	1,000000	0,004530	-	1,004530	Padrão - SND	Reg.	
31/12/2018	PETZ11	1,000000	0,004228	-	1,004228	Padrão - SND	Reg.	
28/12/2018	PETZ11	1,000000	0,003925	-	1,003925	Padrão - SND	Reg.	
27/12/2018	PETZ11	1,000000	0,003623	-	1,003623	Padrão - SND	Reg.	
26/12/2018	PETZ11	1,000000	0,003320	-	1,003320	Padrão - SND	Reg.	
24/12/2018	PETZ11	1,000000	0,003018	-	1,003018	Padrão - SND	Reg.	
21/12/2018	PETZ11	1,000000	0,002716	-	1,002716	Padrão - SND	Reg.	
20/12/2018	PETZ11	1,000000	0,002414	-	1,002414	Padrão - SND	Reg.	
19/12/2018	PETZ11	1,000000	0,002112	-	1,002112	Padrão - SND	Reg.	
18/12/2018	PETZ11	1,000000	0,001810	-	1,001810	Padrão - SND	Reg.	
17/12/2018	PETZ11	1,000000	0,001508	-	1,001508	Padrão - SND	Reg.	
14/12/2018	PETZ11	1,000000	0,001206	-	1,001206	Padrão - SND	Reg.	
13/12/2018	PETZ11	1,000000	0,000904	-	1,000904	Padrão - SND	Reg.	
12/12/2018	PETZ11	1,000000	0,000603	-	1,000603	Padrão - SND	Reg.	
11/12/2018	PETZ11	1,000000	0,000301	-	1,000301	Padrão - SND	Reg.	
10/12/2018	PETZ11	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
07/12/2018	PETZ11	1,000000	0,005439	-	1,005439	Padrão - SND	Reg.	
06/12/2018	PETZ11	1,000000	0,005136	-	1,005136	Padrão - SND	Reg.	
05/12/2018	PETZ11	1,000000	0,004833	-	1,004833	Padrão - SND	Reg.	
04/12/2018	PETZ11	1,000000	0,004530	-	1,004530	Padrão - SND	Reg.	
03/12/2018	PETZ11	1,000000	0,004228	-	1,004228	Padrão - SND	Reg.	
30/11/2018	PETZ11	1,000000	0,003925	-	1,003925	Padrão - SND	Reg.	
29/11/2018	PETZ11	1,000000	0,003623	-	1,003623	Padrão - SND	Reg.	
28/11/2018	PETZ11	1,000000	0,003320	-	1,003320	Padrão - SND	Reg.	
27/11/2018	PETZ11	1,000000	0,003018	-	1,003018	Padrão - SND	Reg.	
26/11/2018	PETZ11	1,000000	0,002716	-	1,002716	Padrão - SND	Reg.	
23/11/2018	PETZ11	1,000000	0,002414	-	1,002414	Padrão - SND	Reg.	
22/11/2018	PETZ11	1,000000	0,002112	-	1,002112	Padrão - SND	Reg.	
21/11/2018	PETZ11	1,000000	0,001810	-	1,001810	Padrão - SND	Reg.	
20/11/2018	PETZ11	1,000000	0,001508	-	1,001508	Padrão - SND	Reg.	
19/11/2018	PETZ11	1,000000	0,001206	-	1,001206	Padrão - SND	Reg.	
16/11/2018	PETZ11	1,000000	0,000904	-	1,000904	Padrão - SND	Reg.	
14/11/2018	PETZ11	1,000000	0,000603	-	1,000603	Padrão - SND	Reg.	
13/11/2018	PETZ11	1,000000	0,000301	-	1,000301	Padrão - SND	Reg.	
12/11/2018	PETZ11	1,000000	-  	-	1,000000	Padrão - SND	Reg.	
09/11/2018	PETZ11	1,000000	0,006045	-	1,006045	Padrão - SND	Reg.	
08/11/2018	PETZ11	1,000000	0,005742	-	1,005742	Padrão - SND	Reg.	
