PU Histórico - Gerado em 07/10/2018 01:15:30

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	PLIN11	1.104,217117	1,435313	-	1.105,652430	Padrão - SND	Reg.	
04/10/2018	PLIN11	1.104,217117	1,076310	-	1.105,293427	Padrão - SND	Reg.	
03/10/2018	PLIN11	1.104,217117	0,717424	-	1.104,934541	Padrão - SND	Reg.	
02/10/2018	PLIN11	1.104,217117	0,358654	-	1.104,575771	Padrão - SND	Reg.	
01/10/2018	PLIN11	1.104,217117	-  	-	1.104,217117	Padrão - SND	Reg.	
28/09/2018	PLIN11	1.000,000000	103,858989	-	1.103,858989	Padrão - SND	Reg.	
27/09/2018	PLIN11	1.000,000000	103,500972	-	1.103,500972	Padrão - SND	Reg.	
26/09/2018	PLIN11	1.000,000000	103,143077	-	1.103,143077	Padrão - SND	Reg.	
25/09/2018	PLIN11	1.000,000000	102,785291	-	1.102,785291	Padrão - SND	Reg.	
24/09/2018	PLIN11	1.000,000000	102,427627	-	1.102,427627	Padrão - SND	Reg.	
21/09/2018	PLIN11	1.000,000000	102,070084	-	1.102,070084	Padrão - SND	Reg.	
20/09/2018	PLIN11	1.000,000000	101,712641	-	1.101,712641	Padrão - SND	Reg.	
19/09/2018	PLIN11	1.000,000000	101,355330	-	1.101,355330	Padrão - SND	Reg.	
18/09/2018	PLIN11	1.000,000000	100,998128	-	1.100,998128	Padrão - SND	Reg.	
17/09/2018	PLIN11	1.000,000000	100,641038	-	1.100,641038	Padrão - SND	Reg.	
14/09/2018	PLIN11	1.000,000000	100,284069	-	1.100,284069	Padrão - SND	Reg.	
13/09/2018	PLIN11	1.000,000000	99,927220	-	1.099,927220	Padrão - SND	Reg.	
12/09/2018	PLIN11	1.000,000000	99,570482	-	1.099,570482	Padrão - SND	Reg.	
11/09/2018	PLIN11	1.000,000000	99,213855	-	1.099,213855	Padrão - SND	Reg.	
10/09/2018	PLIN11	1.000,000000	98,857348	-	1.098,857348	Padrão - SND	Reg.	
06/09/2018	PLIN11	1.000,000000	98,500962	-	1.098,500962	Padrão - SND	Reg.	
05/09/2018	PLIN11	1.000,000000	98,144686	-	1.098,144686	Padrão - SND	Reg.	
04/09/2018	PLIN11	1.000,000000	97,788522	-	1.097,788522	Padrão - SND	Reg.	
03/09/2018	PLIN11	1.000,000000	97,432478	-	1.097,432478	Padrão - SND	Reg.	
31/08/2018	PLIN11	1.000,000000	97,076544	-	1.097,076544	Padrão - SND	Reg.	
30/08/2018	PLIN11	1.000,000000	96,720730	-	1.096,720730	Padrão - SND	Reg.	
29/08/2018	PLIN11	1.000,000000	96,365038	-	1.096,365038	Padrão - SND	Reg.	
28/08/2018	PLIN11	1.000,000000	96,009455	-	1.096,009455	Padrão - SND	Reg.	
27/08/2018	PLIN11	1.000,000000	95,653983	-	1.095,653983	Padrão - SND	Reg.	
24/08/2018	PLIN11	1.000,000000	95,298632	-	1.095,298632	Padrão - SND	Reg.	
