PU Histórico - Gerado em 17/02/2019 12:19:29

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	PNXT11	1.000.000,000000	23.265,006000	-	1.023.265,006000	Padrão - SND	Reg.	
14/02/2019	PNXT11	1.000.000,000000	22.903,015000	-	1.022.903,015000	Padrão - SND	Reg.	
13/02/2019	PNXT11	1.000.000,000000	22.541,151000	-	1.022.541,151000	Padrão - SND	Reg.	
12/02/2019	PNXT11	1.000.000,000000	22.179,422000	-	1.022.179,422000	Padrão - SND	Reg.	
11/02/2019	PNXT11	1.000.000,000000	21.817,810000	-	1.021.817,810000	Padrão - SND	Reg.	
08/02/2019	PNXT11	1.000.000,000000	21.456,335000	-	1.021.456,335000	Padrão - SND	Reg.	
07/02/2019	PNXT11	1.000.000,000000	21.094,986000	-	1.021.094,986000	Padrão - SND	Reg.	
06/02/2019	PNXT11	1.000.000,000000	20.733,763000	-	1.020.733,763000	Padrão - SND	Reg.	
05/02/2019	PNXT11	1.000.000,000000	20.372,666000	-	1.020.372,666000	Padrão - SND	Reg.	
04/02/2019	PNXT11	1.000.000,000000	20.011,696000	-	1.020.011,696000	Padrão - SND	Reg.	
01/02/2019	PNXT11	1.000.000,000000	19.650,863000	-	1.019.650,863000	Padrão - SND	Reg.	
31/01/2019	PNXT11	1.000.000,000000	19.290,145000	-	1.019.290,145000	Padrão - SND	Reg.	
30/01/2019	PNXT11	1.000.000,000000	18.929,563000	-	1.018.929,563000	Padrão - SND	Reg.	
29/01/2019	PNXT11	1.000.000,000000	18.569,109000	-	1.018.569,109000	Padrão - SND	Reg.	
28/01/2019	PNXT11	1.000.000,000000	18.208,779000	-	1.018.208,779000	Padrão - SND	Reg.	
25/01/2019	PNXT11	1.000.000,000000	17.848,577000	-	1.017.848,577000	Padrão - SND	Reg.	
24/01/2019	PNXT11	1.000.000,000000	17.488,499000	-	1.017.488,499000	Padrão - SND	Reg.	
23/01/2019	PNXT11	1.000.000,000000	17.128,548000	-	1.017.128,548000	Padrão - SND	Reg.	
22/01/2019	PNXT11	1.000.000,000000	16.768,734000	-	1.016.768,734000	Padrão - SND	Reg.	
21/01/2019	PNXT11	1.000.000,000000	16.409,035000	-	1.016.409,035000	Padrão - SND	Reg.	
18/01/2019	PNXT11	1.000.000,000000	16.049,472000	-	1.016.049,472000	Padrão - SND	Reg.	
17/01/2019	PNXT11	1.000.000,000000	15.690,034000	-	1.015.690,034000	Padrão - SND	Reg.	
16/01/2019	PNXT11	1.000.000,000000	15.330,724000	-	1.015.330,724000	Padrão - SND	Reg.	
15/01/2019	PNXT11	1.000.000,000000	14.971,539000	-	1.014.971,539000	Padrão - SND	Reg.	
14/01/2019	PNXT11	1.000.000,000000	14.612,479000	-	1.014.612,479000	Padrão - SND	Reg.	
11/01/2019	PNXT11	1.000.000,000000	14.253,555000	-	1.014.253,555000	Padrão - SND	Reg.	
10/01/2019	PNXT11	1.000.000,000000	13.894,747000	-	1.013.894,747000	Padrão - SND	Reg.	
09/01/2019	PNXT11	1.000.000,000000	13.536,076000	-	1.013.536,076000	Padrão - SND	Reg.	
08/01/2019	PNXT11	1.000.000,000000	13.177,529000	-	1.013.177,529000	Padrão - SND	Reg.	
07/01/2019	PNXT11	1.000.000,000000	12.819,098000	-	1.012.819,098000	Padrão - SND	Reg.	
04/01/2019	PNXT11	1.000.000,000000	12.460,803000	-	1.012.460,803000	Padrão - SND	Reg.	
03/01/2019	PNXT11	1.000.000,000000	12.102,634000	-	1.012.102,634000	Padrão - SND	Reg.	
02/01/2019	PNXT11	1.000.000,000000	11.744,600000	-	1.011.744,600000	Padrão - SND	Reg.	
31/12/2018	PNXT11	1.000.000,000000	11.386,682000	-	1.011.386,682000	Padrão - SND	Reg.	
28/12/2018	PNXT11	1.000.000,000000	11.028,889000	-	1.011.028,889000	Padrão - SND	Reg.	
