PU Histórico - Gerado em 07/10/2018 01:15:44

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	PORG41	1.000,000000	79,616250	-	1.079,616250	Padrão - SND	Reg.	
04/10/2018	PORG41	1.000,000000	79,350510	-	1.079,350510	Padrão - SND	Reg.	
03/10/2018	PORG41	1.000,000000	79,084840	-	1.079,084840	Padrão - SND	Reg.	
02/10/2018	PORG41	1.000,000000	78,819230	-	1.078,819230	Padrão - SND	Reg.	
01/10/2018	PORG41	1.000,000000	78,553690	-	1.078,553690	Padrão - SND	Reg.	
28/09/2018	PORG41	1.000,000000	78,288620	-	1.078,288620	Padrão - SND	Reg.	
27/09/2018	PORG41	1.000,000000	78,023610	-	1.078,023610	Padrão - SND	Reg.	
26/09/2018	PORG41	1.000,000000	77,758660	-	1.077,758660	Padrão - SND	Reg.	
25/09/2018	PORG41	1.000,000000	77,493780	-	1.077,493780	Padrão - SND	Reg.	
24/09/2018	PORG41	1.000,000000	77,228970	-	1.077,228970	Padrão - SND	Reg.	
21/09/2018	PORG41	1.000,000000	76,964220	-	1.076,964220	Padrão - SND	Reg.	
20/09/2018	PORG41	1.000,000000	76,699530	-	1.076,699530	Padrão - SND	Reg.	
19/09/2018	PORG41	1.000,000000	76,434910	-	1.076,434910	Padrão - SND	Reg.	
18/09/2018	PORG41	1.000,000000	76,170360	-	1.076,170360	Padrão - SND	Reg.	
17/09/2018	PORG41	1.000,000000	75,905870	-	1.075,905870	Padrão - SND	Reg.	
14/09/2018	PORG41	1.000,000000	75,641440	-	1.075,641440	Padrão - SND	Reg.	
13/09/2018	PORG41	1.000,000000	75,377080	-	1.075,377080	Padrão - SND	Reg.	
12/09/2018	PORG41	1.000,000000	75,112790	-	1.075,112790	Padrão - SND	Reg.	
11/09/2018	PORG41	1.000,000000	74,848560	-	1.074,848560	Padrão - SND	Reg.	
10/09/2018	PORG41	1.000,000000	74,584390	-	1.074,584390	Padrão - SND	Reg.	
06/09/2018	PORG41	1.000,000000	74,320290	-	1.074,320290	Padrão - SND	Reg.	
05/09/2018	PORG41	1.000,000000	74,056260	-	1.074,056260	Padrão - SND	Reg.	
04/09/2018	PORG41	1.000,000000	73,792290	-	1.073,792290	Padrão - SND	Reg.	
03/09/2018	PORG41	1.000,000000	73,528380	-	1.073,528380	Padrão - SND	Reg.	
31/08/2018	PORG41	1.000,000000	73,264540	-	1.073,264540	Padrão - SND	Reg.	
30/08/2018	PORG41	1.000,000000	73,000760	-	1.073,000760	Padrão - SND	Reg.	
29/08/2018	PORG41	1.000,000000	72,737050	-	1.072,737050	Padrão - SND	Reg.	
28/08/2018	PORG41	1.000,000000	72,473410	-	1.072,473410	Padrão - SND	Reg.	
27/08/2018	PORG41	1.000,000000	72,209830	-	1.072,209830	Padrão - SND	Reg.	
24/08/2018	PORG41	1.000,000000	71,946310	-	1.071,946310	Padrão - SND	Reg.	
