PU Histórico - Gerado em 07/10/2018 01:16:28

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	RADL52	10.000,000000	7,664900	-	10.007,664900	Padrão - SND	Reg.	
04/10/2018	RADL52	10.000,000000	5,109300	-	10.005,109300	Padrão - SND	Reg.	
03/10/2018	RADL52	10.000,000000	2,554300	-	10.002,554300	Padrão - SND	Reg.	
02/10/2018	RADL52	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
01/10/2018	RADL52	10.000,000000	305,492400	-	10.305,492400	Padrão - SND	Reg.	
28/09/2018	RADL52	10.000,000000	302,864600	-	10.302,864600	Padrão - SND	Reg.	
27/09/2018	RADL52	10.000,000000	300,237600	-	10.300,237600	Padrão - SND	Reg.	
26/09/2018	RADL52	10.000,000000	297,611200	-	10.297,611200	Padrão - SND	Reg.	
25/09/2018	RADL52	10.000,000000	294,985500	-	10.294,985500	Padrão - SND	Reg.	
24/09/2018	RADL52	10.000,000000	292,360400	-	10.292,360400	Padrão - SND	Reg.	
21/09/2018	RADL52	10.000,000000	289,736000	-	10.289,736000	Padrão - SND	Reg.	
20/09/2018	RADL52	10.000,000000	287,112300	-	10.287,112300	Padrão - SND	Reg.	
19/09/2018	RADL52	10.000,000000	284,489300	-	10.284,489300	Padrão - SND	Reg.	
18/09/2018	RADL52	10.000,000000	281,866900	-	10.281,866900	Padrão - SND	Reg.	
17/09/2018	RADL52	10.000,000000	279,245200	-	10.279,245200	Padrão - SND	Reg.	
14/09/2018	RADL52	10.000,000000	276,624200	-	10.276,624200	Padrão - SND	Reg.	
13/09/2018	RADL52	10.000,000000	274,003800	-	10.274,003800	Padrão - SND	Reg.	
12/09/2018	RADL52	10.000,000000	271,384100	-	10.271,384100	Padrão - SND	Reg.	
11/09/2018	RADL52	10.000,000000	268,765000	-	10.268,765000	Padrão - SND	Reg.	
10/09/2018	RADL52	10.000,000000	266,146700	-	10.266,146700	Padrão - SND	Reg.	
06/09/2018	RADL52	10.000,000000	263,529000	-	10.263,529000	Padrão - SND	Reg.	
05/09/2018	RADL52	10.000,000000	260,911900	-	10.260,911900	Padrão - SND	Reg.	
04/09/2018	RADL52	10.000,000000	258,295600	-	10.258,295600	Padrão - SND	Reg.	
03/09/2018	RADL52	10.000,000000	255,679900	-	10.255,679900	Padrão - SND	Reg.	
31/08/2018	RADL52	10.000,000000	253,064900	-	10.253,064900	Padrão - SND	Reg.	
30/08/2018	RADL52	10.000,000000	250,450500	-	10.250,450500	Padrão - SND	Reg.	
29/08/2018	RADL52	10.000,000000	247,836800	-	10.247,836800	Padrão - SND	Reg.	
28/08/2018	RADL52	10.000,000000	245,223800	-	10.245,223800	Padrão - SND	Reg.	
27/08/2018	RADL52	10.000,000000	242,611400	-	10.242,611400	Padrão - SND	Reg.	
24/08/2018	RADL52	10.000,000000	239,999700	-	10.239,999700	Padrão - SND	Reg.	
23/08/2018	RADL52	10.000,000000	237,388700	-	10.237,388700	Padrão - SND	Reg.	
22/08/2018	RADL52	10.000,000000	234,778300	-	10.234,778300	Padrão - SND	Reg.	
21/08/2018	RADL52	10.000,000000	232,168600	-	10.232,168600	Padrão - SND	Reg.	
20/08/2018	RADL52	10.000,000000	229,559600	-	10.229,559600	Padrão - SND	Reg.	
17/08/2018	RADL52	10.000,000000	226,951200	-	10.226,951200	Padrão - SND	Reg.	
16/08/2018	RADL52	10.000,000000	224,343500	-	10.224,343500	Padrão - SND	Reg.	
15/08/2018	RADL52	10.000,000000	221,736500	-	10.221,736500	Padrão - SND	Reg.	
14/08/2018	RADL52	10.000,000000	219,130100	-	10.219,130100	Padrão - SND	Reg.	
13/08/2018	RADL52	10.000,000000	216,524400	-	10.216,524400	Padrão - SND	Reg.	
10/08/2018	RADL52	10.000,000000	213,919300	-	10.213,919300	Padrão - SND	Reg.	
09/08/2018	RADL52	10.000,000000	211,314900	-	10.211,314900	Padrão - SND	Reg.	
08/08/2018	RADL52	10.000,000000	208,711200	-	10.208,711200	Padrão - SND	Reg.	
07/08/2018	RADL52	10.000,000000	206,108200	-	10.206,108200	Padrão - SND	Reg.	
06/08/2018	RADL52	10.000,000000	203,505800	-	10.203,505800	Padrão - SND	Reg.	
03/08/2018	RADL52	10.000,000000	200,904100	-	10.200,904100	Padrão - SND	Reg.	
02/08/2018	RADL52	10.000,000000	198,303000	-	10.198,303000	Padrão - SND	Reg.	
01/08/2018	RADL52	10.000,000000	195,702600	-	10.195,702600	Padrão - SND	Reg.	
31/07/2018	RADL52	10.000,000000	193,102900	-	10.193,102900	Padrão - SND	Reg.	
30/07/2018	RADL52	10.000,000000	190,503800	-	10.190,503800	Padrão - SND	Reg.	
27/07/2018	RADL52	10.000,000000	187,905400	-	10.187,905400	Padrão - SND	Reg.	
26/07/2018	RADL52	10.000,000000	185,307600	-	10.185,307600	Padrão - SND	Reg.	
25/07/2018	RADL52	10.000,000000	182,710500	-	10.182,710500	Padrão - SND	Reg.	
24/07/2018	RADL52	10.000,000000	180,114100	-	10.180,114100	Padrão - SND	Reg.	
23/07/2018	RADL52	10.000,000000	177,518300	-	10.177,518300	Padrão - SND	Reg.	
20/07/2018	RADL52	10.000,000000	174,923200	-	10.174,923200	Padrão - SND	Reg.	
19/07/2018	RADL52	10.000,000000	172,328800	-	10.172,328800	Padrão - SND	Reg.	
18/07/2018	RADL52	10.000,000000	169,735000	-	10.169,735000	Padrão - SND	Reg.	
17/07/2018	RADL52	10.000,000000	167,141900	-	10.167,141900	Padrão - SND	Reg.	
16/07/2018	RADL52	10.000,000000	164,549500	-	10.164,549500	Padrão - SND	Reg.	
13/07/2018	RADL52	10.000,000000	161,957700	-	10.161,957700	Padrão - SND	Reg.	
12/07/2018	RADL52	10.000,000000	159,366500	-	10.159,366500	Padrão - SND	Reg.	
11/07/2018	RADL52	10.000,000000	156,776100	-	10.156,776100	Padrão - SND	Reg.	
10/07/2018	RADL52	10.000,000000	154,186300	-	10.154,186300	Padrão - SND	Reg.	
09/07/2018	RADL52	10.000,000000	151,597100	-	10.151,597100	Padrão - SND	Reg.	
06/07/2018	RADL52	10.000,000000	149,008600	-	10.149,008600	Padrão - SND	Reg.	
05/07/2018	RADL52	10.000,000000	146,420800	-	10.146,420800	Padrão - SND	Reg.	
04/07/2018	RADL52	10.000,000000	143,833600	-	10.143,833600	Padrão - SND	Reg.	
03/07/2018	RADL52	10.000,000000	141,247100	-	10.141,247100	Padrão - SND	Reg.	
02/07/2018	RADL52	10.000,000000	138,661200	-	10.138,661200	Padrão - SND	Reg.	
29/06/2018	RADL52	10.000,000000	136,076100	-	10.136,076100	Padrão - SND	Reg.	
28/06/2018	RADL52	10.000,000000	133,491500	-	10.133,491500	Padrão - SND	Reg.	
27/06/2018	RADL52	10.000,000000	130,907600	-	10.130,907600	Padrão - SND	Reg.	
26/06/2018	RADL52	10.000,000000	128,324400	-	10.128,324400	Padrão - SND	Reg.	
25/06/2018	RADL52	10.000,000000	125,741900	-	10.125,741900	Padrão - SND	Reg.	
22/06/2018	RADL52	10.000,000000	123,160000	-	10.123,160000	Padrão - SND	Reg.	
21/06/2018	RADL52	10.000,000000	120,578700	-	10.120,578700	Padrão - SND	Reg.	
20/06/2018	RADL52	10.000,000000	117,998200	-	10.117,998200	Padrão - SND	Reg.	
19/06/2018	RADL52	10.000,000000	115,418200	-	10.115,418200	Padrão - SND	Reg.	
18/06/2018	RADL52	10.000,000000	112,839000	-	10.112,839000	Padrão - SND	Reg.	
15/06/2018	RADL52	10.000,000000	110,260400	-	10.110,260400	Padrão - SND	Reg.	
14/06/2018	RADL52	10.000,000000	107,682400	-	10.107,682400	Padrão - SND	Reg.	
13/06/2018	RADL52	10.000,000000	105,105100	-	10.105,105100	Padrão - SND	Reg.	
12/06/2018	RADL52	10.000,000000	102,528500	-	10.102,528500	Padrão - SND	Reg.	
11/06/2018	RADL52	10.000,000000	99,952500	-	10.099,952500	Padrão - SND	Reg.	
