PU Histórico - Gerado em 07/10/2018 01:16:39

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	RAPT12	50.000,000000	792,459050	-	50.792,459050	Padrão - SND	Reg.	
04/10/2018	RAPT12	50.000,000000	777,652900	-	50.777,652900	Padrão - SND	Reg.	
03/10/2018	RAPT12	50.000,000000	762,850950	-	50.762,850950	Padrão - SND	Reg.	
02/10/2018	RAPT12	50.000,000000	748,053800	-	50.748,053800	Padrão - SND	Reg.	
01/10/2018	RAPT12	50.000,000000	733,260350	-	50.733,260350	Padrão - SND	Reg.	
28/09/2018	RAPT12	50.000,000000	718,490250	-	50.718,490250	Padrão - SND	Reg.	
27/09/2018	RAPT12	50.000,000000	703,724850	-	50.703,724850	Padrão - SND	Reg.	
26/09/2018	RAPT12	50.000,000000	688,963200	-	50.688,963200	Padrão - SND	Reg.	
25/09/2018	RAPT12	50.000,000000	674,205800	-	50.674,205800	Padrão - SND	Reg.	
24/09/2018	RAPT12	50.000,000000	659,453100	-	50.659,453100	Padrão - SND	Reg.	
21/09/2018	RAPT12	50.000,000000	644,704700	-	50.644,704700	Padrão - SND	Reg.	
20/09/2018	RAPT12	50.000,000000	629,960050	-	50.629,960050	Padrão - SND	Reg.	
19/09/2018	RAPT12	50.000,000000	615,220100	-	50.615,220100	Padrão - SND	Reg.	
18/09/2018	RAPT12	50.000,000000	600,484400	-	50.600,484400	Padrão - SND	Reg.	
17/09/2018	RAPT12	50.000,000000	585,752900	-	50.585,752900	Padrão - SND	Reg.	
14/09/2018	RAPT12	50.000,000000	571,026150	-	50.571,026150	Padrão - SND	Reg.	
13/09/2018	RAPT12	50.000,000000	556,303150	-	50.556,303150	Padrão - SND	Reg.	
12/09/2018	RAPT12	50.000,000000	541,584400	-	50.541,584400	Padrão - SND	Reg.	
11/09/2018	RAPT12	50.000,000000	526,870350	-	50.526,870350	Padrão - SND	Reg.	
