PU Histórico - Gerado em 17/02/2019 12:19:42

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
15/02/2019	RCCA11	1.000,000000	12,570180	-	1.012,570180	Padrão - SND	Reg.	
14/02/2019	RCCA11	1.000,000000	12,269059	-	1.012,269059	Padrão - SND	Reg.	
13/02/2019	RCCA11	1.000,000000	11,968036	-	1.011,968036	Padrão - SND	Reg.	
12/02/2019	RCCA11	1.000,000000	11,667092	-	1.011,667092	Padrão - SND	Reg.	
11/02/2019	RCCA11	1.000,000000	11,366246	-	1.011,366246	Padrão - SND	Reg.	
08/02/2019	RCCA11	1.000,000000	11,065488	-	1.011,065488	Padrão - SND	Reg.	
07/02/2019	RCCA11	1.000,000000	10,764809	-	1.010,764809	Padrão - SND	Reg.	
06/02/2019	RCCA11	1.000,000000	10,464227	-	1.010,464227	Padrão - SND	Reg.	
05/02/2019	RCCA11	1.000,000000	10,163735	-	1.010,163735	Padrão - SND	Reg.	
04/02/2019	RCCA11	1.000,000000	9,863340	-	1.009,863340	Padrão - SND	Reg.	
01/02/2019	RCCA11	1.000,000000	9,563023	-	1.009,563023	Padrão - SND	Reg.	
31/01/2019	RCCA11	1.000,000000	9,262795	-	1.009,262795	Padrão - SND	Reg.	
30/01/2019	RCCA11	1.000,000000	8,962665	-	1.008,962665	Padrão - SND	Reg.	
29/01/2019	RCCA11	1.000,000000	8,662613	-	1.008,662613	Padrão - SND	Reg.	
28/01/2019	RCCA11	1.000,000000	8,362660	-	1.008,362660	Padrão - SND	Reg.	
25/01/2019	RCCA11	1.000,000000	8,062794	-	1.008,062794	Padrão - SND	Reg.	
24/01/2019	RCCA11	1.000,000000	7,763017	-	1.007,763017	Padrão - SND	Reg.	
23/01/2019	RCCA11	1.000,000000	7,463328	-	1.007,463328	Padrão - SND	Reg.	
22/01/2019	RCCA11	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
