PU Histórico - Gerado em 07/10/2018 01:17:00

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	RCHL12	500,000000	27,641175	-	527,641175	Padrão - SND	Reg.	
04/10/2018	RCHL12	500,000000	27,495465	-	527,495465	Padrão - SND	Reg.	
03/10/2018	RCHL12	500,000000	27,349790	-	527,349790	Padrão - SND	Reg.	
02/10/2018	RCHL12	500,000000	27,204155	-	527,204155	Padrão - SND	Reg.	
01/10/2018	RCHL12	500,000000	27,058565	-	527,058565	Padrão - SND	Reg.	
28/09/2018	RCHL12	500,000000	26,913230	-	526,913230	Padrão - SND	Reg.	
27/09/2018	RCHL12	500,000000	26,767935	-	526,767935	Padrão - SND	Reg.	
26/09/2018	RCHL12	500,000000	26,622685	-	526,622685	Padrão - SND	Reg.	
25/09/2018	RCHL12	500,000000	26,477470	-	526,477470	Padrão - SND	Reg.	
24/09/2018	RCHL12	500,000000	26,332295	-	526,332295	Padrão - SND	Reg.	
21/09/2018	RCHL12	500,000000	26,187160	-	526,187160	Padrão - SND	Reg.	
20/09/2018	RCHL12	500,000000	26,042070	-	526,042070	Padrão - SND	Reg.	
19/09/2018	RCHL12	500,000000	25,897015	-	525,897015	Padrão - SND	Reg.	
18/09/2018	RCHL12	500,000000	25,752000	-	525,752000	Padrão - SND	Reg.	
17/09/2018	RCHL12	500,000000	25,607030	-	525,607030	Padrão - SND	Reg.	
14/09/2018	RCHL12	500,000000	25,462095	-	525,462095	Padrão - SND	Reg.	
13/09/2018	RCHL12	500,000000	25,317200	-	525,317200	Padrão - SND	Reg.	
12/09/2018	RCHL12	500,000000	25,172345	-	525,172345	Padrão - SND	Reg.	
11/09/2018	RCHL12	500,000000	25,027535	-	525,027535	Padrão - SND	Reg.	
10/09/2018	RCHL12	500,000000	24,882760	-	524,882760	Padrão - SND	Reg.	
06/09/2018	RCHL12	500,000000	24,738025	-	524,738025	Padrão - SND	Reg.	
05/09/2018	RCHL12	500,000000	24,593330	-	524,593330	Padrão - SND	Reg.	
04/09/2018	RCHL12	500,000000	24,448675	-	524,448675	Padrão - SND	Reg.	
03/09/2018	RCHL12	500,000000	24,304065	-	524,304065	Padrão - SND	Reg.	
31/08/2018	RCHL12	500,000000	24,159490	-	524,159490	Padrão - SND	Reg.	
30/08/2018	RCHL12	500,000000	24,014955	-	524,014955	Padrão - SND	Reg.	
29/08/2018	RCHL12	500,000000	23,870460	-	523,870460	Padrão - SND	Reg.	
28/08/2018	RCHL12	500,000000	23,726005	-	523,726005	Padrão - SND	Reg.	
27/08/2018	RCHL12	500,000000	23,581590	-	523,581590	Padrão - SND	Reg.	
24/08/2018	RCHL12	500,000000	23,437215	-	523,437215	Padrão - SND	Reg.	
23/08/2018	RCHL12	500,000000	23,292880	-	523,292880	Padrão - SND	Reg.	
22/08/2018	RCHL12	500,000000	23,148585	-	523,148585	Padrão - SND	Reg.	
21/08/2018	RCHL12	500,000000	23,004330	-	523,004330	Padrão - SND	Reg.	
20/08/2018	RCHL12	500,000000	22,860110	-	522,860110	Padrão - SND	Reg.	
17/08/2018	RCHL12	500,000000	22,715935	-	522,715935	Padrão - SND	Reg.	
16/08/2018	RCHL12	500,000000	22,571800	-	522,571800	Padrão - SND	Reg.	
15/08/2018	RCHL12	500,000000	22,427705	-	522,427705	Padrão - SND	Reg.	
14/08/2018	RCHL12	500,000000	22,283645	-	522,283645	Padrão - SND	Reg.	
13/08/2018	RCHL12	500,000000	22,139630	-	522,139630	Padrão - SND	Reg.	
10/08/2018	RCHL12	500,000000	21,995650	-	521,995650	Padrão - SND	Reg.	
09/08/2018	RCHL12	500,000000	21,851715	-	521,851715	Padrão - SND	Reg.	
08/08/2018	RCHL12	500,000000	21,707815	-	521,707815	Padrão - SND	Reg.	
07/08/2018	RCHL12	500,000000	21,563955	-	521,563955	Padrão - SND	Reg.	
06/08/2018	RCHL12	500,000000	21,420140	-	521,420140	Padrão - SND	Reg.	
03/08/2018	RCHL12	500,000000	21,276360	-	521,276360	Padrão - SND	Reg.	
02/08/2018	RCHL12	500,000000	21,132620	-	521,132620	Padrão - SND	Reg.	
01/08/2018	RCHL12	500,000000	20,988920	-	520,988920	Padrão - SND	Reg.	
31/07/2018	RCHL12	500,000000	20,845260	-	520,845260	Padrão - SND	Reg.	
30/07/2018	RCHL12	500,000000	20,701640	-	520,701640	Padrão - SND	Reg.	
27/07/2018	RCHL12	500,000000	20,558060	-	520,558060	Padrão - SND	Reg.	
26/07/2018	RCHL12	500,000000	20,414515	-	520,414515	Padrão - SND	Reg.	
25/07/2018	RCHL12	500,000000	20,271015	-	520,271015	Padrão - SND	Reg.	
24/07/2018	RCHL12	500,000000	20,127555	-	520,127555	Padrão - SND	Reg.	
23/07/2018	RCHL12	500,000000	19,984130	-	519,984130	Padrão - SND	Reg.	
20/07/2018	RCHL12	500,000000	19,840745	-	519,840745	Padrão - SND	Reg.	
19/07/2018	RCHL12	500,000000	19,697405	-	519,697405	Padrão - SND	Reg.	
18/07/2018	RCHL12	500,000000	19,554100	-	519,554100	Padrão - SND	Reg.	
17/07/2018	RCHL12	500,000000	19,410835	-	519,410835	Padrão - SND	Reg.	
16/07/2018	RCHL12	500,000000	19,267610	-	519,267610	Padrão - SND	Reg.	
13/07/2018	RCHL12	500,000000	19,124425	-	519,124425	Padrão - SND	Reg.	
12/07/2018	RCHL12	500,000000	18,981280	-	518,981280	Padrão - SND	Reg.	
11/07/2018	RCHL12	500,000000	18,838170	-	518,838170	Padrão - SND	Reg.	
10/07/2018	RCHL12	500,000000	18,695105	-	518,695105	Padrão - SND	Reg.	
09/07/2018	RCHL12	500,000000	18,552075	-	518,552075	Padrão - SND	Reg.	
06/07/2018	RCHL12	500,000000	18,409090	-	518,409090	Padrão - SND	Reg.	
05/07/2018	RCHL12	500,000000	18,266140	-	518,266140	Padrão - SND	Reg.	
04/07/2018	RCHL12	500,000000	18,123230	-	518,123230	Padrão - SND	Reg.	
03/07/2018	RCHL12	500,000000	17,980360	-	517,980360	Padrão - SND	Reg.	
02/07/2018	RCHL12	500,000000	17,837530	-	517,837530	Padrão - SND	Reg.	
29/06/2018	RCHL12	500,000000	17,694740	-	517,694740	Padrão - SND	Reg.	
28/06/2018	RCHL12	500,000000	17,551985	-	517,551985	Padrão - SND	Reg.	
27/06/2018	RCHL12	500,000000	17,409275	-	517,409275	Padrão - SND	Reg.	
26/06/2018	RCHL12	500,000000	17,266600	-	517,266600	Padrão - SND	Reg.	
25/06/2018	RCHL12	500,000000	17,123965	-	517,123965	Padrão - SND	Reg.	
22/06/2018	RCHL12	500,000000	16,981375	-	516,981375	Padrão - SND	Reg.	
21/06/2018	RCHL12	500,000000	16,838820	-	516,838820	Padrão - SND	Reg.	
20/06/2018	RCHL12	500,000000	16,696300	-	516,696300	Padrão - SND	Reg.	
