PU Histórico - Gerado em 07/10/2018 01:17:11

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	RDCO18	10.000,000000	108,753890	-	10.108,753890	Padrão - SND	Reg.	
04/10/2018	RDCO18	10.000,000000	105,334250	-	10.105,334250	Padrão - SND	Reg.	
03/10/2018	RDCO18	10.000,000000	101,915670	-	10.101,915670	Padrão - SND	Reg.	
02/10/2018	RDCO18	10.000,000000	98,498330	-	10.098,498330	Padrão - SND	Reg.	
01/10/2018	RDCO18	10.000,000000	95,082130	-	10.095,082130	Padrão - SND	Reg.	
28/09/2018	RDCO18	10.000,000000	91,670890	-	10.091,670890	Padrão - SND	Reg.	
27/09/2018	RDCO18	10.000,000000	88,260700	-	10.088,260700	Padrão - SND	Reg.	
26/09/2018	RDCO18	10.000,000000	84,851650	-	10.084,851650	Padrão - SND	Reg.	
25/09/2018	RDCO18	10.000,000000	81,443840	-	10.081,443840	Padrão - SND	Reg.	
24/09/2018	RDCO18	10.000,000000	78,037180	-	10.078,037180	Padrão - SND	Reg.	
21/09/2018	RDCO18	10.000,000000	74,631570	-	10.074,631570	Padrão - SND	Reg.	
20/09/2018	RDCO18	10.000,000000	71,227190	-	10.071,227190	Padrão - SND	Reg.	
19/09/2018	RDCO18	10.000,000000	67,823950	-	10.067,823950	Padrão - SND	Reg.	
18/09/2018	RDCO18	10.000,000000	64,421860	-	10.064,421860	Padrão - SND	Reg.	
17/09/2018	RDCO18	10.000,000000	61,020920	-	10.061,020920	Padrão - SND	Reg.	
14/09/2018	RDCO18	10.000,000000	57,621120	-	10.057,621120	Padrão - SND	Reg.	
13/09/2018	RDCO18	10.000,000000	54,222460	-	10.054,222460	Padrão - SND	Reg.	
12/09/2018	RDCO18	10.000,000000	50,824940	-	10.050,824940	Padrão - SND	Reg.	
11/09/2018	RDCO18	10.000,000000	47,428550	-	10.047,428550	Padrão - SND	Reg.	
10/09/2018	RDCO18	10.000,000000	44,033420	-	10.044,033420	Padrão - SND	Reg.	
06/09/2018	RDCO18	10.000,000000	40,639320	-	10.040,639320	Padrão - SND	Reg.	
05/09/2018	RDCO18	10.000,000000	37,246470	-	10.037,246470	Padrão - SND	Reg.	
04/09/2018	RDCO18	10.000,000000	33,854650	-	10.033,854650	Padrão - SND	Reg.	
03/09/2018	RDCO18	10.000,000000	30,464080	-	10.030,464080	Padrão - SND	Reg.	
31/08/2018	RDCO18	10.000,000000	27,074550	-	10.027,074550	Padrão - SND	Reg.	
30/08/2018	RDCO18	10.000,000000	23,686250	-	10.023,686250	Padrão - SND	Reg.	
29/08/2018	RDCO18	10.000,000000	20,299100	-	10.020,299100	Padrão - SND	Reg.	
28/08/2018	RDCO18	10.000,000000	16,912990	-	10.016,912990	Padrão - SND	Reg.	
27/08/2018	RDCO18	10.000,000000	13,528110	-	10.013,528110	Padrão - SND	Reg.	
24/08/2018	RDCO18	10.000,000000	10,144380	-	10.010,144380	Padrão - SND	Reg.	
23/08/2018	RDCO18	10.000,000000	6,761780	-	10.006,761780	Padrão - SND	Reg.	
22/08/2018	RDCO18	10.000,000000	3,380320	-	10.003,380320	Padrão - SND	Reg.	
21/08/2018	RDCO18	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	
20/08/2018	RDCO18	10.000,000000	-  	-	10.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
