PU Histórico - Gerado em 07/10/2018 01:17:23

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	RDNT26	1.038,125890	43,841013	-	1.081,966903	Padrão - SND	Reg.	
04/10/2018	RDNT26	1.038,175030	43,654261	-	1.081,829291	Padrão - SND	Reg.	
03/10/2018	RDNT26	1.038,224170	43,467523	-	1.081,691693	Padrão - SND	Reg.	
02/10/2018	RDNT26	1.038,273330	43,280802	-	1.081,554132	Padrão - SND	Reg.	
01/10/2018	RDNT26	1.038,322480	43,094095	-	1.081,416575	Padrão - SND	Reg.	
28/09/2018	RDNT26	1.038,371630	42,907402	-	1.081,279032	Padrão - SND	Reg.	
27/09/2018	RDNT26	1.038,420780	42,720726	-	1.081,141506	Padrão - SND	Reg.	
26/09/2018	RDNT26	1.038,469950	42,534066	-	1.081,004016	Padrão - SND	Reg.	
25/09/2018	RDNT26	1.038,519100	42,347418	-	1.080,866518	Padrão - SND	Reg.	
24/09/2018	RDNT26	1.038,568260	42,160788	-	1.080,729048	Padrão - SND	Reg.	
21/09/2018	RDNT26	1.038,617430	41,974172	-	1.080,591602	Padrão - SND	Reg.	
20/09/2018	RDNT26	1.038,666590	41,787571	-	1.080,454161	Padrão - SND	Reg.	
19/09/2018	RDNT26	1.038,715760	41,600985	-	1.080,316745	Padrão - SND	Reg.	
18/09/2018	RDNT26	1.038,764940	41,414414	-	1.080,179354	Padrão - SND	Reg.	
17/09/2018	RDNT26	1.038,814110	41,227859	-	1.080,041969	Padrão - SND	Reg.	
14/09/2018	RDNT26	1.038,856590	41,041055	-	1.079,897645	Padrão - SND	Reg.	
13/09/2018	RDNT26	1.038,899060	40,854267	-	1.079,753327	Padrão - SND	Reg.	
12/09/2018	RDNT26	1.038,941540	40,667498	-	1.079,609038	Padrão - SND	Reg.	
11/09/2018	RDNT26	1.038,984010	40,480745	-	1.079,464755	Padrão - SND	Reg.	
10/09/2018	RDNT26	1.039,026480	40,294010	-	1.079,320490	Padrão - SND	Reg.	
06/09/2018	RDNT26	1.042,243630	40,229832	-	1.082,473462	Padrão - SND	Reg.	
05/09/2018	RDNT26	1.042,087540	40,034928	-	1.082,122468	Padrão - SND	Reg.	
04/09/2018	RDNT26	1.041,931460	39,840114	-	1.081,771574	Padrão - SND	Reg.	
03/09/2018	RDNT26	1.041,775400	39,645391	-	1.081,420791	Padrão - SND	Reg.	
31/08/2018	RDNT26	1.041,619380	39,450758	-	1.081,070138	Padrão - SND	Reg.	
30/08/2018	RDNT26	1.041,463370	39,256215	-	1.080,719585	Padrão - SND	Reg.	
29/08/2018	RDNT26	1.041,307390	39,061762	-	1.080,369152	Padrão - SND	Reg.	
28/08/2018	RDNT26	1.041,151440	38,867400	-	1.080,018840	Padrão - SND	Reg.	
27/08/2018	RDNT26	1.040,995500	38,673129	-	1.079,668629	Padrão - SND	Reg.	
24/08/2018	RDNT26	1.040,839590	38,478948	-	1.079,318538	Padrão - SND	Reg.	
23/08/2018	RDNT26	1.040,683700	38,284855	-	1.078,968555	Padrão - SND	Reg.	
22/08/2018	RDNT26	1.040,527840	38,090854	-	1.078,618694	Padrão - SND	Reg.	
21/08/2018	RDNT26	1.040,371990	37,896943	-	1.078,268933	Padrão - SND	Reg.	
20/08/2018	RDNT26	1.040,216170	37,703122	-	1.077,919292	Padrão - SND	Reg.	
17/08/2018	RDNT26	1.040,060380	37,509391	-	1.077,569771	Padrão - SND	Reg.	
16/08/2018	RDNT26	1.039,904610	37,315750	-	1.077,220360	Padrão - SND	Reg.	
15/08/2018	RDNT26	1.039,748870	37,122199	-	1.076,871069	Padrão - SND	Reg.	
14/08/2018	RDNT26	1.039,593140	36,928737	-	1.076,521877	Padrão - SND	Reg.	
13/08/2018	RDNT26	1.039,437440	36,735366	-	1.076,172806	Padrão - SND	Reg.	
10/08/2018	RDNT26	1.039,281770	36,542084	-	1.075,823854	Padrão - SND	Reg.	
09/08/2018	RDNT26	1.039,126110	36,348892	-	1.075,475002	Padrão - SND	Reg.	
08/08/2018	RDNT26	1.046,404120	36,414478	-	1.082,818598	Padrão - SND	Reg.	
07/08/2018	RDNT26	1.045,808720	36,204899	-	1.082,013619	Padrão - SND	Reg.	
06/08/2018	RDNT26	1.045,213660	35,995579	-	1.081,209239	Padrão - SND	Reg.	
03/08/2018	RDNT26	1.044,618940	35,786519	-	1.080,405459	Padrão - SND	Reg.	
02/08/2018	RDNT26	1.044,024560	35,577718	-	1.079,602278	Padrão - SND	Reg.	
01/08/2018	RDNT26	1.043,430520	35,369175	-	1.078,799695	Padrão - SND	Reg.	
31/07/2018	RDNT26	1.042,836810	35,160891	-	1.077,997701	Padrão - SND	Reg.	
30/07/2018	RDNT26	1.042,243450	34,952866	-	1.077,196316	Padrão - SND	Reg.	
27/07/2018	RDNT26	1.041,650420	34,745099	-	1.076,395519	Padrão - SND	Reg.	
26/07/2018	RDNT26	1.041,057720	34,537589	-	1.075,595309	Padrão - SND	Reg.	
25/07/2018	RDNT26	1.040,465370	34,330337	-	1.074,795707	Padrão - SND	Reg.	
24/07/2018	RDNT26	1.039,873350	34,123343	-	1.073,996693	Padrão - SND	Reg.	
23/07/2018	RDNT26	1.039,281670	33,916606	-	1.073,198276	Padrão - SND	Reg.	
20/07/2018	RDNT26	1.038,690320	33,710125	-	1.072,400445	Padrão - SND	Reg.	
19/07/2018	RDNT26	1.038,099320	33,503902	-	1.071,603222	Padrão - SND	Reg.	
18/07/2018	RDNT26	1.037,508640	33,297934	-	1.070,806574	Padrão - SND	Reg.	
17/07/2018	RDNT26	1.036,918300	33,092223	-	1.070,010523	Padrão - SND	Reg.	
16/07/2018	RDNT26	1.036,328310	32,886768	-	1.069,215078	Padrão - SND	Reg.	
13/07/2018	RDNT26	1.035,710580	32,680682	-	1.068,391262	Padrão - SND	Reg.	
12/07/2018	RDNT26	1.035,093200	32,474863	-	1.067,568063	Padrão - SND	Reg.	
11/07/2018	RDNT26	1.034,476210	32,269310	-	1.066,745520	Padrão - SND	Reg.	
10/07/2018	RDNT26	1.033,859580	32,064024	-	1.065,923604	Padrão - SND	Reg.	
09/07/2018	RDNT26	1.033,243320	31,859003	-	1.065,102323	Padrão - SND	Reg.	
06/07/2018	RDNT26	1.026,355730	31,461995	-	1.057,817725	Padrão - SND	Reg.	
05/07/2018	RDNT26	1.026,160610	31,271444	-	1.057,432054	Padrão - SND	Reg.	
04/07/2018	RDNT26	1.025,965530	31,080997	-	1.057,046527	Padrão - SND	Reg.	
