PU Histórico - Gerado em 07/10/2018 01:17:30

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	RENA11	3.750,000000	13,631213	-	3.763,631212	Padrão - SND	Reg.	
04/10/2018	RENA11	3.750,000000	12,579788	-	3.762,579787	Padrão - SND	Reg.	
03/10/2018	RENA11	3.750,000000	11,528700	-	3.761,528700	Padrão - SND	Reg.	
02/10/2018	RENA11	3.750,000000	10,477875	-	3.760,477875	Padrão - SND	Reg.	
01/10/2018	RENA11	3.750,000000	9,427350	-	3.759,427350	Padrão - SND	Reg.	
28/09/2018	RENA11	3.750,000000	8,378700	-	3.758,378700	Padrão - SND	Reg.	
27/09/2018	RENA11	3.750,000000	7,330312	-	3.757,330313	Padrão - SND	Reg.	
26/09/2018	RENA11	3.750,000000	6,282262	-	3.756,282262	Padrão - SND	Reg.	
25/09/2018	RENA11	3.750,000000	5,234475	-	3.755,234475	Padrão - SND	Reg.	
24/09/2018	RENA11	3.750,000000	4,187025	-	3.754,187025	Padrão - SND	Reg.	
21/09/2018	RENA11	3.750,000000	3,139800	-	3.753,139800	Padrão - SND	Reg.	
20/09/2018	RENA11	3.750,000000	2,092913	-	3.752,092912	Padrão - SND	Reg.	
19/09/2018	RENA11	3.750,000000	1,046325	-	3.751,046325	Padrão - SND	Reg.	
18/09/2018	RENA11	3.750,000000	-  	-	3.750,000000	Padrão - SND	Reg.	
17/09/2018	RENA11	4.375,000000	78,815406	-	4.453,815406	Padrão - SND	Reg.	
14/09/2018	RENA11	4.375,000000	77,573037	-	4.452,573038	Padrão - SND	Reg.	
13/09/2018	RENA11	4.375,000000	76,331063	-	4.451,331063	Padrão - SND	Reg.	
12/09/2018	RENA11	4.375,000000	75,089394	-	4.450,089394	Padrão - SND	Reg.	
11/09/2018	RENA11	4.375,000000	73,848075	-	4.448,848075	Padrão - SND	Reg.	
10/09/2018	RENA11	4.375,000000	72,607150	-	4.447,607150	Padrão - SND	Reg.	
06/09/2018	RENA11	4.375,000000	71,366531	-	4.446,366531	Padrão - SND	Reg.	
05/09/2018	RENA11	4.375,000000	70,126262	-	4.445,126262	Padrão - SND	Reg.	
