PU Histórico - Gerado em 07/10/2018 01:17:38

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	RESA31	1.351,490260	83,405024	-	1.434,895284	Padrão - SND	Reg.	
04/10/2018	RESA31	1.351,554220	83,056837	-	1.434,611057	Padrão - SND	Reg.	
03/10/2018	RESA31	1.351,618200	82,708703	-	1.434,326903	Padrão - SND	Reg.	
02/10/2018	RESA31	1.351,682200	82,360625	-	1.434,042825	Padrão - SND	Reg.	
01/10/2018	RESA31	1.351,746180	82,012598	-	1.433,758778	Padrão - SND	Reg.	
28/09/2018	RESA31	1.351,810180	81,664625	-	1.433,474805	Padrão - SND	Reg.	
27/09/2018	RESA31	1.351,874160	81,316706	-	1.433,190866	Padrão - SND	Reg.	
26/09/2018	RESA31	1.351,938170	80,968840	-	1.432,907010	Padrão - SND	Reg.	
25/09/2018	RESA31	1.352,002160	80,621026	-	1.432,623186	Padrão - SND	Reg.	
24/09/2018	RESA31	1.352,066160	80,273264	-	1.432,339424	Padrão - SND	Reg.	
21/09/2018	RESA31	1.352,130160	79,925558	-	1.432,055718	Padrão - SND	Reg.	
20/09/2018	RESA31	1.352,194170	79,577903	-	1.431,772073	Padrão - SND	Reg.	
19/09/2018	RESA31	1.352,258180	79,230302	-	1.431,488482	Padrão - SND	Reg.	
18/09/2018	RESA31	1.352,322200	78,882755	-	1.431,204955	Padrão - SND	Reg.	
17/09/2018	RESA31	1.352,386230	78,535262	-	1.430,921492	Padrão - SND	Reg.	
14/09/2018	RESA31	1.352,441520	78,187315	-	1.430,628835	Padrão - SND	Reg.	
13/09/2018	RESA31	1.352,496810	77,839427	-	1.430,336237	Padrão - SND	Reg.	
12/09/2018	RESA31	1.352,552110	77,491596	-	1.430,043706	Padrão - SND	Reg.	
11/09/2018	RESA31	1.352,607400	77,143823	-	1.429,751223	Padrão - SND	Reg.	
10/09/2018	RESA31	1.352,662700	76,796107	-	1.429,458807	Padrão - SND	Reg.	
06/09/2018	RESA31	1.356,850960	76,682022	-	1.433,532982	Padrão - SND	Reg.	
05/09/2018	RESA31	1.356,647750	76,318807	-	1.432,966557	Padrão - SND	Reg.	
04/09/2018	RESA31	1.356,444560	75,955784	-	1.432,400344	Padrão - SND	Reg.	
03/09/2018	RESA31	1.356,241400	75,592956	-	1.431,834356	Padrão - SND	Reg.	
31/08/2018	RESA31	1.356,038270	75,230320	-	1.431,268590	Padrão - SND	Reg.	
30/08/2018	RESA31	1.355,835180	74,867878	-	1.430,703058	Padrão - SND	Reg.	
