PU Histórico - Gerado em 07/10/2018 01:17:39

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	REVC13	1.000,000000	20,431600	-	1.020,431600	Padrão - SND	Reg.	
04/10/2018	REVC13	1.000,000000	20,127700	-	1.020,127700	Padrão - SND	Reg.	
03/10/2018	REVC13	1.000,000000	19,823890	-	1.019,823890	Padrão - SND	Reg.	
02/10/2018	REVC13	1.000,000000	19,520180	-	1.019,520180	Padrão - SND	Reg.	
01/10/2018	REVC13	1.000,000000	19,216550	-	1.019,216550	Padrão - SND	Reg.	
28/09/2018	REVC13	1.000,000000	18,913470	-	1.018,913470	Padrão - SND	Reg.	
27/09/2018	REVC13	1.000,000000	18,610480	-	1.018,610480	Padrão - SND	Reg.	
26/09/2018	REVC13	1.000,000000	18,307580	-	1.018,307580	Padrão - SND	Reg.	
25/09/2018	REVC13	1.000,000000	18,004770	-	1.018,004770	Padrão - SND	Reg.	
24/09/2018	REVC13	1.000,000000	17,702050	-	1.017,702050	Padrão - SND	Reg.	
21/09/2018	REVC13	1.000,000000	17,399420	-	1.017,399420	Padrão - SND	Reg.	
20/09/2018	REVC13	1.000,000000	17,096880	-	1.017,096880	Padrão - SND	Reg.	
19/09/2018	REVC13	1.000,000000	16,794430	-	1.016,794430	Padrão - SND	Reg.	
18/09/2018	REVC13	1.000,000000	16,492070	-	1.016,492070	Padrão - SND	Reg.	
17/09/2018	REVC13	1.000,000000	16,189800	-	1.016,189800	Padrão - SND	Reg.	
14/09/2018	REVC13	1.000,000000	15,887620	-	1.015,887620	Padrão - SND	Reg.	
13/09/2018	REVC13	1.000,000000	15,585530	-	1.015,585530	Padrão - SND	Reg.	
12/09/2018	REVC13	1.000,000000	15,283530	-	1.015,283530	Padrão - SND	Reg.	
11/09/2018	REVC13	1.000,000000	14,981620	-	1.014,981620	Padrão - SND	Reg.	
10/09/2018	REVC13	1.000,000000	14,679800	-	1.014,679800	Padrão - SND	Reg.	
06/09/2018	REVC13	1.000,000000	14,378070	-	1.014,378070	Padrão - SND	Reg.	
05/09/2018	REVC13	1.000,000000	14,076430	-	1.014,076430	Padrão - SND	Reg.	
04/09/2018	REVC13	1.000,000000	13,774870	-	1.013,774870	Padrão - SND	Reg.	
03/09/2018	REVC13	1.000,000000	13,473410	-	1.013,473410	Padrão - SND	Reg.	
31/08/2018	REVC13	1.000,000000	13,172040	-	1.013,172040	Padrão - SND	Reg.	
30/08/2018	REVC13	1.000,000000	12,870760	-	1.012,870760	Padrão - SND	Reg.	
29/08/2018	REVC13	1.000,000000	12,569560	-	1.012,569560	Padrão - SND	Reg.	
28/08/2018	REVC13	1.000,000000	12,268460	-	1.012,268460	Padrão - SND	Reg.	
27/08/2018	REVC13	1.000,000000	11,967450	-	1.011,967450	Padrão - SND	Reg.	
24/08/2018	REVC13	1.000,000000	11,666520	-	1.011,666520	Padrão - SND	Reg.	
23/08/2018	REVC13	1.000,000000	11,365690	-	1.011,365690	Padrão - SND	Reg.	
22/08/2018	REVC13	1.000,000000	11,064940	-	1.011,064940	Padrão - SND	Reg.	
21/08/2018	REVC13	1.000,000000	10,764280	-	1.010,764280	Padrão - SND	Reg.	
20/08/2018	REVC13	1.000,000000	10,463720	-	1.010,463720	Padrão - SND	Reg.	
17/08/2018	REVC13	1.000,000000	10,163240	-	1.010,163240	Padrão - SND	Reg.	
16/08/2018	REVC13	1.000,000000	9,862850	-	1.009,862850	Padrão - SND	Reg.	
15/08/2018	REVC13	1.000,000000	9,562550	-	1.009,562550	Padrão - SND	Reg.	
14/08/2018	REVC13	1.000,000000	9,262340	-	1.009,262340	Padrão - SND	Reg.	
13/08/2018	REVC13	1.000,000000	8,962220	-	1.008,962220	Padrão - SND	Reg.	
10/08/2018	REVC13	1.000,000000	8,662190	-	1.008,662190	Padrão - SND	Reg.	
09/08/2018	REVC13	1.000,000000	8,362250	-	1.008,362250	Padrão - SND	Reg.	
08/08/2018	REVC13	1.000,000000	8,062400	-	1.008,062400	Padrão - SND	Reg.	
07/08/2018	REVC13	1.000,000000	7,762640	-	1.007,762640	Padrão - SND	Reg.	
06/08/2018	REVC13	1.000,000000	7,462960	-	1.007,462960	Padrão - SND	Reg.	
03/08/2018	REVC13	1.000,000000	7,163380	-	1.007,163380	Padrão - SND	Reg.	
02/08/2018	REVC13	1.000,000000	6,863880	-	1.006,863880	Padrão - SND	Reg.	
01/08/2018	REVC13	1.000,000000	6,564470	-	1.006,564470	Padrão - SND	Reg.	
31/07/2018	REVC13	1.000,000000	6,265160	-	1.006,265160	Padrão - SND	Reg.	
30/07/2018	REVC13	1.000,000000	5,965930	-	1.005,965930	Padrão - SND	Reg.	
27/07/2018	REVC13	1.000,000000	5,666790	-	1.005,666790	Padrão - SND	Reg.	
26/07/2018	REVC13	1.000,000000	5,367740	-	1.005,367740	Padrão - SND	Reg.	
25/07/2018	REVC13	1.000,000000	5,068770	-	1.005,068770	Padrão - SND	Reg.	
24/07/2018	REVC13	1.000,000000	4,769900	-	1.004,769900	Padrão - SND	Reg.	
23/07/2018	REVC13	1.000,000000	4,471120	-	1.004,471120	Padrão - SND	Reg.	
20/07/2018	REVC13	1.000,000000	4,172420	-	1.004,172420	Padrão - SND	Reg.	
19/07/2018	REVC13	1.000,000000	3,873810	-	1.003,873810	Padrão - SND	Reg.	
18/07/2018	REVC13	1.000,000000	3,575300	-	1.003,575300	Padrão - SND	Reg.	
17/07/2018	REVC13	1.000,000000	3,276870	-	1.003,276870	Padrão - SND	Reg.	
16/07/2018	REVC13	1.000,000000	2,978530	-	1.002,978530	Padrão - SND	Reg.	
13/07/2018	REVC13	1.000,000000	2,680280	-	1.002,680280	Padrão - SND	Reg.	
12/07/2018	REVC13	1.000,000000	2,382110	-	1.002,382110	Padrão - SND	Reg.	
11/07/2018	REVC13	1.000,000000	2,084040	-	1.002,084040	Padrão - SND	Reg.	
10/07/2018	REVC13	1.000,000000	1,786050	-	1.001,786050	Padrão - SND	Reg.	
09/07/2018	REVC13	1.000,000000	1,488160	-	1.001,488160	Padrão - SND	Reg.	
06/07/2018	REVC13	1.000,000000	1,190350	-	1.001,190350	Padrão - SND	Reg.	
05/07/2018	REVC13	1.000,000000	0,892630	-	1.000,892630	Padrão - SND	Reg.	
04/07/2018	REVC13	1.000,000000	0,595000	-	1.000,595000	Padrão - SND	Reg.	
03/07/2018	REVC13	1.000,000000	0,297450	-	1.000,297450	Padrão - SND	Reg.	
02/07/2018	REVC13	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
29/06/2018	REVC13	1.000,000000	38,217090	-	1.038,217090	Padrão - SND	Reg.	
28/06/2018	REVC13	1.000,000000	37,908360	-	1.037,908360	Padrão - SND	Reg.	
27/06/2018	REVC13	1.000,000000	37,599720	-	1.037,599720	Padrão - SND	Reg.	
26/06/2018	REVC13	1.000,000000	37,291170	-	1.037,291170	Padrão - SND	Reg.	
25/06/2018	REVC13	1.000,000000	36,982720	-	1.036,982720	Padrão - SND	Reg.	
22/06/2018	REVC13	1.000,000000	36,674360	-	1.036,674360	Padrão - SND	Reg.	
21/06/2018	REVC13	1.000,000000	36,366080	-	1.036,366080	Padrão - SND	Reg.	
20/06/2018	REVC13	1.000,000000	36,057900	-	1.036,057900	Padrão - SND	Reg.	
19/06/2018	REVC13	1.000,000000	35,749820	-	1.035,749820	Padrão - SND	Reg.	
18/06/2018	REVC13	1.000,000000	35,441820	-	1.035,441820	Padrão - SND	Reg.	
15/06/2018	REVC13	1.000,000000	35,133910	-	1.035,133910	Padrão - SND	Reg.	
14/06/2018	REVC13	1.000,000000	34,826100	-	1.034,826100	Padrão - SND	Reg.	
13/06/2018	REVC13	1.000,000000	34,518380	-	1.034,518380	Padrão - SND	Reg.	
12/06/2018	REVC13	1.000,000000	34,210750	-	1.034,210750	Padrão - SND	Reg.	
11/06/2018	REVC13	1.000,000000	33,903210	-	1.033,903210	Padrão - SND	Reg.	
08/06/2018	REVC13	1.000,000000	33,595760	-	1.033,595760	Padrão - SND	Reg.	
07/06/2018	REVC13	1.000,000000	33,288410	-	1.033,288410	Padrão - SND	Reg.	
06/06/2018	REVC13	1.000,000000	32,981140	-	1.032,981140	Padrão - SND	Reg.	
05/06/2018	REVC13	1.000,000000	32,673970	-	1.032,673970	Padrão - SND	Reg.	
04/06/2018	REVC13	1.000,000000	32,366890	-	1.032,366890	Padrão - SND	Reg.	
01/06/2018	REVC13	1.000,000000	32,059900	-	1.032,059900	Padrão - SND	Reg.	
30/05/2018	REVC13	1.000,000000	31,753000	-	1.031,753000	Padrão - SND	Reg.	
29/05/2018	REVC13	1.000,000000	31,446190	-	1.031,446190	Padrão - SND	Reg.	
28/05/2018	REVC13	1.000,000000	31,139470	-	1.031,139470	Padrão - SND	Reg.	
25/05/2018	REVC13	1.000,000000	30,832850	-	1.030,832850	Padrão - SND	Reg.	
24/05/2018	REVC13	1.000,000000	30,526310	-	1.030,526310	Padrão - SND	Reg.	
23/05/2018	REVC13	1.000,000000	30,219870	-	1.030,219870	Padrão - SND	Reg.	
22/05/2018	REVC13	1.000,000000	29,913520	-	1.029,913520	Padrão - SND	Reg.	
21/05/2018	REVC13	1.000,000000	29,607250	-	1.029,607250	Padrão - SND	Reg.	
18/05/2018	REVC13	1.000,000000	29,301080	-	1.029,301080	Padrão - SND	Reg.	
17/05/2018	REVC13	1.000,000000	28,995010	-	1.028,995010	Padrão - SND	Reg.	
