PU Histórico - Gerado em 07/10/2018 01:17:41

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	REVI11	111.196,000000	1.308,052923	-	112.504,052923	Padrão - SND	Reg.	
04/10/2018	REVI11	111.196,000000	1.270,430090	-	112.466,430090	Padrão - SND	Reg.	
03/10/2018	REVI11	111.196,000000	1.232,820823	-	112.428,820823	Padrão - SND	Reg.	
02/10/2018	REVI11	111.196,000000	1.195,222786	-	112.391,222786	Padrão - SND	Reg.	
01/10/2018	REVI11	111.196,000000	1.157,638427	-	112.353,638427	Padrão - SND	Reg.	
28/09/2018	REVI11	111.196,000000	1.120,107776	-	112.316,107776	Padrão - SND	Reg.	
27/09/2018	REVI11	111.196,000000	1.082,589578	-	112.278,589578	Padrão - SND	Reg.	
26/09/2018	REVI11	111.196,000000	1.045,083723	-	112.241,083723	Padrão - SND	Reg.	
25/09/2018	REVI11	111.196,000000	1.007,591546	-	112.203,591546	Padrão - SND	Reg.	
24/09/2018	REVI11	111.196,000000	970,110599	-	112.166,110599	Padrão - SND	Reg.	
21/09/2018	REVI11	111.196,000000	932,642106	-	112.128,642106	Padrão - SND	Reg.	
20/09/2018	REVI11	111.196,000000	895,187067	-	112.091,187067	Padrão - SND	Reg.	
19/09/2018	REVI11	111.196,000000	857,744594	-	112.053,744594	Padrão - SND	Reg.	
18/09/2018	REVI11	111.196,000000	820,313352	-	112.016,313352	Padrão - SND	Reg.	
17/09/2018	REVI11	111.196,000000	782,895676	-	111.978,895676	Padrão - SND	Reg.	
14/09/2018	REVI11	111.196,000000	745,490342	-	111.941,490342	Padrão - SND	Reg.	
13/09/2018	REVI11	111.196,000000	708,097574	-	111.904,097574	Padrão - SND	Reg.	
12/09/2018	REVI11	111.196,000000	670,717148	-	111.866,717148	Padrão - SND	Reg.	
11/09/2018	REVI11	111.196,000000	633,349065	-	111.829,349065	Padrão - SND	Reg.	
10/09/2018	REVI11	111.196,000000	595,993436	-	111.791,993436	Padrão - SND	Reg.	
06/09/2018	REVI11	111.196,000000	558,650150	-	111.754,650150	Padrão - SND	Reg.	
05/09/2018	REVI11	111.196,000000	521,319428	-	111.717,319428	Padrão - SND	Reg.	
04/09/2018	REVI11	111.196,000000	484,002162	-	111.680,002162	Padrão - SND	Reg.	
03/09/2018	REVI11	111.196,000000	446,696126	-	111.642,696126	Padrão - SND	Reg.	
31/08/2018	REVI11	111.196,000000	409,403657	-	111.605,403657	Padrão - SND	Reg.	
30/08/2018	REVI11	111.196,000000	372,122418	-	111.568,122418	Padrão - SND	Reg.	
29/08/2018	REVI11	111.196,000000	334,854634	-	111.530,854634	Padrão - SND	Reg.	
28/08/2018	REVI11	111.196,000000	297,598191	-	111.493,598191	Padrão - SND	Reg.	
27/08/2018	REVI11	111.196,000000	260,355204	-	111.456,355204	Padrão - SND	Reg.	
24/08/2018	REVI11	111.196,000000	223,124670	-	111.419,124670	Padrão - SND	Reg.	
23/08/2018	REVI11	111.196,000000	185,905368	-	111.381,905368	Padrão - SND	Reg.	
22/08/2018	REVI11	111.196,000000	148,699520	-	111.344,699520	Padrão - SND	Reg.	
21/08/2018	REVI11	111.196,000000	111,506014	-	111.307,506014	Padrão - SND	Reg.	
20/08/2018	REVI11	111.196,000000	74,325074	-	111.270,325074	Padrão - SND	Reg.	
17/08/2018	REVI11	111.196,000000	37,156366	-	111.233,156366	Padrão - SND	Reg.	
16/08/2018	REVI11	111.196,000000	-  	-	111.196,000000	Padrão - SND	Reg.	
15/08/2018	REVI11	119.661,000000	400,450921	-	120.061,450921	Padrão - SND	Reg.	
14/08/2018	REVI11	119.661,000000	360,346178	-	120.021,346178	Padrão - SND	Reg.	
13/08/2018	REVI11	119.661,000000	320,253401	-	119.981,253401	Padrão - SND	Reg.	
10/08/2018	REVI11	119.661,000000	280,175342	-	119.941,175342	Padrão - SND	Reg.	
09/08/2018	REVI11	119.661,000000	240,110446	-	119.901,110446	Padrão - SND	Reg.	
08/08/2018	REVI11	119.661,000000	200,057756	-	119.861,057756	Padrão - SND	Reg.	
07/08/2018	REVI11	119.661,000000	160,019544	-	119.821,019544	Padrão - SND	Reg.	
06/08/2018	REVI11	119.661,000000	119,994615	-	119.780,994615	Padrão - SND	Reg.	
03/08/2018	REVI11	119.661,000000	79,983207	-	119.740,983207	Padrão - SND	Reg.	
02/08/2018	REVI11	119.661,000000	39,984962	-	119.700,984962	Padrão - SND	Reg.	
01/08/2018	REVI11	119.661,000000	-  	-	119.661,000000	Padrão - SND	Reg.	
31/07/2018	REVI11	209.652,000000	771,900717	-	210.423,900717	Padrão - SND	Reg.	
30/07/2018	REVI11	209.652,000000	701,609643	-	210.353,609643	Padrão - SND	Reg.	
27/07/2018	REVI11	209.652,000000	631,344146	-	210.283,344146	Padrão - SND	Reg.	
26/07/2018	REVI11	209.652,000000	561,099824	-	210.213,099824	Padrão - SND	Reg.	
25/07/2018	REVI11	209.652,000000	490,880870	-	210.142,880870	Padrão - SND	Reg.	
24/07/2018	REVI11	209.652,000000	420,685397	-	210.072,685397	Padrão - SND	Reg.	
23/07/2018	REVI11	209.652,000000	350,511099	-	210.002,511099	Padrão - SND	Reg.	
20/07/2018	REVI11	209.652,000000	280,362169	-	209.932,362169	Padrão - SND	Reg.	
19/07/2018	REVI11	209.652,000000	210,236510	-	209.862,236510	Padrão - SND	Reg.	
18/07/2018	REVI11	209.652,000000	140,134542	-	209.792,134542	Padrão - SND	Reg.	
17/07/2018	REVI11	209.652,000000	70,055635	-	209.722,055635	Padrão - SND	Reg.	
16/07/2018	REVI11	209.652,000000	-  	-	209.652,000000	Padrão - SND	Reg.	
13/07/2018	REVI11	228.116,000000	1.452,645653	-	229.568,645653	Padrão - SND	Reg.	
12/07/2018	REVI11	228.116,000000	1.375,960354	-	229.491,960354	Padrão - SND	Reg.	
11/07/2018	REVI11	228.116,000000	1.299,300832	-	229.415,300832	Padrão - SND	Reg.	
10/07/2018	REVI11	228.116,000000	1.222,666630	-	229.338,666630	Padrão - SND	Reg.	
09/07/2018	REVI11	228.116,000000	1.146,057749	-	229.262,057750	Padrão - SND	Reg.	
06/07/2018	REVI11	228.116,000000	1.069,474646	-	229.185,474646	Padrão - SND	Reg.	
05/07/2018	REVI11	228.116,000000	992,919145	-	229.108,919144	Padrão - SND	Reg.	
04/07/2018	REVI11	228.116,000000	916,386683	-	229.032,386683	Padrão - SND	Reg.	
03/07/2018	REVI11	228.116,000000	839,881823	-	228.955,881823	Padrão - SND	Reg.	
02/07/2018	REVI11	228.116,000000	763,400231	-	228.879,400231	Padrão - SND	Reg.	
29/06/2018	REVI11	228.116,000000	686,946469	-	228.802,946469	Padrão - SND	Reg.	
28/06/2018	REVI11	228.116,000000	610,515747	-	228.726,515747	Padrão - SND	Reg.	
27/06/2018	REVI11	228.116,000000	534,112627	-	228.650,112627	Padrão - SND	Reg.	
26/06/2018	REVI11	228.116,000000	457,735056	-	228.573,735056	Padrão - SND	Reg.	
25/06/2018	REVI11	228.116,000000	381,380525	-	228.497,380525	Padrão - SND	Reg.	
22/06/2018	REVI11	228.116,000000	305,053596	-	228.421,053596	Padrão - SND	Reg.	
21/06/2018	REVI11	228.116,000000	228,751987	-	228.344,751987	Padrão - SND	Reg.	
20/06/2018	REVI11	228.116,000000	152,476156	-	228.268,476156	Padrão - SND	Reg.	
19/06/2018	REVI11	228.116,000000	76,225418	-	228.192,225418	Padrão - SND	Reg.	
18/06/2018	REVI11	228.116,000000	-  	-	228.116,000000	Padrão - SND	Reg.	
15/06/2018	REVI11	247.691,000000	1.743,913565	-	249.434,913565	Padrão - SND	Reg.	
14/06/2018	REVI11	247.691,000000	1.660,592542	-	249.351,592542	Padrão - SND	Reg.	
13/06/2018	REVI11	247.691,000000	1.577,299508	-	249.268,299508	Padrão - SND	Reg.	
12/06/2018	REVI11	247.691,000000	1.494,033968	-	249.185,033968	Padrão - SND	Reg.	
11/06/2018	REVI11	247.691,000000	1.410,795921	-	249.101,795921	Padrão - SND	Reg.	
08/06/2018	REVI11	247.691,000000	1.327,585616	-	249.018,585616	Padrão - SND	Reg.	
07/06/2018	REVI11	247.691,000000	1.244,402804	-	248.935,402804	Padrão - SND	Reg.	
06/06/2018	REVI11	247.691,000000	1.161,247981	-	248.852,247981	Padrão - SND	Reg.	
05/06/2018	REVI11	247.691,000000	1.078,123130	-	248.769,123130	Padrão - SND	Reg.	
04/06/2018	REVI11	247.691,000000	995,023294	-	248.686,023294	Padrão - SND	Reg.	
01/06/2018	REVI11	247.691,000000	911,953430	-	248.602,953430	Padrão - SND	Reg.	
30/05/2018	REVI11	247.691,000000	828,908830	-	248.519,908830	Padrão - SND	Reg.	
29/05/2018	REVI11	247.691,000000	745,894448	-	248.436,894448	Padrão - SND	Reg.	
28/05/2018	REVI11	247.691,000000	662,905083	-	248.353,905083	Padrão - SND	Reg.	
25/05/2018	REVI11	247.691,000000	579,945689	-	248.270,945689	Padrão - SND	Reg.	
24/05/2018	REVI11	247.691,000000	497,014036	-	248.188,014036	Padrão - SND	Reg.	
23/05/2018	REVI11	247.691,000000	414,107400	-	248.105,107400	Padrão - SND	Reg.	
22/05/2018	REVI11	247.691,000000	331,230734	-	248.022,230734	Padrão - SND	Reg.	
21/05/2018	REVI11	247.691,000000	248,381563	-	247.939,381562	Padrão - SND	Reg.	
18/05/2018	REVI11	247.691,000000	165,560380	-	247.856,560380	Padrão - SND	Reg.	
17/05/2018	REVI11	247.691,000000	82,766443	-	247.773,766443	Padrão - SND	Reg.	
16/05/2018	REVI11	247.691,000000	-  	-	247.691,000000	Padrão - SND	Reg.	
15/05/2018	REVI11	261.711,000000	1.754,586964	-	263.465,586964	Padrão - SND	Reg.	
14/05/2018	REVI11	261.711,000000	1.666,579312	-	263.377,579312	Padrão - SND	Reg.	
11/05/2018	REVI11	261.711,000000	1.578,600449	-	263.289,600449	Padrão - SND	Reg.	
10/05/2018	REVI11	261.711,000000	1.490,651158	-	263.201,651158	Padrão - SND	Reg.	
09/05/2018	REVI11	261.711,000000	1.402,730918	-	263.113,730918	Padrão - SND	Reg.	
08/05/2018	REVI11	261.711,000000	1.314,839728	-	263.025,839728	Padrão - SND	Reg.	
07/05/2018	REVI11	261.711,000000	1.226,978111	-	262.937,978111	Padrão - SND	Reg.	
04/05/2018	REVI11	261.711,000000	1.139,147899	-	262.850,147899	Padrão - SND	Reg.	
03/05/2018	REVI11	261.711,000000	1.051,344644	-	262.762,344644	Padrão - SND	Reg.	
02/05/2018	REVI11	261.711,000000	963,572794	-	262.674,572794	Padrão - SND	Reg.	
30/04/2018	REVI11	261.711,000000	875,827638	-	262.586,827638	Padrão - SND	Reg.	
27/04/2018	REVI11	261.711,000000	788,114412	-	262.499,114412	Padrão - SND	Reg.	
26/04/2018	REVI11	261.711,000000	700,427356	-	262.411,427356	Padrão - SND	Reg.	
25/04/2018	REVI11	261.711,000000	612,772491	-	262.323,772491	Padrão - SND	Reg.	
24/04/2018	REVI11	261.711,000000	525,146414	-	262.236,146414	Padrão - SND	Reg.	
23/04/2018	REVI11	261.711,000000	437,547031	-	262.148,547031	Padrão - SND	Reg.	
20/04/2018	REVI11	261.711,000000	349,979316	-	262.060,979316	Padrão - SND	Reg.	
19/04/2018	REVI11	261.711,000000	262,440650	-	261.973,440650	Padrão - SND	Reg.	
18/04/2018	REVI11	261.711,000000	174,931558	-	261.885,931558	Padrão - SND	Reg.	
17/04/2018	REVI11	261.711,000000	87,451254	-	261.798,451254	Padrão - SND	Reg.	
16/04/2018	REVI11	261.711,000000	-  	-	261.711,000000	Padrão - SND	Reg.	
13/04/2018	REVI11	275.731,000000	1.766,199332	-	277.497,199332	Padrão - SND	Reg.	
12/04/2018	REVI11	275.731,000000	1.673,503809	-	277.404,503809	Padrão - SND	Reg.	
