PU Histórico - Gerado em 07/10/2018 01:18:07

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	RPTL11	3.411,774931	132,995463	-	3.544,770394	Padrão - SND	Reg.	
04/10/2018	RPTL11	3.411,774931	130,878058	-	3.542,652988	Padrão - SND	Reg.	
03/10/2018	RPTL11	3.411,774931	128,761914	-	3.540,536845	Padrão - SND	Reg.	
02/10/2018	RPTL11	3.411,774931	126,647034	-	3.538,421965	Padrão - SND	Reg.	
01/10/2018	RPTL11	3.411,774931	124,533419	-	3.536,308349	Padrão - SND	Reg.	
28/09/2018	RPTL11	3.411,774931	122,421066	-	3.534,195997	Padrão - SND	Reg.	
27/09/2018	RPTL11	3.411,774931	120,309975	-	3.532,084906	Padrão - SND	Reg.	
26/09/2018	RPTL11	3.411,774931	118,200144	-	3.529,975075	Padrão - SND	Reg.	
25/09/2018	RPTL11	3.411,774931	116,091575	-	3.527,866506	Padrão - SND	Reg.	
24/09/2018	RPTL11	3.411,774931	113,984262	-	3.525,759193	Padrão - SND	Reg.	
21/09/2018	RPTL11	3.411,774931	111,878210	-	3.523,653141	Padrão - SND	Reg.	
20/09/2018	RPTL11	3.411,774931	109,773418	-	3.521,548349	Padrão - SND	Reg.	
19/09/2018	RPTL11	3.411,774931	107,669882	-	3.519,444813	Padrão - SND	Reg.	
18/09/2018	RPTL11	3.411,774931	105,567600	-	3.517,342531	Padrão - SND	Reg.	
17/09/2018	RPTL11	3.411,774931	103,466575	-	3.515,241506	Padrão - SND	Reg.	
14/09/2018	RPTL11	3.411,774931	101,366808	-	3.513,141739	Padrão - SND	Reg.	
13/09/2018	RPTL11	3.411,774931	99,268290	-	3.511,043221	Padrão - SND	Reg.	
12/09/2018	RPTL11	3.411,774931	97,171031	-	3.508,945962	Padrão - SND	Reg.	
11/09/2018	RPTL11	3.411,774931	95,075021	-	3.506,849952	Padrão - SND	Reg.	
10/09/2018	RPTL11	3.411,774931	92,980266	-	3.504,755197	Padrão - SND	Reg.	
06/09/2018	RPTL11	3.411,774931	90,886760	-	3.502,661691	Padrão - SND	Reg.	
05/09/2018	RPTL11	3.411,774931	88,794503	-	3.500,569434	Padrão - SND	Reg.	
04/09/2018	RPTL11	3.411,774931	86,703498	-	3.498,478429	Padrão - SND	Reg.	
03/09/2018	RPTL11	3.411,774931	84,613745	-	3.496,388676	Padrão - SND	Reg.	
31/08/2018	RPTL11	3.411,774931	82,525237	-	3.494,300168	Padrão - SND	Reg.	
30/08/2018	RPTL11	3.411,774931	80,437974	-	3.492,212905	Padrão - SND	Reg.	
29/08/2018	RPTL11	3.411,774931	78,351961	-	3.490,126892	Padrão - SND	Reg.	
28/08/2018	RPTL11	3.411,774931	76,267196	-	3.488,042126	Padrão - SND	Reg.	
27/08/2018	RPTL11	3.411,774931	74,183672	-	3.485,958603	Padrão - SND	Reg.	
