PU Histórico - Gerado em 07/10/2018 01:18:12

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	RSCF13	482,696272	1,007923	-	483,704195	Padrão - SND	Reg.	
04/10/2018	RSCF13	482,696272	0,881722	-	483,577994	Padrão - SND	Reg.	
03/10/2018	RSCF13	482,696272	0,755555	-	483,451827	Padrão - SND	Reg.	
02/10/2018	RSCF13	482,696272	0,629421	-	483,325694	Padrão - SND	Reg.	
01/10/2018	RSCF13	482,696272	0,503322	-	483,199594	Padrão - SND	Reg.	
28/09/2018	RSCF13	482,696272	0,377440	-	483,073712	Padrão - SND	Reg.	
27/09/2018	RSCF13	482,696272	0,251596	-	482,947868	Padrão - SND	Reg.	
26/09/2018	RSCF13	482,696272	0,125781	-	482,822053	Padrão - SND	Reg.	
25/09/2018	RSCF13	482,696272	-  	0,029299	482,696272	Padrão - SND	Reg.	
24/09/2018	RSCF13	509,683085	2,529374	-	512,212459	Padrão - SND	Reg.	
21/09/2018	RSCF13	509,683085	2,395939	-	512,079024	Padrão - SND	Reg.	
20/09/2018	RSCF13	509,683085	2,262534	-	511,945619	Padrão - SND	Reg.	
19/09/2018	RSCF13	509,683085	2,129165	-	511,812251	Padrão - SND	Reg.	
18/09/2018	RSCF13	509,683085	1,995832	-	511,678918	Padrão - SND	Reg.	
17/09/2018	RSCF13	509,683085	1,862535	-	511,545620	Padrão - SND	Reg.	
14/09/2018	RSCF13	509,683085	1,729273	-	511,412358	Padrão - SND	Reg.	
13/09/2018	RSCF13	509,683085	1,596042	-	511,279127	Padrão - SND	Reg.	
12/09/2018	RSCF13	509,683085	1,462852	-	511,145937	Padrão - SND	Reg.	
11/09/2018	RSCF13	509,683085	1,329692	-	511,012777	Padrão - SND	Reg.	
10/09/2018	RSCF13	509,683085	1,196563	-	510,879648	Padrão - SND	Reg.	
06/09/2018	RSCF13	509,683085	1,063474	-	510,746559	Padrão - SND	Reg.	
05/09/2018	RSCF13	509,683085	0,930421	-	510,613507	Padrão - SND	Reg.	
04/09/2018	RSCF13	509,683085	0,797399	-	510,480484	Padrão - SND	Reg.	
03/09/2018	RSCF13	509,683085	0,664413	-	510,347498	Padrão - SND	Reg.	
31/08/2018	RSCF13	509,683085	0,531462	-	510,214547	Padrão - SND	Reg.	
30/08/2018	RSCF13	509,683085	0,398542	-	510,081627	Padrão - SND	Reg.	
29/08/2018	RSCF13	509,683085	0,265662	-	509,948747	Padrão - SND	Reg.	
28/08/2018	RSCF13	509,683085	0,132813	-	509,815898	Padrão - SND	Reg.	
27/08/2018	RSCF13	509,683085	-  	0,028865	509,683085	Padrão - SND	Reg.	
24/08/2018	RSCF13	526,110041	3,024328	-	529,134369	Padrão - SND	Reg.	
23/08/2018	RSCF13	526,110041	2,886482	-	528,996523	Padrão - SND	Reg.	
22/08/2018	RSCF13	526,110041	2,748672	-	528,858714	Padrão - SND	Reg.	
21/08/2018	RSCF13	526,110041	2,610895	-	528,720936	Padrão - SND	Reg.	
20/08/2018	RSCF13	526,110041	2,473159	-	528,583200	Padrão - SND	Reg.	
17/08/2018	RSCF13	526,110041	2,335455	-	528,445496	Padrão - SND	Reg.	
16/08/2018	RSCF13	526,110041	2,197788	-	528,307829	Padrão - SND	Reg.	
15/08/2018	RSCF13	526,110041	2,060157	-	528,170199	Padrão - SND	Reg.	
14/08/2018	RSCF13	526,110041	1,922564	-	528,032605	Padrão - SND	Reg.	
13/08/2018	RSCF13	526,110041	1,785007	-	527,895048	Padrão - SND	Reg.	
10/08/2018	RSCF13	526,110041	1,647482	-	527,757523	Padrão - SND	Reg.	
09/08/2018	RSCF13	526,110041	1,509999	-	527,620040	Padrão - SND	Reg.	
08/08/2018	RSCF13	526,110041	1,372547	-	527,482589	Padrão - SND	Reg.	
07/08/2018	RSCF13	526,110041	1,235127	-	527,345169	Padrão - SND	Reg.	
06/08/2018	RSCF13	526,110041	1,097750	-	527,207791	Padrão - SND	Reg.	
03/08/2018	RSCF13	526,110041	0,960409	-	527,070450	Padrão - SND	Reg.	
02/08/2018	RSCF13	526,110041	0,823099	-	526,933140	Padrão - SND	Reg.	
01/08/2018	RSCF13	526,110041	0,685827	-	526,795868	Padrão - SND	Reg.	
31/07/2018	RSCF13	526,110041	0,548591	-	526,658632	Padrão - SND	Reg.	
30/07/2018	RSCF13	526,110041	0,411386	-	526,521428	Padrão - SND	Reg.	
27/07/2018	RSCF13	526,110041	0,274224	-	526,384265	Padrão - SND	Reg.	
26/07/2018	RSCF13	526,110041	0,137094	-	526,247135	Padrão - SND	Reg.	
