PU Histórico - Gerado em 07/10/2018 01:18:44

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	SAVI13	932,037541	2,999889	-	935,037430	Padrão - SND	Reg.	
04/10/2018	SAVI13	931,841738	2,784707	-	934,626444	Padrão - SND	Reg.	
03/10/2018	SAVI13	931,645971	2,569663	-	934,215634	Padrão - SND	Reg.	
02/10/2018	SAVI13	931,450252	2,354759	-	933,805011	Padrão - SND	Reg.	
01/10/2018	SAVI13	931,254569	2,139995	-	933,394564	Padrão - SND	Reg.	
28/09/2018	SAVI13	931,058923	1,925369	-	932,984293	Padrão - SND	Reg.	
27/09/2018	SAVI13	930,863324	1,710884	-	932,574208	Padrão - SND	Reg.	
26/09/2018	SAVI13	930,667762	1,496537	-	932,164299	Padrão - SND	Reg.	
25/09/2018	SAVI13	930,472247	1,282329	-	931,754576	Padrão - SND	Reg.	
24/09/2018	SAVI13	930,276769	1,068261	-	931,345030	Padrão - SND	Reg.	
21/09/2018	SAVI13	929,925261	0,854187	-	930,779448	Padrão - SND	Reg.	
20/09/2018	SAVI13	929,768906	0,640459	-	930,409365	Padrão - SND	Reg.	
19/09/2018	SAVI13	929,612579	0,426852	-	930,039431	Padrão - SND	Reg.	
18/09/2018	SAVI13	929,456271	0,213366	-	929,669637	Padrão - SND	Reg.	
17/09/2018	SAVI13	929,300000	-  	-	929,300000	Padrão - SND	Reg.	
14/09/2018	SAVI13	1.000,789370	7,377927	-	1.008,167297	Padrão - SND	Reg.	
13/09/2018	SAVI13	1.000,830290	7,146838	-	1.007,977128	Padrão - SND	Reg.	
12/09/2018	SAVI13	1.000,871200	6,915783	-	1.007,786983	Padrão - SND	Reg.	
11/09/2018	SAVI13	1.000,912120	6,684762	-	1.007,596882	Padrão - SND	Reg.	
10/09/2018	SAVI13	1.000,953040	6,453776	-	1.007,406816	Padrão - SND	Reg.	
06/09/2018	SAVI13	1.001,648960	6,226895	-	1.007,875855	Padrão - SND	Reg.	
05/09/2018	SAVI13	1.001,648960	5,995580	-	1.007,644540	Padrão - SND	Reg.	
04/09/2018	SAVI13	1.001,648960	5,764318	-	1.007,413278	Padrão - SND	Reg.	
03/09/2018	SAVI13	1.001,648960	5,533110	-	1.007,182070	Padrão - SND	Reg.	
31/08/2018	SAVI13	1.001,648960	5,301955	-	1.006,950915	Padrão - SND	Reg.	
30/08/2018	SAVI13	1.001,648960	5,070853	-	1.006,719813	Padrão - SND	Reg.	
29/08/2018	SAVI13	1.001,648960	4,839804	-	1.006,488764	Padrão - SND	Reg.	
28/08/2018	SAVI13	1.001,648960	4,608807	-	1.006,257767	Padrão - SND	Reg.	
27/08/2018	SAVI13	1.001,648960	4,377864	-	1.006,026824	Padrão - SND	Reg.	
24/08/2018	SAVI13	1.001,648960	4,146974	-	1.005,795934	Padrão - SND	Reg.	
23/08/2018	SAVI13	1.002,467590	3,919338	-	1.006,386928	Padrão - SND	Reg.	
22/08/2018	SAVI13	1.002,331100	3,687862	-	1.006,018962	Padrão - SND	Reg.	
21/08/2018	SAVI13	1.002,194630	3,456503	-	1.005,651133	Padrão - SND	Reg.	
20/08/2018	SAVI13	1.002,058190	3,225260	-	1.005,283450	Padrão - SND	Reg.	
17/08/2018	SAVI13	1.001,921750	2,994133	-	1.004,915883	Padrão - SND	Reg.	
16/08/2018	SAVI13	1.001,785340	2,763121	-	1.004,548461	Padrão - SND	Reg.	
15/08/2018	SAVI13	1.001,648960	2,532226	-	1.004,181186	Padrão - SND	Reg.	
14/08/2018	SAVI13	1.001,498940	2,301415	-	1.003,800355	Padrão - SND	Reg.	
13/08/2018	SAVI13	1.001,348950	2,070725	-	1.003,419675	Padrão - SND	Reg.	
10/08/2018	SAVI13	1.001,198970	1,840158	-	1.003,039128	Padrão - SND	Reg.	
09/08/2018	SAVI13	1.001,049020	1,609712	-	1.002,658732	Padrão - SND	Reg.	
08/08/2018	SAVI13	1.001,007730	1,379538	-	1.002,387268	Padrão - SND	Reg.	
07/08/2018	SAVI13	1.000,839700	1,149290	-	1.001,988990	Padrão - SND	Reg.	
06/08/2018	SAVI13	1.000,671710	0,919172	-	1.001,590882	Padrão - SND	Reg.	
03/08/2018	SAVI13	1.000,503740	0,689184	-	1.001,192924	Padrão - SND	Reg.	
02/08/2018	SAVI13	1.000,335790	0,459326	-	1.000,795116	Padrão - SND	Reg.	
01/08/2018	SAVI13	1.000,167880	0,229599	-	1.000,397479	Padrão - SND	Reg.	
31/07/2018	SAVI13	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
30/07/2018	SAVI13	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	


Valores expressos em reais.
Os valores refletem a nossa interpretação da escritura de emissão, não implicando em aceitação de compromisso legal ou financeiro.
