PU Histórico - Gerado em 07/10/2018 01:18:58

Data do PU	Ativo	Valor Nominal	Juros	Prêmio	Preço Unitário	Critério de Cálculo	Situação	
05/10/2018	SBSP2B	1.000,000000	22,477363	-	1.022,477363	Padrão - SND	Reg.	
04/10/2018	SBSP2B	1.000,000000	22,189353	-	1.022,189353	Padrão - SND	Reg.	
03/10/2018	SBSP2B	1.000,000000	21,901412	-	1.021,901412	Padrão - SND	Reg.	
02/10/2018	SBSP2B	1.000,000000	21,613561	-	1.021,613561	Padrão - SND	Reg.	
01/10/2018	SBSP2B	1.000,000000	21,325789	-	1.021,325789	Padrão - SND	Reg.	
28/09/2018	SBSP2B	1.000,000000	21,038477	-	1.021,038477	Padrão - SND	Reg.	
27/09/2018	SBSP2B	1.000,000000	20,751235	-	1.020,751235	Padrão - SND	Reg.	
26/09/2018	SBSP2B	1.000,000000	20,464081	-	1.020,464081	Padrão - SND	Reg.	
25/09/2018	SBSP2B	1.000,000000	20,177018	-	1.020,177018	Padrão - SND	Reg.	
24/09/2018	SBSP2B	1.000,000000	19,890024	-	1.019,890024	Padrão - SND	Reg.	
21/09/2018	SBSP2B	1.000,000000	19,603118	-	1.019,603118	Padrão - SND	Reg.	
20/09/2018	SBSP2B	1.000,000000	19,316282	-	1.019,316282	Padrão - SND	Reg.	
19/09/2018	SBSP2B	1.000,000000	19,029536	-	1.019,029536	Padrão - SND	Reg.	
18/09/2018	SBSP2B	1.000,000000	18,742868	-	1.018,742868	Padrão - SND	Reg.	
17/09/2018	SBSP2B	1.000,000000	18,456280	-	1.018,456280	Padrão - SND	Reg.	
14/09/2018	SBSP2B	1.000,000000	18,169771	-	1.018,169771	Padrão - SND	Reg.	
13/09/2018	SBSP2B	1.000,000000	17,883351	-	1.017,883351	Padrão - SND	Reg.	
12/09/2018	SBSP2B	1.000,000000	17,597000	-	1.017,597000	Padrão - SND	Reg.	
11/09/2018	SBSP2B	1.000,000000	17,310739	-	1.017,310739	Padrão - SND	Reg.	
10/09/2018	SBSP2B	1.000,000000	17,024557	-	1.017,024557	Padrão - SND	Reg.	
06/09/2018	SBSP2B	1.000,000000	16,738444	-	1.016,738444	Padrão - SND	Reg.	
05/09/2018	SBSP2B	1.000,000000	16,452420	-	1.016,452420	Padrão - SND	Reg.	
04/09/2018	SBSP2B	1.000,000000	16,166486	-	1.016,166486	Padrão - SND	Reg.	
03/09/2018	SBSP2B	1.000,000000	15,880620	-	1.015,880620	Padrão - SND	Reg.	
31/08/2018	SBSP2B	1.000,000000	15,594834	-	1.015,594834	Padrão - SND	Reg.	
30/08/2018	SBSP2B	1.000,000000	15,309137	-	1.015,309137	Padrão - SND	Reg.	
29/08/2018	SBSP2B	1.000,000000	15,023510	-	1.015,023510	Padrão - SND	Reg.	
28/08/2018	SBSP2B	1.000,000000	14,737971	-	1.014,737971	Padrão - SND	Reg.	
27/08/2018	SBSP2B	1.000,000000	14,452511	-	1.014,452511	Padrão - SND	Reg.	
24/08/2018	SBSP2B	1.000,000000	14,167131	-	1.014,167131	Padrão - SND	Reg.	
23/08/2018	SBSP2B	1.000,000000	13,881828	-	1.013,881828	Padrão - SND	Reg.	
22/08/2018	SBSP2B	1.000,000000	13,596616	-	1.013,596616	Padrão - SND	Reg.	
21/08/2018	SBSP2B	1.000,000000	13,311473	-	1.013,311473	Padrão - SND	Reg.	
20/08/2018	SBSP2B	1.000,000000	13,026408	-	1.013,026408	Padrão - SND	Reg.	
17/08/2018	SBSP2B	1.000,000000	12,741434	-	1.012,741434	Padrão - SND	Reg.	
16/08/2018	SBSP2B	1.000,000000	12,456538	-	1.012,456538	Padrão - SND	Reg.	
15/08/2018	SBSP2B	1.000,000000	12,171711	-	1.012,171711	Padrão - SND	Reg.	
14/08/2018	SBSP2B	1.000,000000	11,886974	-	1.011,886974	Padrão - SND	Reg.	
13/08/2018	SBSP2B	1.000,000000	11,602315	-	1.011,602315	Padrão - SND	Reg.	
10/08/2018	SBSP2B	1.000,000000	11,317735	-	1.011,317735	Padrão - SND	Reg.	
09/08/2018	SBSP2B	1.000,000000	11,033244	-	1.011,033244	Padrão - SND	Reg.	
08/08/2018	SBSP2B	1.000,000000	10,748822	-	1.010,748822	Padrão - SND	Reg.	
07/08/2018	SBSP2B	1.000,000000	10,464480	-	1.010,464480	Padrão - SND	Reg.	
06/08/2018	SBSP2B	1.000,000000	10,180227	-	1.010,180227	Padrão - SND	Reg.	
03/08/2018	SBSP2B	1.000,000000	9,896042	-	1.009,896042	Padrão - SND	Reg.	
02/08/2018	SBSP2B	1.000,000000	9,611946	-	1.009,611946	Padrão - SND	Reg.	
01/08/2018	SBSP2B	1.000,000000	9,327929	-	1.009,327929	Padrão - SND	Reg.	
31/07/2018	SBSP2B	1.000,000000	9,043991	-	1.009,043991	Padrão - SND	Reg.	
30/07/2018	SBSP2B	1.000,000000	8,760133	-	1.008,760133	Padrão - SND	Reg.	
27/07/2018	SBSP2B	1.000,000000	8,476354	-	1.008,476354	Padrão - SND	Reg.	
26/07/2018	SBSP2B	1.000,000000	8,192653	-	1.008,192653	Padrão - SND	Reg.	
25/07/2018	SBSP2B	1.000,000000	7,909031	-	1.007,909031	Padrão - SND	Reg.	
24/07/2018	SBSP2B	1.000,000000	7,625498	-	1.007,625498	Padrão - SND	Reg.	
23/07/2018	SBSP2B	1.000,000000	7,342034	-	1.007,342034	Padrão - SND	Reg.	
20/07/2018	SBSP2B	1.000,000000	7,058649	-	1.007,058649	Padrão - SND	Reg.	
19/07/2018	SBSP2B	1.000,000000	6,775354	-	1.006,775354	Padrão - SND	Reg.	
18/07/2018	SBSP2B	1.000,000000	6,492137	-	1.006,492137	Padrão - SND	Reg.	
17/07/2018	SBSP2B	1.000,000000	6,208989	-	1.006,208989	Padrão - SND	Reg.	
16/07/2018	SBSP2B	1.000,000000	5,925929	-	1.005,925929	Padrão - SND	Reg.	
13/07/2018	SBSP2B	1.000,000000	5,642949	-	1.005,642949	Padrão - SND	Reg.	
12/07/2018	SBSP2B	1.000,000000	5,360047	-	1.005,360047	Padrão - SND	Reg.	
11/07/2018	SBSP2B	1.000,000000	5,077225	-	1.005,077225	Padrão - SND	Reg.	
10/07/2018	SBSP2B	1.000,000000	4,794482	-	1.004,794482	Padrão - SND	Reg.	
09/07/2018	SBSP2B	1.000,000000	4,511816	-	1.004,511816	Padrão - SND	Reg.	
06/07/2018	SBSP2B	1.000,000000	4,229230	-	1.004,229230	Padrão - SND	Reg.	
05/07/2018	SBSP2B	1.000,000000	3,946723	-	1.003,946723	Padrão - SND	Reg.	
04/07/2018	SBSP2B	1.000,000000	3,664306	-	1.003,664306	Padrão - SND	Reg.	
03/07/2018	SBSP2B	1.000,000000	3,381956	-	1.003,381956	Padrão - SND	Reg.	
02/07/2018	SBSP2B	1.000,000000	3,099695	-	1.003,099695	Padrão - SND	Reg.	
29/06/2018	SBSP2B	1.000,000000	2,817503	-	1.002,817503	Padrão - SND	Reg.	
28/06/2018	SBSP2B	1.000,000000	2,535401	-	1.002,535401	Padrão - SND	Reg.	
27/06/2018	SBSP2B	1.000,000000	2,253367	-	1.002,253367	Padrão - SND	Reg.	
26/06/2018	SBSP2B	1.000,000000	1,971422	-	1.001,971422	Padrão - SND	Reg.	
25/06/2018	SBSP2B	1.000,000000	1,689555	-	1.001,689555	Padrão - SND	Reg.	
22/06/2018	SBSP2B	1.000,000000	1,407757	-	1.001,407757	Padrão - SND	Reg.	
21/06/2018	SBSP2B	1.000,000000	1,126048	-	1.001,126048	Padrão - SND	Reg.	
20/06/2018	SBSP2B	1.000,000000	0,844418	-	1.000,844418	Padrão - SND	Reg.	
19/06/2018	SBSP2B	1.000,000000	0,562867	-	1.000,562867	Padrão - SND	Reg.	
18/06/2018	SBSP2B	1.000,000000	0,281394	-	1.000,281394	Padrão - SND	Reg.	
15/06/2018	SBSP2B	1.000,000000	-  	-	1.000,000000	Padrão - SND	Reg.	
14/06/2018	SBSP2B	1.000,000000	35,904041	-	1.035,904041	Padrão - SND	Reg.	
13/06/2018	SBSP2B	1.000,000000	35,612628	-	1.035,612628	Padrão - SND	Reg.	
12/06/2018	SBSP2B	1.000,000000	35,321294	-	1.035,321294	Padrão - SND	Reg.	
11/06/2018	SBSP2B	1.000,000000	35,030040	-	1.035,030040	Padrão - SND	Reg.	
08/06/2018	SBSP2B	1.000,000000	34,738876	-	1.034,738876	Padrão - SND	Reg.	
07/06/2018	SBSP2B	1.000,000000	34,447791	-	1.034,447791	Padrão - SND	Reg.	
06/06/2018	SBSP2B	1.000,000000	34,156776	-	1.034,156776	Padrão - SND	Reg.	
05/06/2018	SBSP2B	1.000,000000	33,865861	-	1.033,865861	Padrão - SND	Reg.	
04/06/2018	SBSP2B	1.000,000000	33,575015	-	1.033,575015	Padrão - SND	Reg.	
01/06/2018	SBSP2B	1.000,000000	33,284259	-	1.033,284259	Padrão - SND	Reg.	
30/05/2018	SBSP2B	1.000,000000	32,993583	-	1.032,993583	Padrão - SND	Reg.	
29/05/2018	SBSP2B	1.000,000000	32,702985	-	1.032,702985	Padrão - SND	Reg.	
28/05/2018	SBSP2B	1.000,000000	32,412469	-	1.032,412469	Padrão - SND	Reg.	
